Name,Country,Gender,Date,Competition,Round,Apparatus,Rank,D_Score,E_Score,Penalty,Score
Jana ABDELSALAM,EGY,w,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,FX,109.0,4.4,7.466,0.1,11.766
Jana ABDELSALAM,EGY,w,2023-03-12,2023 Baku World Cup,qual,FX,22.0,4.5,7.366,0.0,11.866
Kumudi Imanya ABEYRATNE,SRI,w,2022-08-02,BIRMINGHAM 2022 Commonwealth Games,qual,FX,39.0,2.9,4.45,0.0,7.35
Jana ABOELHASAN,EGY,w,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,FX,74.0,4.4,7.866,0.0,12.266
Ondine ACHAMPONG,GBR,w,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,FX,16.0,5.3,8.033,0.0,13.333
Ondine ACHAMPONG,GBR,w,2022-03-27,2022 British Gymnastics Championships,qual,FX,12.0,5.2,7.6,0.3,12.5
Ondine ACHAMPONG,GBR,w,2022-08-14,2022 Senior European Championships,qual,FX,25.0,5.3,7.566,0.2,12.666
Ondine ACHAMPONG,GBR,w,2023-03-26,2023 British Gymnastics Championships,final,FX,8.0,5.2,6.75,0.0,11.95
Ondine ACHAMPONG,GBR,w,2023-03-26,2023 British Gymnastics Championships,qual,FX,4.0,5.3,7.9,0.0,13.2
Ondine ACHAMPONG,GBR,w,2023-04-16,2023 Senior European Championships,qual,FX,8.0,5.3,7.866,0.0,13.166
Ondine ACHAMPONG,ENG,w,2022-08-02,BIRMINGHAM 2022 Commonwealth Games,AAfinal,FX,1.0,5.3,8.05,0.0,13.35
Ondine ACHAMPONG,ENG,w,2022-08-02,BIRMINGHAM 2022 Commonwealth Games,final,FX,2.0,5.3,7.733,0.0,13.033
Ondine ACHAMPONG,ENG,w,2022-08-02,BIRMINGHAM 2022 Commonwealth Games,qual,FX,11.0,5.3,7.25,0.0,12.55
Thelma ADALSTEINSDOTTIR,ISL,w,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,FX,127.0,3.7,7.733,0.0,11.433
Thelma ADALSTEINSDOTTIR,ISL,w,2022-08-14,2022 Senior European Championships,qual,FX,91.0,3.6,7.533,0.0,11.133
Thelma ADALSTEINSDOTTIR,ISL,w,2023-04-16,2023 Senior European Championships,qual,FX,78.0,4.5,7.066,0.0,11.566
Jess ADAMSON,GBR,w,2022-03-27,2022 British Gymnastics Championships,qual,FX,52.0,4.0,6.45,0.0,10.45
Mei AMORELLI,GBR,w,2023-03-26,2023 British Gymnastics Championships,qual,FX,31.0,4.3,6.7,0.0,11.0
Lobar AMRILLAEVA,UZB,w,2023-03-12,2023 Baku World Cup,qual,FX,21.0,4.9,7.166,0.1,11.966
Lobar AMRILLAEVA,UZB,w,2023-05-28,2023 Varna World Challenge Cup,qual,FX,18.0,4.6,6.333,0.0,10.933
Anastasija ANANJEVA,LAT,w,2022-08-14,2022 Senior European Championships,qual,FX,101.0,4.4,6.4,0.0,10.8
Anastasija ANANJEVA,LAT,w,2023-04-16,2023 Senior European Championships,qual,FX,64.0,4.3,7.5,0.0,11.8
Rebeca ANDRADE,BRA,w,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,FX,2.0,6.1,8.3,0.0,14.4
Rebeca ANDRADE,BRA,w,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,final,FX,3.0,5.9,7.833,0.0,13.733
Rebeca ANDRADE,BRA,w,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,FX,2.0,6.1,8.1,0.0,14.2
Angela ANDREOLI,ITA,w,2022-08-14,2022 Senior European Championships,final,FX,3.0,5.8,8.066,0.0,13.866
Angela ANDREOLI,ITA,w,2022-08-14,2022 Senior European Championships,qual,FX,3.0,5.6,8.033,0.0,13.633
Angela ANDREOLI,ITA,w,2023-04-16,2023 Senior European Championships,qual,FX,11.0,5.5,7.5,0.0,13.0
Misella ANTILA,FIN,w,2023-02-26,2023 Cottbus World Cup,qual,FX,27.0,4.3,6.3,0.1,10.5
