Name,Country,Gender,Date,Competition,Round,Apparatus,Rank,D_Score,E_Score,Penalty,Score
Jana ABDELSALAM,EGY,w,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,BB,100.0,4.8,6.2,0.0,11.0
Jana ABDELSALAM,EGY,w,2023-03-12,2023 Baku World Cup,qual,BB,22.0,4.8,6.733,0.0,11.533
Jana ABDELSALAM,EGY,w,2023-04-30,2023 Cairo World Cup,final,BB,8.0,4.8,6.566,0.0,11.366
Jana ABDELSALAM,EGY,w,2023-04-30,2023 Cairo World Cup,qual,BB,9.0,4.7,7.466,0.0,12.166
Jana ABDELSALAM,EGY,w,2023-03-04,2023 Doha World Cup,final,BB,4.0,5.0,8.0,0.0,13.0
Jana ABDELSALAM,EGY,w,2023-03-04,2023 Doha World Cup,qual,BB,6.0,5.0,7.933,0.0,12.933
Ayesha ABDULLAHI,GBR,w,2022-03-27,2022 British Gymnastics Championships,qual,BB,41.0,3.7,6.5,0.0,10.2
Kumudi Imanya ABEYRATNE,SRI,w,2022-08-02,BIRMINGHAM 2022 Commonwealth Games,qual,BB,36.0,3.9,5.2,0.0,9.1
Jana ABOELHASAN,EGY,w,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,BB,116.0,4.6,5.9,0.0,10.5
Ondine ACHAMPONG,GBR,w,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,BB,15.0,5.7,7.266,0.0,12.966
Ondine ACHAMPONG,GBR,w,2022-03-27,2022 British Gymnastics Championships,final,BB,4.0,5.1,7.7,0.0,12.8
Ondine ACHAMPONG,GBR,w,2022-03-27,2022 British Gymnastics Championships,qual,BB,1.0,5.9,7.75,0.0,13.65
Ondine ACHAMPONG,GBR,w,2022-08-14,2022 Senior European Championships,final,BB,2.0,5.5,7.9,0.0,13.4
Ondine ACHAMPONG,GBR,w,2022-08-14,2022 Senior European Championships,qual,BB,7.0,5.5,7.766,0.0,13.266
Ondine ACHAMPONG,GBR,w,2022-08-14,2022 Senior European Championships,TeamFinal,BB,4.0,5.7,8.0,0.0,13.7
Ondine ACHAMPONG,GBR,w,2023-03-26,2023 British Gymnastics Championships,final,BB,1.0,5.7,8.1,0.0,13.8
