Name,Average Total,apparatus
simone biles,14.649999999999999,bb
konnor mcclain,14.525,bb
sunisa lee,13.925,bb
skye blakely,13.543,bb
shilese jones,13.3125,bb
tiana sumanasekera,13.0875,bb
shilese jones,14.5746,ub
zoe miller,13.836599999999999,ub
skye blakely,13.320222222222222,ub
simone biles,15.100000000000001,fx
shilese jones,13.9375,fx
kaliya lincoln,13.9,fx
jordan chiles,13.83325,fx
jade carey,13.828,fx
joscelyn roberson,13.47075,fx
simone biles,15.274999999999999,vt
jade carey,14.520222222222223,vt
shilese jones,14.352285714285715,vt
jordan chiles,14.288666666666666,vt
konnor mcclain,14.283333333333333,vt
joscelyn roberson,14.002384615384615,vt
