Rank,Name,nation,D Score,E Score,Pen.,Total,year,round
1.0,Zhao Shiting,CHN,5.0,8.566,0.0,13.566,2019,final
2.0,Emma Nedov,AUS,5.4,8.1,0.0,13.5,2019,final
3.0,Mana Oguchi,JPN,5.1,7.966,0.0,13.066,2019,final
4.0,Elena Chipizubov,AUS,5.1,7.933,0.0,13.033,2019,final
5.0,Lai Pin-Ju,TPE,5.1,7.333,0.0,12.433,2019,final
6.0,Eom Do-hyun,KOR,5.1,7.3,0.0,12.4,2019,final
7.0,Valeriia Osipova,UKR,5.2,6.033,0.0,11.233,2019,final
8.0,Oksana Chusovitina,UZB,4.5,6.033,0.0,10.533,2019,final
1.0,Zhao Shiting,CHN,5.3,7.6,0.0,12.9,2019,qual
2.0,Mana Oguchi,JPN,5.0,7.733,0.0,12.733,2019,qual
3.0,Emma Nedov,AUS,5.4,7.266,0.0,12.666,2019,qual
4.0,Elena Chipizubov,AUS,5.3,7.066,0.0,12.366,2019,qual
5.0,Valeriia Osipova,UKR,5.5,6.766,0.0,12.266,2019,qual
6.0,Oksana Chusovitina,UZB,4.5,7.666,0.0,12.166,2019,qual
7.0,Eom Do-hyun,KOR,5.1,6.933,0.0,12.033,2019,qual
8.0,Lai Pin-Ju,TPE,5.1,6.7,0.0,11.8,2019,qual
9.0,Ting Hua-Tien,TPE,5.3,6.3,0.0,11.6,2019,qual
10.0,Vanessa Ferrari,ITA,4.6,6.733,-0.1,11.233,2019,qual
11.0,Aida Bauyrzhanova,KAZ,5.1,6.066,0.0,11.166,2019,qual
1.0,Ragan Smith,USA,6.4,8.825,0.0,15.225,2016,final
2.0,Aly Raisman,USA,6.5,8.6,0.0,15.1,2016,final
3.0,Nagi Kajita,JPN,5.6,8.1,0.0,13.7,2016,final
4.0,Charlotte Sullivan,NZL,5.4,8.225,0.0,13.625,2016,final
5.0,Megan Roberts,CAN,5.4,8.2,0.0,13.6,2016,final
6.0,Courtney McGregor,NZL,5.6,7.975,0.0,13.575,2016,final
7.0,Shallon Olsen,CAN,5.7,7.775,0.0,13.475,2016,final
8.0,Kiara Munteanu,AUS,5.3,8.15,0.0,13.45,2016,final
9.0,Emily Little,AUS,5.5,7.15,0.0,12.65,2016,final
1.0,Tyesha Mattis,GBR,6.1,8.3,0.0,14.4,2015,final
2.0,Georgina Hockenhull,GBR,5.6,8.1,0.0,13.7,2015,final
3.0,Claudia Fragapane,GBR,5.6,7.85,0.0,13.45,2015,final
4.0,Raer Theaker,GBR,5.7,7.05,0.0,12.75,2015,final
5.0,Amy Tinkler,GBR,5.4,7.15,0.0,12.55,2015,final
6.0,Ellie Downie,GBR,5.7,6.55,-0.1,12.15,2015,final
7.0,Angel Romaeo,GBR,4.8,7.05,0.0,11.85,2015,final
8.0,Lisa Mason,GBR,5.2,6.3,0.0,11.5,2015,final
1.0,Simone Biles,USA,6.5,8.75,0.0,15.25,2015,final
2.0,Alyssa Baumann,USA,6.2,8.35,0.0,14.55,2015,final
3.0,Carlotta Ferlito,ITA,5.8,8.5,0.0,14.3,2015,final
4.0,Isabela Onyshko,CAN,6.0,8.25,0.0,14.25,2015,final
5.0,Marine Brevet,FRA,5.9,8.3,0.0,14.2,2015,final
6.0,Emma Nedov,AUS,5.6,8.5,0.0,14.1,2015,final
7.0,Ellie Black,CAN,6.2,7.65,0.0,13.85,2015,final
8.0,Elisa Meneghini,ITA,5.7,7.4,0.0,13.1,2015,final
1.0,Anastasia Grishina,RUS,5.8,8.8,0.0,14.6,2013,final
2.0,Vasiliki Millousi,GRE,5.7,8.6,0.0,14.3,2013,final
