Rank,D Score,E Score,Pen.,Total,year,medal,Name,nation,round_0,round_final,round_qual
1.0,6.2,8.266,0.0,14.466,2019,1,128,58,False,True,False
2.0,5.6,7.833,0.0,13.433,2019,0,158,29,False,True,False
3.0,5.2,8.1,0.0,13.3,2019,1,267,29,False,True,False
4.0,5.4,7.933,-0.1,13.233,2019,0,192,42,False,True,False
5.0,5.0,8.2,0.0,13.2,2019,0,191,19,False,True,False
6.0,5.1,8.0,0.0,13.1,2019,0,268,49,False,True,False
7.0,5.2,7.833,0.0,13.033,2019,0,146,22,False,True,False
8.0,4.8,7.9,-0.3,12.4,2019,0,65,19,False,True,False
1.0,5.9,8.2,-0.1,14.0,2019,1,128,58,False,False,True
2.0,5.0,8.2,0.0,13.2,2019,0,191,19,False,False,True
3.0,5.2,8.0,0.0,13.2,2019,0,146,22,False,False,True
4.0,5.3,7.866,0.0,13.166,2019,0,158,29,False,False,True
5.0,5.1,7.966,0.0,13.066,2019,0,268,49,False,False,True
6.0,5.2,7.933,-0.1,13.033,2019,0,192,42,False,False,True
7.0,5.3,7.833,-0.1,13.033,2019,1,267,29,False,False,True
8.0,4.8,8.033,0.0,12.833,2019,0,65,19,False,False,True
9.0,5.0,7.833,0.0,12.833,2019,0,227,20,False,False,True
10.0,4.7,8.066,0.0,12.766,2019,0,76,57,False,False,True
11.0,4.8,7.966,0.0,12.766,2019,0,96,20,False,False,True
12.0,5.0,7.833,-0.1,12.733,2019,0,18,12,False,False,True
13.0,5.0,7.6,0.0,12.6,2019,0,209,56,False,False,True
14.0,5.1,7.466,-0.1,12.466,2019,0,221,45,False,False,True
15.0,4.7,7.833,-0.1,12.433,2019,0,27,14,False,False,True
16.0,4.4,8.0,0.0,12.4,2019,0,0,51,False,False,True
17.0,5.3,7.2,-0.1,12.4,2019,0,148,44,False,False,True
18.0,4.6,7.766,0.0,12.366,2019,0,274,30,False,False,True
19.0,4.8,7.466,0.0,12.266,2019,0,248,30,False,False,True
20.0,5.1,7.1,0.0,12.2,2019,0,276,11,False,False,True
21.0,4.7,7.3,0.0,12.0,2019,0,156,55,False,False,True
22.0,5.0,6.933,0.0,11.933,2019,0,17,44,False,False,True
23.0,4.4,7.433,-0.1,11.733,2019,0,67,24,False,False,True
24.0,4.6,6.9,0.0,11.5,2019,0,71,56,False,False,True
25.0,4.1,7.366,0.0,11.466,2019,0,272,55,False,False,True
26.0,4.6,7.166,-0.3,11.466,2019,0,218,59,False,False,True
27.0,4.7,6.5,0.0,11.2,2019,0,174,14,False,False,True
28.0,4.5,6.933,-0.3,11.133,2019,0,110,42,False,False,True
29.0,4.1,6.666,0.0,10.766,2019,0,190,5,False,False,True
30.0,2.5,7.5,-0.1,9.9,2019,0,182,13,False,False,True
1.0,5.6,7.85,0.0,13.45,2020,0,159,62,True,False,False
2.0,4.8,8.3,0.0,13.1,2020,0,120,62,True,False,False
3.0,4.9,7.85,0.0,12.75,2020,0,166,62,True,False,False
4.0,4.7,7.95,0.0,12.65,2020,0,76,62,True,False,False
5.0,4.9,7.8,0.1,12.6,2020,0,38,62,True,False,False
6.0,5.0,7.6,0.0,12.6,2020,0,32,62,True,False,False
7.0,4.4,8.1,0.3,12.2,2020,0,279,62,True,False,False
8.0,4.9,7.2,0.0,12.1,2020,0,83,62,True,False,False
1.0,5.3,7.9,0.0,13.2,2019,0,52,29,True,False,False
2.0,5.3,7.7,0.0,13.0,2019,0,4,30,True,False,False
3.0,4.7,8.0,0.0,12.7,2019,0,263,49,True,False,False
4.0,4.6,7.95,0.0,12.55,2019,0,106,36,True,False,False
5.0,4.7,7.85,0.0,12.55,2019,0,122,30,True,False,False
6.0,5.5,6.75,0.0,12.25,2019,0,167,49,True,False,False
7.0,4.6,7.45,0.1,11.95,2019,0,135,10,True,False,False
8.0,4.7,7.1,0.0,11.8,2019,0,43,53,True,False,False
1.0,5.2,8.4,0.0,13.6,2019,1,267,29,False,True,False
2.0,4.7,7.833,0.0,12.533,2019,0,221,45,False,True,False
3.0,5.1,7.266,-0.1,12.266,2019,0,276,11,False,True,False
4.0,4.9,7.333,-0.4,11.833,2019,0,99,3,False,True,False
5.0,4.6,7.233,-0.1,11.733,2019,0,156,55,False,True,False
6.0,5.0,6.633,0.0,11.633,2019,0,265,57,False,True,False
7.0,4.4,6.6,0.0,11.0,2019,0,3,31,False,True,False
8.0,4.6,5.966,0.0,10.566,2019,0,256,55,False,True,False
1.0,5.2,8.1,0.0,13.3,2019,1,267,29,False,False,True
2.0,4.7,8.1,0.0,12.8,2019,0,99,3,False,False,True
3.0,4.9,7.866,0.0,12.766,2019,0,276,11,False,False,True
4.0,5.0,7.666,-0.1,12.566,2019,0,221,45,False,False,True
5.0,5.0,7.4,0.0,12.4,2019,0,265,57,False,False,True
6.0,4.8,7.366,-0.1,12.066,2019,0,156,55,False,False,True
7.0,4.4,7.466,0.0,11.866,2019,0,256,55,False,False,True
8.0,4.5,7.333,0.0,11.833,2019,0,3,31,False,False,True
9.0,4.7,7.033,0.0,11.733,2019,0,143,3,False,False,True
10.0,4.9,6.8,-0.3,11.4,2019,0,181,30,False,False,True
1.0,5.9,8.267,0.0,14.167,2018,0,98,58,False,True,False
2.0,5.3,8.6,0.0,13.9,2018,0,108,8,False,True,False
3.0,5.1,8.333,0.0,13.433,2018,0,118,58,False,True,False
0.0,5.2,8.233,0.0,13.433,2018,0,73,29,False,True,False
5.0,5.9,7.533,-0.3,13.133,2018,0,31,49,False,True,False
6.0,5.1,7.8,0.0,12.9,2018,0,55,8,False,True,False
7.0,5.0,7.433,0.0,12.433,2018,0,210,47,False,True,False
8.0,5.0,6.833,-0.1,11.733,2018,0,119,11,False,True,False
1.0,5.9,8.333,0.0,14.233,2017,1,179,0,False,True,False
2.0,5.7,8.5,0.0,14.2,2017,1,128,0,False,True,False
3.0,5.6,8.333,0.0,13.933,2017,0,64,0,False,True,False
4.0,5.5,8.166,0.0,13.666,2017,0,254,0,False,True,False
5.0,5.2,8.45,0.0,13.65,2017,0,48,0,False,True,False
6.0,5.4,7.866,0.0,13.266,2017,0,158,0,False,True,False
7.0,5.3,7.9,-0.3,12.9,2017,0,91,0,False,True,False
8.0,2.0,8.233,-6.3,3.933,2017,1,267,0,False,True,False
1.0,6.7,8.533,0.3,14.933,2018,0,245,0,False,True,False
2.0,5.5,8.433,0.0,13.933,2018,0,201,0,False,True,False
3.0,5.7,8.166,0.0,13.866,2018,1,179,0,False,True,False
4.0,5.7,8.133,0.0,13.833,2018,0,31,0,False,True,False
5.0,5.5,8.366,0.1,13.766,2018,0,109,0,False,True,False
6.0,5.5,8.233,0.3,13.433,2018,0,203,0,False,True,False
7.0,5.8,7.566,0.0,13.366,2018,0,167,0,False,True,False
8.0,5.4,7.666,0.0,13.066,2018,0,48,0,False,True,False
1.0,6.7,8.533,0.1,15.133,2019,0,245,0,False,True,False
2.0,5.7,8.433,0.0,14.133,2019,0,249,0,False,True,False
3.0,5.8,8.266,0.0,14.066,2019,0,31,0,False,True,False
4.0,5.5,8.466,0.0,13.966,2019,0,109,0,False,True,False
5.0,5.5,8.433,0.1,13.833,2019,0,203,0,False,True,False
6.0,5.4,8.4,0.0,13.8,2019,0,233,0,False,True,False
7.0,5.3,8.4,0.1,13.6,2019,0,48,0,False,True,False
8.0,6.0,7.8,0.3,13.5,2019,0,167,0,False,True,False
1.0,5.1,8.1,0.0,13.2,2019,0,20,57,False,True,False
2.0,4.9,8.066,0.0,12.966,2019,0,27,14,False,True,False
3.0,4.9,8.033,0.0,12.933,2019,0,133,54,False,True,False
4.0,4.9,8.0,0.0,12.9,2019,0,22,7,False,True,False
5.0,4.7,7.966,0.0,12.666,2019,0,0,51,False,True,False
6.0,5.6,7.0,-0.3,12.3,2019,0,72,47,False,True,False
1.0,5.6,7.533,0.0,13.133,2019,0,72,47,False,False,True
2.0,5.1,7.966,0.0,13.066,2019,0,20,57,False,False,True
3.0,4.9,8.066,0.0,12.966,2019,0,133,54,False,False,True
4.0,5.4,7.666,-0.1,12.966,2019,0,32,57,False,False,True
5.0,4.7,8.166,0.0,12.866,2019,0,0,51,False,False,True
6.0,4.9,8.066,-0.1,12.866,2019,0,27,14,False,False,True
7.0,4.9,8.033,-0.1,12.833,2019,0,22,7,False,False,True
8.0,5.4,7.4,0.0,12.8,2019,0,31,49,False,False,True
9.0,4.9,7.833,0.0,12.733,2019,0,115,20,False,False,True
10.0,5.2,7.8,-0.3,12.7,2019,0,76,57,False,False,True
11.0,4.9,7.766,0.0,12.666,2019,0,206,39,False,False,True
12.0,5.1,7.5,0.0,12.6,2019,0,89,33,False,False,True
13.0,5.0,7.633,-0.1,12.533,2019,0,172,19,False,False,True
14.0,4.2,8.266,0.0,12.466,2019,0,60,17,False,False,True
15.0,4.5,7.9,0.0,12.4,2019,0,107,43,False,False,True
16.0,5.0,7.666,-0.3,12.366,2019,0,11,19,False,False,True
17.0,4.6,7.733,0.0,12.333,2019,0,278,24,False,False,True
18.0,5.4,6.933,0.0,12.333,2019,0,7,49,False,False,True
19.0,4.4,7.8,0.0,12.2,2019,0,110,42,False,False,True
19.0,4.4,7.8,0.0,12.2,2019,0,258,51,False,False,True
21.0,4.9,7.166,0.0,12.066,2019,0,45,24,False,False,True
22.0,4.4,7.6,0.0,12.0,2019,0,80,14,False,False,True
23.0,4.8,7.066,0.0,11.866,2019,0,54,19,False,False,True
24.0,4.9,7.033,-0.1,11.833,2019,0,240,6,False,False,True
25.0,5.1,6.666,0.0,11.766,2019,0,238,24,False,False,True
26.0,4.5,7.533,-0.3,11.733,2019,0,100,25,False,False,True
27.0,4.6,6.966,0.0,11.566,2019,0,59,53,False,False,True
28.0,4.4,7.266,-0.3,11.366,2019,0,113,7,False,False,True
29.0,4.2,7.166,0.0,11.366,2019,0,44,4,False,False,True
30.0,4.0,7.233,0.0,11.233,2019,0,1,27,False,False,True
31.0,4.4,6.833,0.0,11.233,2019,0,94,23,False,False,True
32.0,4.1,7.1,0.0,11.2,2019,0,57,35,False,False,True
33.0,4.6,6.666,-0.1,11.166,2019,0,216,28,False,False,True
34.0,4.4,6.733,0.0,11.133,2019,0,157,9,False,False,True
35.0,4.8,6.3,0.0,11.1,2019,0,209,56,False,False,True
36.0,4.7,5.333,0.0,10.033,2019,0,161,39,False,False,True
1.0,5.8,8.425,0.0,14.225,2015,0,192,42,False,True,False
2.0,5.5,8.325,0.0,13.825,2015,0,26,47,False,True,False
3.0,5.3,8.175,0.0,13.475,2015,0,107,43,False,True,False
4.0,5.3,8.125,-0.1,13.325,2015,0,42,1,False,True,False
5.0,5.0,7.95,0.0,12.95,2015,0,169,4,False,True,False
6.0,5.2,7.75,-0.1,12.85,2015,0,82,24,False,True,False
7.0,5.2,7.125,-0.4,11.925,2015,0,260,56,False,True,False
8.0,4.9,7.175,-0.3,11.775,2015,0,39,23,False,True,False
1.0,5.8,8.6,0.0,14.4,2015,0,26,47,False,False,True
2.0,5.9,7.966,-0.1,13.766,2015,0,147,22,False,False,True
3.0,5.6,8.033,-0.1,13.533,2015,0,142,42,False,False,True
4.0,5.0,8.466,0.0,13.466,2015,0,56,52,False,False,True
5.0,5.4,7.933,0.0,13.333,2015,0,261,28,False,False,True
6.0,5.4,7.9,0.0,13.3,2015,0,19,17,False,False,True
7.0,5.4,7.866,0.0,13.266,2015,0,42,1,False,False,True
8.0,5.1,8.033,0.0,13.133,2015,0,107,43,False,False,True
9.0,5.4,7.8,-0.1,13.1,2015,0,82,24,False,False,True
10.0,5.8,7.266,0.0,13.066,2015,0,225,22,False,False,True
11.0,5.4,7.533,0.0,12.933,2015,0,217,59,False,False,True
12.0,5.1,7.566,0.0,12.666,2015,0,270,14,False,False,True
13.0,5.4,7.3,-0.1,12.6,2015,0,222,42,False,False,True
14.0,4.5,7.966,0.0,12.466,2015,0,226,22,False,False,True
15.0,5.4,7.166,-0.1,12.466,2015,0,77,59,False,False,True
16.0,5.5,7.066,-0.1,12.466,2015,0,269,23,False,False,True
17.0,5.6,6.766,0.0,12.366,2015,0,25,47,False,False,True
18.0,4.5,7.6,0.0,12.1,2015,0,35,18,False,False,True
19.0,4.6,7.5,-0.1,12.0,2015,0,78,40,False,False,True
20.0,4.5,7.333,0.0,11.833,2015,0,187,43,False,False,True
21.0,5.7,6.033,0.0,11.733,2015,0,260,56,False,False,True
22.0,4.7,6.9,0.0,11.6,2015,0,169,4,False,False,True
23.0,4.2,7.2,0.0,11.4,2015,0,112,52,False,False,True
24.0,4.6,6.733,0.0,11.333,2015,0,186,23,False,False,True
25.0,4.1,7.133,-0.1,11.133,2015,0,46,24,False,False,True
26.0,4.6,6.5,0.0,11.1,2015,0,114,28,False,False,True
27.0,4.0,6.866,0.0,10.866,2015,0,75,33,False,False,True
28.0,4.9,6.033,-0.1,10.833,2015,0,86,56,False,False,True
29.0,4.2,6.5,0.0,10.7,2015,0,21,33,False,False,True
30.0,4.9,5.633,0.0,10.533,2015,0,213,17,False,False,True
31.0,4.0,6.466,0.0,10.466,2015,0,258,51,False,False,True
32.0,5.0,5.433,-0.1,10.333,2015,0,207,21,False,False,True
33.0,4.8,5.466,0.0,10.266,2015,0,151,5,False,False,True
34.0,4.8,5.433,-0.1,10.133,2015,0,93,26,False,False,True
35.0,4.3,5.733,0.0,10.033,2015,0,183,1,False,False,True
36.0,5.1,4.833,0.0,9.933,2015,0,132,4,False,False,True
37.0,3.8,5.733,0.0,9.533,2015,0,253,51,False,False,True
1.0,5.8,8.625,0.0,14.425,2014,0,159,47,False,True,False
2.0,5.7,8.6,0.0,14.3,2014,0,74,47,False,True,False
3.0,5.5,8.325,-0.1,13.725,2014,0,126,10,False,True,False
4.0,5.5,8.075,-0.1,13.475,2014,0,164,3,False,True,False
5.0,5.5,7.45,0.0,12.95,2014,0,58,41,False,True,False
6.0,5.5,7.8,-0.5,12.8,2014,0,82,24,False,True,False
7.0,5.3,7.825,-0.4,12.725,2014,0,239,51,False,True,False
8.0,5.0,7.675,-0.1,12.575,2014,0,163,52,False,True,False
1.0,5.8,8.75,0.0,14.55,2014,0,159,47,False,False,True
2.0,5.6,8.75,0.0,14.35,2014,0,74,47,False,False,True
3.0,5.8,8.5,0.0,14.3,2014,0,164,3,False,False,True
4.0,5.6,8.3,0.0,13.9,2014,0,126,10,False,False,True
5.0,5.3,8.2,0.0,13.5,2014,0,82,24,False,False,True
6.0,5.4,8.25,-0.3,13.35,2014,0,239,51,False,False,True
7.0,5.5,7.7,0.0,13.2,2014,0,58,41,False,False,True
8.0,5.2,7.95,-0.1,13.05,2014,0,266,33,False,False,True
9.0,5.0,7.85,0.0,12.85,2014,0,163,52,False,False,True
10.0,4.8,8.15,-0.2,12.75,2014,0,130,14,False,False,True
11.0,4.9,7.75,-0.1,12.55,2014,0,211,52,False,False,True
12.0,4.5,7.95,0.0,12.45,2014,0,40,50,False,False,True
13.0,5.0,7.45,0.0,12.45,2014,0,152,14,False,False,True
14.0,4.4,8.05,-0.1,12.35,2014,0,87,59,False,False,True
15.0,5.4,7.0,-0.1,12.3,2014,0,262,24,False,False,True
16.0,4.0,8.2,0.0,12.2,2014,0,71,56,False,False,True
17.0,5.4,6.9,-0.1,12.2,2014,0,8,3,False,False,True
18.0,4.0,8.15,0.0,12.15,2014,0,144,7,False,False,True
19.0,4.7,7.45,-0.1,12.05,2014,0,23,7,False,False,True
20.0,5.5,6.45,0.0,11.95,2014,0,66,41,False,False,True
21.0,4.8,7.0,0.0,11.8,2014,0,131,50,False,False,True
22.0,4.3,7.3,0.0,11.6,2014,0,241,46,False,False,True
23.0,4.3,7.25,0.0,11.55,2014,0,140,56,False,False,True
24.0,4.9,6.55,0.0,11.45,2014,0,79,61,False,False,True
25.0,4.5,6.7,-0.6,10.6,2014,0,275,31,False,False,True
26.0,3.0,7.4,0.0,10.4,2014,0,2,46,False,False,True
1.0,5.7,8.05,0.0,13.75,2013,0,176,10,False,True,False
2.0,5.8,7.875,-0.1,13.575,2013,0,33,49,False,True,False
3.0,5.4,8.075,0.0,13.475,2013,0,212,39,False,True,False
4.0,5.3,8.0,-0.2,13.1,2013,0,49,22,False,True,False
5.0,5.6,7.575,-0.3,12.875,2013,0,136,60,False,True,False
6.0,5.2,7.875,-0.3,12.775,2013,0,244,17,False,True,False
7.0,4.9,7.85,0.0,12.75,2013,0,132,4,False,True,False
7.0,4.7,8.05,0.0,12.75,2013,0,107,43,False,True,False
1.0,5.8,8.2,0.0,14.0,2013,0,33,49,False,False,True
2.0,5.5,7.95,0.0,13.45,2013,0,244,17,False,False,True
3.0,5.7,7.75,0.0,13.45,2013,0,176,10,False,False,True
4.0,5.2,7.95,0.0,13.15,2013,0,212,39,False,False,True
5.0,4.7,7.9,0.0,12.6,2013,0,107,43,False,False,True
6.0,4.8,7.8,0.0,12.6,2013,0,136,60,False,False,True
