Rank,D Score,E Score,Pen.,Total,year,medal,Name,nation,round_final,round_qual
1.0,5.0,8.566,0.0,13.566,2019,0,373,10,True,False
2.0,5.4,8.1,0.0,13.5,2019,0,128,2,True,False
3.0,5.1,7.966,0.0,13.066,2019,0,244,32,True,False
4.0,5.1,7.933,0.0,13.033,2019,0,108,2,True,False
5.0,5.1,7.333,0.0,12.433,2019,0,209,54,True,False
6.0,5.1,7.3,0.0,12.4,2019,0,132,34,True,False
7.0,5.2,6.033,0.0,11.233,2019,0,354,56,True,False
8.0,4.5,6.033,0.0,10.533,2019,0,298,58,True,False
1.0,5.3,7.6,0.0,12.9,2019,0,373,10,False,True
2.0,5.0,7.733,0.0,12.733,2019,0,244,32,False,True
3.0,5.4,7.266,0.0,12.666,2019,0,128,2,False,True
4.0,5.3,7.066,0.0,12.366,2019,0,108,2,False,True
5.0,5.5,6.766,0.0,12.266,2019,0,354,56,False,True
6.0,4.5,7.666,0.0,12.166,2019,0,298,58,False,True
7.0,5.1,6.933,0.0,12.033,2019,0,132,34,False,True
8.0,5.1,6.7,0.0,11.8,2019,0,209,54,False,True
9.0,5.3,6.3,0.0,11.6,2019,0,343,54,False,True
10.0,4.6,6.733,-0.1,11.233,2019,0,356,31,False,True
11.0,5.1,6.066,0.0,11.166,2019,0,4,33,False,True
1.0,6.0,8.0,0.0,14.0,2020,0,212,60,True,False
2.0,6.0,7.8,0.0,13.8,2020,0,328,60,True,False
3.0,5.8,7.4,0.1,13.1,2020,0,29,60,True,False
4.0,5.7,7.4,0.0,13.1,2020,0,28,60,True,False
5.0,5.2,7.55,0.0,12.75,2020,0,111,60,True,False
6.0,5.1,7.55,0.0,12.65,2020,0,63,60,True,False
7.0,4.7,7.4,0.0,12.1,2020,0,80,60,True,False
8.0,4.3,5.6,0.0,9.9,2020,0,112,60,True,False
1.0,6.0,8.333,0.0,14.333,2019,0,219,10,True,False
2.0,5.2,8.433,0.0,13.633,2019,0,288,5,True,False
3.0,5.7,7.633,0.0,13.333,2019,0,257,19,True,False
4.0,4.9,7.933,0.0,12.833,2019,0,1,50,True,False
5.0,5.0,7.8,0.0,12.8,2019,0,37,14,True,False
6.0,5.5,6.9,0.0,12.4,2019,0,343,54,True,False
7.0,5.0,6.8,0.0,11.8,2019,0,371,32,True,False
8.0,5.5,5.966,0.0,11.466,2019,0,333,32,True,False
1.0,5.3,8.266,0.0,13.566,2019,0,288,5,False,True
2.0,5.7,7.666,0.0,13.366,2019,0,257,19,False,True
3.0,5.7,7.7,-0.1,13.3,2019,0,219,10,False,True
4.0,5.0,7.9,0.0,12.9,2019,0,371,32,False,True
5.0,5.3,7.5,0.0,12.8,2019,0,343,54,False,True
6.0,4.9,7.866,0.0,12.766,2019,0,1,50,False,True
7.0,5.9,6.8,0.0,12.7,2019,0,333,32,False,True
8.0,5.1,7.566,0.0,12.666,2019,0,37,14,False,True
9.0,5.2,7.433,0.0,12.633,2019,0,260,44,False,True
10.0,5.6,6.933,0.0,12.533,2019,0,357,49,False,True
11.0,5.3,7.0,0.0,12.3,2019,0,97,56,False,True
12.0,5.0,7.266,0.0,12.266,2019,0,89,26,False,True
13.0,5.1,7.166,0.0,12.266,2019,0,209,54,False,True
14.0,4.6,7.533,-0.1,12.033,2019,0,145,44,False,True
15.0,5.0,6.833,0.0,11.833,2019,0,87,19,False,True
16.0,4.7,7.1,0.0,11.8,2019,0,112,3,False,True
17.0,4.8,6.966,0.0,11.766,2019,0,124,20,False,True
18.0,4.9,6.8,0.0,11.7,2019,0,307,20,False,True
19.0,4.9,6.7,0.0,11.6,2019,0,20,46,False,True
20.0,5.3,6.4,-0.1,11.6,2019,0,201,46,False,True
21.0,4.9,6.666,-0.1,11.466,2019,0,199,22,False,True
22.0,4.5,6.933,0.0,11.433,2019,0,299,58,False,True
23.0,4.5,6.666,0.0,11.166,2019,0,234,14,False,True
24.0,5.3,5.633,0.0,10.933,2019,0,211,31,False,True
25.0,5.5,5.4,-0.1,10.8,2019,0,373,10,False,True
26.0,5.1,5.733,-0.1,10.733,2019,0,256,4,False,True
27.0,4.9,5.766,0.0,10.666,2019,0,93,55,False,True
28.0,4.8,5.7,0.0,10.5,2019,0,349,55,False,True
29.0,4.2,5.5,0.0,9.7,2019,0,227,22,False,True
30.0,5.1,4.566,-0.1,9.566,2019,0,375,26,False,True
31.0,4.4,4.233,0.0,8.633,2019,0,21,11,False,True
1.0,5.3,7.7,0.0,13.0,2019,0,162,32,True,False
2.0,5.6,7.25,0.0,12.85,2019,0,211,31,True,False
3.0,4.8,8.0,0.0,12.8,2019,0,352,49,True,False
4.0,5.6,6.95,0.0,12.55,2019,0,5,32,True,False
5.0,4.8,7.6,0.0,12.4,2019,0,70,31,True,False
6.0,5.0,7.1,0.0,12.1,2019,0,285,25,True,False
7.0,4.9,7.15,0.0,12.05,2019,0,182,9,True,False
8.0,4.6,6.95,0.0,11.55,2019,0,58,52,True,False
1.0,6.0,8.3,0.0,14.3,2018,0,126,57,True,False
