Trial Part Measure
1 1 24.76
1 2 25.81
1 3 24.05
1 4 23.73
1 5 24.89
1 6 24.74
1 7 24.74
1 8 24.40
2 1 24.63
2 2 25.90
2 3 24.16
2 4 23.97
2 5 24.81
2 6 24.95
2 7 24.79
2 8 24.18
3 1 24.68
3 2 26.01
3 3 24.37
3 4 23.90
3 5 25.02
3 6 24.82
3 7 24.88
3 8 24.19
4 1 24.70
4 2 25.97
4 3 24.04
4 4 23.95
4 5 24.92
4 6 24.78
4 7 24.77
4 8 24.22
5 1 24.82
5 2 25.88
5 3 24.11
5 4 23.84
5 5 24.83
5 6 24.85
5 7 24.88
5 8 24.27
6 1 24.56
6 2 25.75
6 3 24.20
6 4 23.78
6 5 25.08
6 6 24.83
6 7 24.59
6 8 24.38
7 1 24.84
7 2 26.01
7 3 24.19
7 4 23.81
7 5 24.71
7 6 25.05
7 7 24.83
7 8 24.28
8 1 24.78
8 2 26.12
8 3 24.05
8 4 23.87
8 5 24.92
8 6 25.04
8 7 24.81
8 8 24.31
9 1 24.61
9 2 25.88
9 3 24.07
9 4 23.82
9 5 24.95
9 6 24.73
9 7 24.82
9 8 24.33
10 1 24.68
10 2 25.85
10 3 24.03
10 4 24.04
10 5 24.86
10 6 24.80
10 7 24.82
10 8 24.25
11 1 24.51
11 2 25.90
11 3 23.78
11 4 23.99
11 5 24.79
11 6 24.98
11 7 24.81
11 8 24.39
12 1 24.77
12 2 25.77
12 3 24.22
12 4 23.75
12 5 25.03
12 6 24.90
12 7 24.84
12 8 24.21
13 1 24.63
13 2 25.88
13 3 24.13
13 4 24.00
13 5 24.95
13 6 24.91
13 7 24.69
13 8 24.13
14 1 24.63
14 2 25.93
14 3 24.20
14 4 23.97
14 5 25.00
14 6 24.83
14 7 24.62
14 8 24.46
15 1 24.52
15 2 25.82
15 3 24.24
15 4 23.95
15 5 24.69
15 6 24.83
15 7 24.73
15 8 24.43
16 1 24.67
16 2 25.98
16 3 24.18
16 4 23.84
16 5 24.88
16 6 24.86
16 7 24.68
16 8 24.46
17 1 24.57
17 2 25.92
17 3 23.94
17 4 24.11
17 5 25.00
17 6 24.86
17 7 24.80
17 8 24.23
18 1 25.05
18 2 26.23
18 3 24.17
18 4 24.03
18 5 25.13
18 6 25.16
18 7 24.98
18 8 24.54
19 1 24.92
19 2 26.06
19 3 24.16
19 4 23.98
19 5 25.18
19 6 25.08
19 7 24.92
19 8 24.26
20 1 25.06
20 2 26.04
20 3 24.30
20 4 24.06
20 5 25.00
20 6 25.08
20 7 24.94
20 8 24.47
21 1 24.89
21 2 26.03
21 3 24.23
21 4 24.08
21 5 24.99
21 6 24.87
21 7 24.89
21 8 24.63
22 1 24.85
22 2 26.33
22 3 24.19
22 4 24.25
22 5 25.04
22 6 25.13
22 7 25.11
22 8 24.54
23 1 25.04
23 2 25.99
23 3 24.39
23 4 24.08
23 5 25.14
23 6 25.02
23 7 25.08
23 8 24.49
24 1 24.93
24 2 26.02
24 3 24.32
24 4 24.11
24 5 25.15
24 6 25.20
24 7 25.03
24 8 24.65
25 1 24.80
25 2 26.18
25 3 24.40
25 4 24.00
25 5 25.06
25 6 24.93
25 7 25.15
25 8 24.53
