ID,HouseType,Size,Price,LotSize,Balcony,LivingSpace,NumberRooms,YearBuilt,Locality,PostalCode
4000745035,SINGLE_HOUSE,L,1249500,,TRUE,270,7.5,,Genestrerio,6852
4000781039,VILLA,M,1389150,640,TRUE,230,8.5,2024,Vétroz,1963
4000744528,VILLA,L,,,TRUE,880,14,,Lugano,6900
4000744292,MULTIPLE_DWELLING,L,,,TRUE,,,,Grono,6537
4000745275,SINGLE_HOUSE,L,,,TRUE,170,7.5,,Cadempino,6814
4000148710,SINGLE_HOUSE,S,1102500,460,TRUE,190,7.5,,Glovelier,2855
4000744731,SINGLE_HOUSE,L,1462650,,TRUE,250,7.5,,Balerna,6828
4000745567,MULTIPLE_DWELLING,L,1765220,,TRUE,280,,2023,Stabio,6855
103859174,VILLA,M,,,TRUE,440,9,,Castagnola,6976
3000744269,SINGLE_HOUSE,M,1911000,378,TRUE,350,8.5,,Arosio,6939
4000745329,SINGLE_HOUSE,L,1315650,,TRUE,160,7.5,,Balerna,6828
3003178554,SINGLE_HOUSE,S,1174530,876,FALSE,210,8.5,2023,Corban,2826
3003181491,SINGLE_HOUSE,L,1764000,504,FALSE,280,9.5,2024,Rothenbrunnen,7405
4000391531,SINGLE_HOUSE,S,1279630,362,TRUE,180,7.5,2023,Biel/Bienne,2500
4000391524,SINGLE_HOUSE,S,1301680,466,TRUE,180,8.5,2023,Biel/Bienne,2500
4000165467,FARM_HOUSE,M,3601500,3220,FALSE,440,15,2021,Oftringen,4665
3003138436,SINGLE_HOUSE,L,1949220,900,TRUE,200,8.5,2024,Burgistein,3664
4000391512,SINGLE_HOUSE,S,1304620,490,TRUE,180,8.5,2023,Biel/Bienne,2500
4000203632,SINGLE_HOUSE,S,,655,TRUE,230,10,2023,Bärschwil,4252
3003142547,CHALET,M,,933,TRUE,520,9.5,2023,Verbier,1936
4000782938,SINGLE_HOUSE,L,2182950,906,TRUE,210,8.5,2024,Seelisberg,6377
3003135982,ROW_HOUSE,S,1624350,,TRUE,230,8.5,2021,Sion,1950
4000391541,SINGLE_HOUSE,S,1311970,340,TRUE,200,7.5,2023,Biel/Bienne,2500
3003138940,SINGLE_HOUSE,M,1896300,340,TRUE,190,8.5,2023,Laufenburg,5080
4000782888,SINGLE_HOUSE,M,2469600,522,TRUE,240,8.5,2023,Abtwil SG,9030
3003141354,SINGLE_HOUSE,S,2866500,1167,TRUE,280,8.5,2023,Egerkingen,4622
3003149133,SINGLE_HOUSE,S,,300,TRUE,220,8.5,2024,Riedstätt,3159
3003515575,BIFAMILIAR_HOUSE,S,,446,TRUE,250,8.5,2024,Niederdorf,4435
4000391544,SINGLE_HOUSE,S,1282570,356,TRUE,190,7.5,2023,Biel/Bienne,2500
3003139101,BIFAMILIAR_HOUSE,S,1617000,,TRUE,180,7.5,,Riken AG,4853
4000413490,SINGLE_HOUSE,M,1256850,,FALSE,,8.5,2023,Etzgen,5275
4000743944,SINGLE_HOUSE,L,2278500,438,FALSE,250,8.5,2024,Spiez,3700
3003139372,BIFAMILIAR_HOUSE,S,1389150,264,TRUE,290,8.5,2022,Koppigen,3425
3002537292,CHALET,S,4983300,826,TRUE,300,9.5,,Les Crosets,1873
4000497999,SINGLE_HOUSE,M,1396500,,FALSE,240,8.5,,Bellmund,2564
3000954607,SINGLE_HOUSE,S,1381800,,TRUE,230,8.5,2022,Claro,6702
3003143497,SINGLE_HOUSE,L,2155600,900,TRUE,220,9.5,2024,Burgistein,3664
4000391618,SINGLE_HOUSE,S,1304620,378,TRUE,200,7.5,2023,Biel/Bienne,2500
4000632924,ROW_HOUSE,L,1896300,277,TRUE,190,7.5,2023,Aesch BL,4147
3003137386,BIFAMILIAR_HOUSE,S,1528800,264,TRUE,290,8.5,2022,Koppigen,3425
4000632923,ROW_HOUSE,L,1969800,277,TRUE,190,7.5,2023,Aesch BL,4147
3003140019,CHALET,M,3234000,,TRUE,220,8.5,2021,Riederalp,3987
3003145037,SINGLE_HOUSE,S,,330,TRUE,220,8.5,,La Neuveville,2520
3003527245,BIFAMILIAR_HOUSE,S,2521050,350,TRUE,220,8.5,,Zuzwil SG,9524
4000670850,SINGLE_HOUSE,L,1161300,280,TRUE,180,7.5,2024,Zullwil,4234
3003178551,SINGLE_HOUSE,S,1173060,862,FALSE,210,8.5,2023,Corban,2826
3003136743,SINGLE_HOUSE,S,2528400,619,TRUE,350,8.5,2023,Murgenthal,4853
3003310013,SINGLE_HOUSE,M,1690500,617,TRUE,250,8.5,,Farnern,4539
109300801,VILLA,M,7056000,,TRUE,440,9.5,2021,Castagnola,6976
3003135452,SINGLE_HOUSE,S,1984500,450,TRUE,,8.5,2023,Egerkingen,4622
3003137510,SINGLE_HOUSE,S,2866500,537,TRUE,310,8.5,2023,Egerkingen,4622
3003136748,SINGLE_HOUSE,S,1653750,582,TRUE,290,12.5,2023,Flühli LU,6173
3003514218,SINGLE_HOUSE,S,2043300,437,TRUE,230,8.5,2024,Märstetten,8560
4000795311,ROW_HOUSE,S,1837500,146,TRUE,190,8.5,2021,Flawil,9230
3002169934,MULTIPLE_DWELLING,S,10584000,2616,TRUE,2540,,2022,Sierre,3960
3003181683,SINGLE_HOUSE,M,1727250,354,FALSE,290,8.5,2023,Sevelen,9475
4000391586,SINGLE_HOUSE,S,1289920,348,TRUE,190,7.5,2023,Biel/Bienne,2500
4000670641,SINGLE_HOUSE,L,1249500,280,TRUE,180,7.5,2024,Zullwil,4234
3003136928,SINGLE_HOUSE,S,1580250,350917,TRUE,230,8.5,2022,Bellwald,3997
3003140515,SINGLE_HOUSE,S,1881600,,FALSE,250,8.5,,Düdingen,3186
4000802537,SINGLE_HOUSE,L,2322600,243,TRUE,240,9,1933,Allschwil,4123
4000717762,SINGLE_HOUSE,L,3160500,644,TRUE,250,10,2024,Hofstetten,4114
4000729776,SINGLE_HOUSE,L,1315650,120,TRUE,150,9,1966,Reinach BL,4153
4000825560,SINGLE_HOUSE,L,1756650,187,TRUE,220,7,1960,Reinach,4153
4000830729,MULTIPLE_DWELLING,L,2403450,4160,,880,37.5,1680,Langenbruck,4438
4000830730,MULTIPLE_DWELLING,L,2278500,358,TRUE,600,14,1888,Langenbruck,4438
4000830731,SINGLE_HOUSE,L,2278500,358,TRUE,600,14,1888,Langenbruck,4438
4000683975,SINGLE_HOUSE,M,1984500,490,TRUE,220,8.5,2024,Läufelfingen,4448
4000828574,MULTIPLE_DWELLING,L,,1527,TRUE,,,2004,Sursee,6210
4000828264,SINGLE_HOUSE,L,2690100,812,TRUE,200,9.5,1976,Adligenswil,6043
4000828262,MULTIPLE_DWELLING,L,470400,,,220,11,,Arogno,6822
4000826485,SINGLE_HOUSE,L,2866500,899,TRUE,360,9.5,1974,Füllinsdorf,4414
4000826201,VILLA,L,3895500,581,TRUE,220,9,,Corsier GE,1246
4000820000,MULTIPLE_DWELLING,L,2102100,675,TRUE,560,,,Sulgen,8583
4000819442,SINGLE_HOUSE,L,3087000,450,TRUE,440,12.5,1906,Mendrisio,6850
4000796174,BIFAMILIAR_HOUSE,L,3160500,404,TRUE,510,11,2005,Villars-Sainte-Croix,1029
4000788230,SINGLE_HOUSE,L,2940000,336,TRUE,170,7.5,1946,Steinhausen,6312
4000785866,BIFAMILIAR_HOUSE,L,1690500,135,TRUE,190,7.5,,Beromünster,6215
4000783894,BIFAMILIAR_HOUSE,L,,1178,,,9.5,1986,Pfäffikon ZH,8330
4000768026,BIFAMILIAR_HOUSE,L,3498600,511,TRUE,440,11,1967,Kriens,6010
4000699000,SINGLE_HOUSE,L,3822000,800,,220,8.5,1946,Chambésy,1292
4000689005,CHALET,L,3087000,710,TRUE,290,10,2011,Morgins,1875
4000683872,SINGLE_HOUSE,L,3814650,224,TRUE,290,8.5,1888,Schluein,7151
4000683445,CHALET,L,3667650,280,TRUE,200,5.5,2023,Schluein,7151
4000683442,SINGLE_HOUSE,L,,218,TRUE,360,8.5,2025,Flims Dorf,7017
4000669544,SINGLE_HOUSE,L,,1356,TRUE,450,14,,Seewis Dorf,7212
