Date,Competition,,VT,UB,BB,FX,AA
Oct 29-Nov 6,World Championships,EF,0,14.766,0,0,0
Oct 29-Nov 6,World Championships,AA,14.233,14.366,13.1,13.7,55.399
Oct 29-Nov 6,World Championships,TF,13.933,14.333,0,13.733,0
Oct 29-Nov 6,World Championships,QF,14.2,14.566,13.2,13.8,55.766
Oct 21-22,U.S. Worlds Trials,EF,0,14.6,12.75,0,0
Oct 21-22,U.S. Worlds Trials,AA,14.5,14.5,13.6,14.1,56.7
Sep 24-25,Paris Challenge Cup,EF,0,14.7,13.4,13.5,0
Sep 24-25,Paris Challenge Cup,QF,0,13.2,13.45,12.55,0
Aug 18-21,U.S. Championships,AA,14.5,13.6,12.45,14.25,54.8
Aug 18-21,U.S. Championships,QF,14.55,14.85,13.7,14.1,57.2
Jul 29-31,U.S. Classic,AA,14.4,14.5,11.5,13.65,54.05
Apr 9-10,City of Jesolo Trophy,EF,0,14.3,13.55,0,0
Apr 9-10,City of Jesolo Trophy,AA,14.033,14.133,13.467,12.1,53.733
Mar 31-Apr 3,March National Team Camp,AA,14.3,14.15,12.4,13.7,54.55
