Rank,Athlete,Nation,D,E,ND,Total
1,Natsumi Sasada,Japan,6.1,8.15,,14.25
2,Emma Nedov,Australia,6.2,7.9,-0.1,14
3,Polina Fedorova,Russia,5.8,8.05,,13.85
4,Yu Minobe,Japan,5.9,7.9,,13.8
5,Park Jisoo,South Korea,5.8,7.85,,13.65
6,Filipa Martins,Portugal,5.5,8.05,,13.55
7,Dilnoza Abdusalimova,Uzbekistan,5.4,8.2,-0.1,13.5
8,Eum Dayeon,South Korea,5.1,8.1,,13.2
9,Heo Seonmi,South Korea,5.3,7.6,,12.9
10,Tan Ing Yueh,Malaysia,4.8,8,,12.8
11,Kelly Simm,Great Britain,5.6,7.15,,12.75
12,Ekaterina Kramarenko,Russia,5.2,7.45,,12.65
13,Claudia Cummins,South Africa,5.1,7.5,,12.6
14,Asuka Teramoto,Japan,5.7,6.9,,12.6
15,Farah Ann Abdul Hadi,Malaysia,5,7.5,,12.5
16,Sakura Yumoto,Japan,5.8,6.45,,12.25
17,Simone Penker,Austria,4.8,7.35,,12.15
18,Park Eunkyung,South Korea,4.9,7.25,,12.15
19,Carmen Horvat,Slovenia,4.2,7.9,,12.1
20,Tracie Ang,Malaysia,5.4,6.7,,12.1
21,Daria Elizarova,Russia,5.9,6.25,-0.1,12.05
22,Mary-Anne Monckton,Australia,5.9,6.15,,12.05
23,Alla Sidorenko,Russia,5.1,6.7,,11.8
24,Sofie Bråten,Norway,4.8,6.9,,11.7
25,Elisabeth Geurts,Netherlands,4.5,7.1,,11.6
26,Nur Eli Ellina Azmi,Malaysia,5,6.35,,11.35
27,Jordan Rae,New Zealand,5.2,6,,11.2
28,Georgia-Rose Brown,Australia,4.3,6.8,,11.1
29,Mariana Vazquez,Mexico,4.7,6.05,,10.75
30,Tiril Døvre,Norway,4.3,5.65,-0.1,9.85
