"species","island","bill_length_mm","bill_depth_mm","flipper_length_mm","body_mass_g","sex"
"1","Adelie","Torgersen",39.1,18.7,181,3750,"male"
"2","Adelie","Torgersen",39.5,17.4,186,3800,"female"
"3","Adelie","Torgersen",40.3,18,195,3250,"female"
"4","Adelie","Torgersen",36.7,19.3,193,3450,"female"
"5","Adelie","Torgersen",39.3,20.6,190,3650,"male"
"6","Adelie","Torgersen",38.9,17.8,181,3625,"female"
"7","Adelie","Torgersen",39.2,19.6,195,4675,"male"
"8","Adelie","Torgersen",41.1,17.6,182,3200,"female"
"9","Adelie","Torgersen",38.6,21.2,191,3800,"male"
"10","Adelie","Torgersen",34.6,21.1,198,4400,"male"
"11","Adelie","Torgersen",36.6,17.8,185,3700,"female"
"12","Adelie","Torgersen",38.7,19,195,3450,"female"
"13","Adelie","Torgersen",42.5,20.7,197,4500,"male"
"14","Adelie","Torgersen",34.4,18.4,184,3325,"female"
"15","Adelie","Torgersen",46,21.5,194,4200,"male"
"16","Adelie","Biscoe",37.8,18.3,174,3400,"female"
"17","Adelie","Biscoe",37.7,18.7,180,3600,"male"
"18","Adelie","Biscoe",35.9,19.2,189,3800,"female"
"19","Adelie","Biscoe",38.2,18.1,185,3950,"male"
"20","Adelie","Biscoe",38.8,17.2,180,3800,"male"
"21","Adelie","Biscoe",35.3,18.9,187,3800,"female"
"22","Adelie","Biscoe",40.6,18.6,183,3550,"male"
"23","Adelie","Biscoe",40.5,17.9,187,3200,"female"
"24","Adelie","Biscoe",37.9,18.6,172,3150,"female"
"25","Adelie","Biscoe",40.5,18.9,180,3950,"male"
"26","Adelie","Dream",39.5,16.7,178,3250,"female"
"27","Adelie","Dream",37.2,18.1,178,3900,"male"
"28","Adelie","Dream",39.5,17.8,188,3300,"female"
"29","Adelie","Dream",40.9,18.9,184,3900,"male"
"30","Adelie","Dream",36.4,17,195,3325,"female"
"31","Adelie","Dream",39.2,21.1,196,4150,"male"
"32","Adelie","Dream",38.8,20,190,3950,"male"
"33","Adelie","Dream",42.2,18.5,180,3550,"female"
"34","Adelie","Dream",37.6,19.3,181,3300,"female"
"35","Adelie","Dream",39.8,19.1,184,4650,"male"
"36","Adelie","Dream",36.5,18,182,3150,"female"
"37","Adelie","Dream",40.8,18.4,195,3900,"male"
"38","Adelie","Dream",36,18.5,186,3100,"female"
"39","Adelie","Dream",44.1,19.7,196,4400,"male"
"40","Adelie","Dream",37,16.9,185,3000,"female"
"41","Adelie","Dream",39.6,18.8,190,4600,"male"
"42","Adelie","Dream",41.1,19,182,3425,"male"
"43","Adelie","Dream",36,17.9,190,3450,"female"
"44","Adelie","Dream",42.3,21.2,191,4150,"male"
"45","Adelie","Biscoe",39.6,17.7,186,3500,"female"
"46","Adelie","Biscoe",40.1,18.9,188,4300,"male"
"47","Adelie","Biscoe",35,17.9,190,3450,"female"
"48","Adelie","Biscoe",42,19.5,200,4050,"male"
"49","Adelie","Biscoe",34.5,18.1,187,2900,"female"
"50","Adelie","Biscoe",41.4,18.6,191,3700,"male"
"51","Adelie","Biscoe",39,17.5,186,3550,"female"
"52","Adelie","Biscoe",40.6,18.8,193,3800,"male"
"53","Adelie","Biscoe",36.5,16.6,181,2850,"female"
"54","Adelie","Biscoe",37.6,19.1,194,3750,"male"
"55","Adelie","Biscoe",35.7,16.9,185,3150,"female"
"56","Adelie","Biscoe",41.3,21.1,195,4400,"male"
"57","Adelie","Biscoe",37.6,17,185,3600,"female"
"58","Adelie","Biscoe",41.1,18.2,192,4050,"male"
"59","Adelie","Biscoe",36.4,17.1,184,2850,"female"
"60","Adelie","Biscoe",41.6,18,192,3950,"male"
"61","Adelie","Biscoe",35.5,16.2,195,3350,"female"
"62","Adelie","Biscoe",41.1,19.1,188,4100,"male"
"63","Adelie","Torgersen",35.9,16.6,190,3050,"female"
"64","Adelie","Torgersen",41.8,19.4,198,4450,"male"
"65","Adelie","Torgersen",33.5,19,190,3600,"female"
"66","Adelie","Torgersen",39.7,18.4,190,3900,"male"
"67","Adelie","Torgersen",39.6,17.2,196,3550,"female"
"68","Adelie","Torgersen",45.8,18.9,197,4150,"male"
"69","Adelie","Torgersen",35.5,17.5,190,3700,"female"
"70","Adelie","Torgersen",42.8,18.5,195,4250,"male"
"71","Adelie","Torgersen",40.9,16.8,191,3700,"female"
"72","Adelie","Torgersen",37.2,19.4,184,3900,"male"
"73","Adelie","Torgersen",36.2,16.1,187,3550,"female"
"74","Adelie","Torgersen",42.1,19.1,195,4000,"male"
"75","Adelie","Torgersen",34.6,17.2,189,3200,"female"
"76","Adelie","Torgersen",42.9,17.6,196,4700,"male"
"77","Adelie","Torgersen",36.7,18.8,187,3800,"female"
"78","Adelie","Torgersen",35.1,19.4,193,4200,"male"
"79","Adelie","Dream",37.3,17.8,191,3350,"female"
"80","Adelie","Dream",41.3,20.3,194,3550,"male"
"81","Adelie","Dream",36.3,19.5,190,3800,"male"
"82","Adelie","Dream",36.9,18.6,189,3500,"female"
"83","Adelie","Dream",38.3,19.2,189,3950,"male"
"84","Adelie","Dream",38.9,18.8,190,3600,"female"
"85","Adelie","Dream",35.7,18,202,3550,"female"
"86","Adelie","Dream",41.1,18.1,205,4300,"male"
"87","Adelie","Dream",34,17.1,185,3400,"female"
"88","Adelie","Dream",39.6,18.1,186,4450,"male"
"89","Adelie","Dream",36.2,17.3,187,3300,"female"
"90","Adelie","Dream",40.8,18.9,208,4300,"male"
"91","Adelie","Dream",38.1,18.6,190,3700,"female"
"92","Adelie","Dream",40.3,18.5,196,4350,"male"
"93","Adelie","Dream",33.1,16.1,178,2900,"female"
"94","Adelie","Dream",43.2,18.5,192,4100,"male"
"95","Adelie","Biscoe",35,17.9,192,3725,"female"
"96","Adelie","Biscoe",41,20,203,4725,"male"
"97","Adelie","Biscoe",37.7,16,183,3075,"female"
"98","Adelie","Biscoe",37.8,20,190,4250,"male"
"99","Adelie","Biscoe",37.9,18.6,193,2925,"female"
"100","Adelie","Biscoe",39.7,18.9,184,3550,"male"
"101","Adelie","Biscoe",38.6,17.2,199,3750,"female"
"102","Adelie","Biscoe",38.2,20,190,3900,"male"
"103","Adelie","Biscoe",38.1,17,181,3175,"female"
"104","Adelie","Biscoe",43.2,19,197,4775,"male"
"105","Adelie","Biscoe",38.1,16.5,198,3825,"female"
"106","Adelie","Biscoe",45.6,20.3,191,4600,"male"
"107","Adelie","Biscoe",39.7,17.7,193,3200,"female"
"108","Adelie","Biscoe",42.2,19.5,197,4275,"male"
