"treat","test1","test2"
"1","1",0,8.5
"2","1",0,0
"3","1",0,4.3
"4","1",2.5,0
"5","1",0,25.6
"6","1",10.7,0
"7","1",46.9,63.9
"8","1",0,0
"9","1",6.4,4.3
"10","1",27.7,23.4
"11","1",21.3,36.2
"12","1",0,0
"13","1",0,4.3
"14","1",0,17
"15","1",6.4,0
"16","1",12.8,2.1
"17","1",0,25.6
"18","1",8.5,8.5
"19","1",8.5,4.3
"20","1",2.5,10.7
"21","2",0,25.6
"22","2",0,55.4
"23","2",0,8.5
"24","2",0,0
"25","2",8.5,42.6
"26","2",8.5,25.6
"27","2",0,29.3
"28","2",0,0
"29","2",2.1,14.8
"30","2",0,8.5
"31","2",0,14.9
"32","2",19.2,23.4
"33","2",8.5,34.1
"34","2",4.3,29.8
"35","2",0,4.3
"36","2",8.5,4.3
"37","2",8.5,25.6
"38","2",21.3,31
"39","2",2.5,25.6
"40","2",72.4,42.6
