TIME_PERIOD;GEO;INDICATOR_1;INDICATOR_2;OBS_VALUE;OBS_CONFIDENCE;OBS_STATUS
2019;CH;1;1;164483;2.7;A
2019;CH;1;2;443614;1.4;A
2019;CH;1;3;787782;0.9;A
2019;CH;1;4;606926;1;A
2019;CH;1;5;147131;1.9;A
2019;CH;1;6;33253;4.1;A
2019;CH;1;Total;2183189;0.4;A
2019;CH;2;1;3964;19;A
2019;CH;2;2;17836;7.9;A
2019;CH;2;3;45210;4.4;A
2019;CH;2;4;36518;4.1;A
2019;CH;2;5;7472;8.4;A
2019;CH;2;6;881;26.1;A
2019;CH;2;Total;111881;2.7;A
2019;CH;3;1;4924;16.6;A
2019;CH;3;2;26151;6.1;A
2019;CH;3;3;108565;2.7;A
2019;CH;3;4;204739;1.7;A
2019;CH;3;5;79328;2.6;A
2019;CH;3;6;22665;4.7;A
2019;CH;3;Total;446373;1.2;A
2019;CH;4;1;4031;17.3;A
2019;CH;4;2;16877;7.6;A
2019;CH;4;3;70849;3.3;A
2019;CH;4;4;231303;1.6;A
2019;CH;4;5;323902;1.3;A
2019;CH;4;6;290907;1.3;A
2019;CH;4;Total;937868;0.7;A
2019;CH;5;1;7334;14;A
2019;CH;5;2;11364;9.1;A
2019;CH;5;3;26379;5.4;A
2019;CH;5;4;34689;4.3;A
2019;CH;5;5;22741;5.1;A
2019;CH;5;6;22958;5;A
2019;CH;5;Total;125466;2.4;A
2019;CH;Total;1;184736;2.6;A
2019;CH;Total;2;515841;1.2;A
2019;CH;Total;3;1038786;0.8;A
2019;CH;Total;4;1114175;0.6;A
2019;CH;Total;5;580575;0.9;A
2019;CH;Total;6;370663;1.1;A
2019;CH;Total;Total;3804777;0.1;A
2020;CH;1;1;166093;2.6;A
2020;CH;1;2;460578;1.3;A
2020;CH;1;3;804874;0.9;A
2020;CH;1;4;614705;0.9;A
2020;CH;1;5;152068;1.8;A
2020;CH;1;6;34230;3.8;A
2020;CH;1;Total;2232548;0.4;A
2020;CH;2;1;4674;17.6;A
2020;CH;2;2;16875;8;A
2020;CH;2;3;44163;4.4;A
2020;CH;2;4;35611;4.1;A
2020;CH;2;5;7524;8.2;A
2020;CH;2;6;1013;23.3;A
2020;CH;2;Total;109858;2.6;A
2020;CH;3;1;4348;17.1;A
2020;CH;3;2;24886;5.9;A
2020;CH;3;3;111506;2.5;A
2020;CH;3;4;209346;1.6;A
2020;CH;3;5;82224;2.4;A
2020;CH;3;6;24477;4.3;A
2020;CH;3;Total;456787;1.1;A
2020;CH;4;1;4201;15;A
2020;CH;4;2;15902;7.3;A
2020;CH;4;3;70883;3.1;A
2020;CH;4;4;227802;1.5;A
2020;CH;4;5;324010;1.2;A
2020;CH;4;6;298244;1.2;A
2020;CH;4;Total;941043;0.6;A
2020;CH;5;1;5910;14;A
2020;CH;5;2;11819;8.7;A
2020;CH;5;3;25989;5.1;A
2020;CH;5;4;32445;4.2;A
2020;CH;5;5;22028;5;A
2020;CH;5;6;22247;4.7;A
2020;CH;5;Total;120438;2.3;A
2020;CH;Total;1;185226;2.4;A
2020;CH;Total;2;530060;1.2;A
2020;CH;Total;3;1057415;0.7;A
2020;CH;Total;4;1119910;0.6;A
2020;CH;Total;5;587853;0.8;A
2020;CH;Total;6;380210;1;A
2020;CH;Total;Total;3860675;0.1;A
2021;CH;1;1;166755;2.7;A
2021;CH;1;2;467151;1.3;A
2021;CH;1;3;807256;0.9;A
2021;CH;1;4;627648;0.9;A
2021;CH;1;5;152790;1.8;A
2021;CH;1;6;34209;4;A
2021;CH;1;Total;2255808;0.4;A
2021;CH;2;1;3758;19.5;A
2021;CH;2;2;18313;7.9;A
2021;CH;2;3;44083;4.5;A
2021;CH;2;4;36457;4.2;A
2021;CH;2;5;6909;8.8;A
2021;CH;2;6;929;24.3;A
2021;CH;2;Total;110449;2.7;A
2021;CH;3;1;5026;15.7;A
2021;CH;3;2;28440;5.8;A
2021;CH;3;3;117329;2.6;A
2021;CH;3;4;212664;1.7;A
2021;CH;3;5;83580;2.5;A
2021;CH;3;6;23899;4.6;A
2021;CH;3;Total;470937;1.1;A
2021;CH;4;1;4717;15.4;A
2021;CH;4;2;16900;7.4;A
2021;CH;4;3;73735;3.2;A
2021;CH;4;4;230831;1.6;A
2021;CH;4;5;324013;1.2;A
2021;CH;4;6;299808;1.2;A
2021;CH;4;Total;950004;0.7;A
2021;CH;5;1;6090;14.5;A
2021;CH;5;2;11846;8.9;A
2021;CH;5;3;27960;5.3;A
2021;CH;5;4;32633;4.3;A
2021;CH;5;5;22984;4.9;A
2021;CH;5;6;21849;4.9;A
2021;CH;5;Total;123361;2.3;A
2021;CH;Total;1;186344;2.5;A
2021;CH;Total;2;542649;1.2;A
2021;CH;Total;3;1070364;0.7;A
2021;CH;Total;4;1140232;0.6;A
2021;CH;Total;5;590276;0.9;A
2021;CH;Total;6;380694;1.1;A
2021;CH;Total;Total;3910559;0.1;A
2022;CH;1;1;168235;2.7;A
2022;CH;1;2;476875;1.3;A
2022;CH;1;3;828484;0.9;A
2022;CH;1;4;634050;0.9;A
2022;CH;1;5;155130;1.8;A
2022;CH;1;6;33589;4;A
2022;CH;1;Total;2296363;0.4;A
2022;CH;2;1;4460;17.4;A
2022;CH;2;2;18486;7.7;A
2022;CH;2;3;44121;4.5;A
2022;CH;2;4;36134;4.2;A
2022;CH;2;5;7230;8.4;A
2022;CH;2;6;696;27.1;A
2022;CH;2;Total;111127;2.7;A
2022;CH;3;1;5203;15;A
2022;CH;3;2;29110;5.7;A
2022;CH;3;3;120602;2.5;A
2022;CH;3;4;216379;1.6;A
2022;CH;3;5;85803;2.5;A
2022;CH;3;6;22916;4.6;A
2022;CH;3;Total;480012;1.1;A
2022;CH;4;1;4889;14.8;A
2022;CH;4;2;15884;7.6;A
2022;CH;4;3;73219;3.2;A
2022;CH;4;4;231165;1.6;A
2022;CH;4;5;326013;1.2;A
2022;CH;4;6;288702;1.3;A
2022;CH;4;Total;939871;0.7;A
2022;CH;5;1;7026;14.4;A
2022;CH;5;2;12497;8.5;A
2022;CH;5;3;28482;5.2;A
2022;CH;5;4;34100;4.3;A
2022;CH;5;5;22922;4.9;A
2022;CH;5;6;21366;4.9;A
2022;CH;5;Total;126393;2.3;A
2022;CH;Total;1;189812;2.5;A
2022;CH;Total;2;552852;1.2;A
2022;CH;Total;3;1094908;0.7;A
2022;CH;Total;4;1151827;0.6;A
2022;CH;Total;5;597099;0.9;A
2022;CH;Total;6;367269;1.1;A
2022;CH;Total;Total;3953767;0.1;A
