TIME_PERIOD;GEO;INDICATOR;OBS_VALUE;OBS_CONFIDENCE;OBS_STATUS
2019;CH040;1;435067;0.9;A
2019;CH040;2;52543;4;A
2019;CH040;3;75624;3;A
2019;CH040;4;116235;2.1;A
2019;CH040;5;12189;8.1;A
2019;CH040;Total;691659;0.3;A
2019;CH021;1;261831;1.3;A
2019;CH021;2;9920;9.1;A
2019;CH021;3;52892;3.5;A
2019;CH021;4;131076;1.9;A
2019;CH021;5;18443;6.9;A
2019;CH021;Total;474162;0.3;A
2019;CH061;1;106609;1.3;A
2019;CH061;2;5903;8.8;A
2019;CH061;3;21525;3.9;A
2019;CH061;4;40060;2.5;A
2019;CH061;5;5176;9.4;A
2019;CH061;Total;179274;0.4;A
2019;CH062;1;7589;8;A
2019;CH062;2;476;45.3;U
2019;CH062;3;1381;23.6;A
2019;CH062;4;5263;9.1;A
2019;CH062;5;789;34.9;U
2019;CH062;Total;15499;1.7;A
2019;CH063;1;39239;3.3;A
2019;CH063;2;560;41.1;U
2019;CH063;3;10458;8;A
2019;CH063;4;16844;5.4;A
2019;CH063;5;2230;18.4;A
2019;CH063;Total;69332;0.8;A
2019;CH064;1;7565;8.6;A
2019;CH064;2;;;Q
2019;CH064;3;2633;16.2;A
2019;CH064;4;5028;10.3;A
2019;CH064;5;868;44.2;U
2019;CH064;Total;16192;2.1;A
2019;CH065;1;10704;6;A
2019;CH065;2;147;84.3;U
2019;CH065;3;3622;13;A
2019;CH065;4;3964;11.4;A
2019;CH065;5;676;43.6;U
2019;CH065;Total;19112;1.4;A
2019;CH051;1;8982;7.5;A
2019;CH051;2;347;53.1;U
2019;CH051;3;1174;25.4;A
2019;CH051;4;6844;7.9;A
2019;CH051;5;716;34.4;U
2019;CH051;Total;18064;1.6;A
2019;CH066;1;34505;2.2;A
2019;CH066;2;997;19.5;A
2019;CH066;3;9782;5.4;A
2019;CH066;4;8154;5.6;A
2019;CH066;5;1511;15.6;A
2019;CH066;Total;54949;0.6;A
2019;CH022;1;69919;2.5;A
2019;CH022;2;540;37.7;U
2019;CH022;3;12430;7.7;A
2019;CH022;4;43911;3.1;A
2019;CH022;5;6697;10.7;A
2019;CH022;Total;133498;0.6;A
2019;CH023;1;59410;3;A
2019;CH023;2;1645;26.5;A
2019;CH023;3;9919;8.9;A
2019;CH023;4;48243;2.9;A
2019;CH023;5;3643;14.6;A
2019;CH023;Total;122859;0.6;A
2019;CH031;1;71783;2.2;A
2019;CH031;2;9208;9.7;A
2019;CH031;3;6006;12;A
2019;CH031;4;9389;8.7;A
2019;CH031;5;893;32.3;U
2019;CH031;Total;97280;0.8;A
2019;CH032;1;65676;2.7;A
2019;CH032;2;3067;17.1;A
2019;CH032;3;12896;7.7;A
2019;CH032;4;43851;3.2;A
2019;CH032;5;3183;15.6;A
2019;CH032;Total;128674;0.6;A
2019;CH052;1;20168;4.9;A
2019;CH052;2;1008;31.7;U
2019;CH052;3;3839;13.9;A
2019;CH052;4;11869;6.3;A
2019;CH052;5;834;30.5;A
2019;CH052;Total;37719;1.3;A
2019;CH053;1;11455;6.9;A
2019;CH053;2;389;59;U
2019;CH053;3;1801;22.6;A
2019;CH053;4;9416;7.2;A
2019;CH053;5;948;29.5;A
2019;CH053;Total;24008;1.3;A
2019;CH054;1;2438;15.2;A
2019;CH054;2;;;Q
2019;CH054;3;577;38.3;U
2019;CH054;4;3127;11.7;A
2019;CH054;5;270;50.2;U
2019;CH054;Total;6508;2.6;A
2019;CH055;1;123283;1.9;A
2019;CH055;2;3340;17.4;A
2019;CH055;3;24134;5.4;A
2019;CH055;4;66303;2.6;A
2019;CH055;5;5933;11.7;A
2019;CH055;Total;222993;0.4;A
2019;CH056;1;46386;3.5;A
2019;CH056;2;1558;24;A
2019;CH056;3;14768;7.2;A
2019;CH056;4;26162;4.5;A
2019;CH056;5;3564;16.5;A
2019;CH056;Total;92439;0.8;A
2019;CH033;1;144327;1.8;A
2019;CH033;2;3437;17.2;A
2019;CH033;3;38877;4.3;A
2019;CH033;4;101615;2.1;A
2019;CH033;5;8995;9.2;A
2019;CH033;Total;297250;0.3;A
2019;CH057;1;61969;2.7;A
2019;CH057;2;1410;26.6;A
2019;CH057;3;12487;7.6;A
2019;CH057;4;42716;3.2;A
2019;CH057;5;3118;15.4;A
2019;CH057;Total;121701;0.5;A
2019;CH070;1;89868;1.5;A
2019;CH070;2;529;29.9;U
2019;CH070;3;22800;3.9;A
2019;CH070;4;39474;2.6;A
2019;CH070;5;10989;5.9;A
2019;CH070;Total;163660;0.3;A
2019;CH011;1;229882;0.9;A
2019;CH011;2;4440;10.6;A
2019;CH011;3;41572;2.9;A
2019;CH011;4;63907;2;A
2019;CH011;5;14045;5.4;A
2019;CH011;Total;353845;0.3;A
2019;CH012;1;61637;3.3;A
2019;CH012;2;457;45.8;U
2019;CH012;3;37397;4.2;A
2019;CH012;4;45767;3.4;A
2019;CH012;5;7371;10.6;A
2019;CH012;Total;152629;0.6;A
2019;CH024;1;53225;1.8;A
2019;CH024;2;1100;20.6;A
2019;CH024;3;8790;6.1;A
2019;CH024;4;15905;4;A
2019;CH024;5;2511;12.2;A
2019;CH024;Total;81531;0.5;A
2019;CH013;1;145778;1.2;A
2019;CH013;2;8250;7.8;A
2019;CH013;3;16970;5;A
2019;CH013;4;18723;4.1;A
2019;CH013;5;7828;9.1;A
2019;CH013;Total;197549;0.7;A
2019;CH025;1;13893;6.7;A
2019;CH025;2;415;54.4;U
2019;CH025;3;2018;19.1;A
2019;CH025;4;14021;5.4;A
2019;CH025;5;2045;20.4;A
2019;CH025;Total;32391;1.3;A
2019;CH;1;2183189;0.4;A
2019;CH;2;111881;2.7;A
2019;CH;3;446373;1.2;A
2019;CH;4;937868;0.7;A
2019;CH;5;125466;2.4;A
2019;CH;Total;3804777;0.1;A
2020;CH040;1;447314;0.9;A
2020;CH040;2;49588;4.1;A
2020;CH040;3;78490;3;A
2020;CH040;4;113779;2.2;A
2020;CH040;5;12054;8.2;A
2020;CH040;Total;701225;0.2;A
2020;CH021;1;267932;1.2;A
2020;CH021;2;11403;9;A
2020;CH021;3;52579;3.6;A
2020;CH021;4;131551;1.9;A
2020;CH021;5;17596;6.8;A
2020;CH021;Total;481061;0.3;A
2020;CH061;1;109178;1.3;A
2020;CH061;2;5965;8.6;A
2020;CH061;3;23577;3.7;A
2020;CH061;4;38323;2.5;A
2020;CH061;5;5024;9.4;A
2020;CH061;Total;182067;0.3;A
2020;CH062;1;7395;8.1;A
2020;CH062;2;767;33.8;U
2020;CH062;3;1731;19.7;A
2020;CH062;4;5262;9.4;A
2020;CH062;5;586;41.2;U
2020;CH062;Total;15741;1.8;A
2020;CH063;1;38180;3.3;A
2020;CH063;2;1010;34.2;U
2020;CH063;3;10310;8;A
2020;CH063;4;18637;5.1;A
2020;CH063;5;2476;17.9;A
2020;CH063;Total;70613;0.7;A
2020;CH064;1;7631;8.9;A
2020;CH064;2;;;Q
2020;CH064;3;2265;16.7;A
2020;CH064;4;5553;9.5;A
2020;CH064;5;839;37.5;U
2020;CH064;Total;16402;2.1;A
2020;CH065;1;11091;5.9;A
2020;CH065;2;172;67.2;U
2020;CH065;3;3473;12.8;A
2020;CH065;4;4049;10.8;A
2020;CH065;5;616;36.7;U
2020;CH065;Total;19401;1.5;A
2020;CH051;1;8614;8.4;A
2020;CH051;2;180;84.6;U
2020;CH051;3;1150;27.4;A
2020;CH051;4;7615;8.2;A
2020;CH051;5;685;35.1;U
2020;CH051;Total;18245;2.1;A
2020;CH066;1;35474;2.2;A
2020;CH066;2;1054;20;A
2020;CH066;3;10329;5.3;A
2020;CH066;4;7519;5.8;A
2020;CH066;5;1223;17.6;A
2020;CH066;Total;55599;0.6;A
2020;CH022;1;72674;2.4;A
2020;CH022;2;593;43.1;U
2020;CH022;3;12699;7.7;A
2020;CH022;4;43590;3.2;A
2020;CH022;5;6903;10.6;A
2020;CH022;Total;136459;0.6;A
2020;CH023;1;59834;3.1;A
2020;CH023;2;1018;32.4;U
2020;CH023;3;10640;8.6;A
2020;CH023;4;49471;2.8;A
2020;CH023;5;3770;14.6;A
2020;CH023;Total;124732;0.7;A
2020;CH031;1;72378;2.1;A
2020;CH031;2;9142;9.7;A
2020;CH031;3;5857;12.1;A
2020;CH031;4;9184;8.7;A
2020;CH031;5;964;30.9;U
2020;CH031;Total;97524;0.7;A
2020;CH032;1;66253;2.6;A
2020;CH032;2;3321;15.9;A
2020;CH032;3;13651;7.1;A
2020;CH032;4;44088;3.1;A
2020;CH032;5;2943;15.2;A
2020;CH032;Total;130256;0.5;A
2020;CH052;1;21719;4.4;A
2020;CH052;2;973;30.3;U
2020;CH052;3;3525;14.6;A
2020;CH052;4;11059;6.5;A
2020;CH052;5;981;25.8;A
2020;CH052;Total;38258;1;A
2020;CH053;1;12085;6.4;A
2020;CH053;2;428;47.6;U
2020;CH053;3;1661;21.7;A
2020;CH053;4;9589;6.8;A
2020;CH053;5;501;41;U
2020;CH053;Total;24263;1.4;A
2020;CH054;1;2617;15.1;A
2020;CH054;2;;;Q
2020;CH054;3;513;42;U
2020;CH054;4;3353;10.5;A
2020;CH054;5;184;63.7;U
2020;CH054;Total;6666;2.9;A
2020;CH055;1;126856;1.9;A
2020;CH055;2;3090;18.2;A
2020;CH055;3;25285;5.4;A
2020;CH055;4;65102;2.7;A
2020;CH055;5;5902;12;A
2020;CH055;Total;226234;0.4;A
2020;CH056;1;46950;3.3;A
2020;CH056;2;1179;29.3;A
2020;CH056;3;15351;6.9;A
2020;CH056;4;26140;4.6;A
2020;CH056;5;4022;15;A
2020;CH056;Total;93642;0.7;A
2020;CH033;1;149971;1.2;A
2020;CH033;2;3614;11.5;A
2020;CH033;3;38315;2.9;A
2020;CH033;4;102725;1.4;A
2020;CH033;5;8141;6.5;A
2020;CH033;Total;302765;0.2;A
2020;CH057;1;63791;1.9;A
2020;CH057;2;1390;19.3;A
2020;CH057;3;13110;5.2;A
2020;CH057;4;42640;2.2;A
2020;CH057;5;2924;11.3;A
2020;CH057;Total;123854;0.4;A
2020;CH070;1;88717;1.5;A
2020;CH070;2;492;30.8;U
2020;CH070;3;23374;3.8;A
2020;CH070;4;41288;2.5;A
2020;CH070;5;11014;5.7;A
