TIME_PERIOD;GEO;INDICATOR_1;INDICATOR_2;OBS_VALUE;OBS_CONFIDENCE;OBS_STATUS
2019;CH;1;1;979124;0.6;A
2019;CH;1;2;629827;0.8;A
2019;CH;1;3;269340;1.1;A
2019;CH;1;4;210512;1.2;A
2019;CH;1;5;64728;2.3;A
2019;CH;1;6;29658;4.7;A
2019;CH;1;Total;2183189;0.4;A
2019;CH;2;1;44036;5.1;A
2019;CH;2;2;33291;4.4;A
2019;CH;2;3;13648;6.3;A
2019;CH;2;4;14979;5.5;A
2019;CH;2;5;4563;10;A
2019;CH;2;6;1364;23.6;A
2019;CH;2;Total;111881;2.7;A
2019;CH;3;1;144691;2.6;A
2019;CH;3;2;186019;1.6;A
2019;CH;3;3;50801;2.9;A
2019;CH;3;4;50059;2.7;A
2019;CH;3;5;11328;5.8;A
2019;CH;3;6;3474;13.2;A
2019;CH;3;Total;446373;1.2;A
2019;CH;4;1;165801;2.4;A
2019;CH;4;2;361625;1;A
2019;CH;4;3;139539;1.5;A
2019;CH;4;4;182702;1.1;A
2019;CH;4;5;63962;2;A
2019;CH;4;6;24238;4.4;A
2019;CH;4;Total;937868;0.7;A
2019;CH;5;1;37635;5.6;A
2019;CH;5;2;36080;4;A
2019;CH;5;3;23312;4.5;A
2019;CH;5;4;17252;4.6;A
2019;CH;5;5;6761;7.2;A
2019;CH;5;6;4426;12.4;A
2019;CH;5;Total;125466;2.4;A
2019;CH;Total;1;1371288;0.2;A
2019;CH;Total;2;1246843;0.2;A
2019;CH;Total;3;496640;0.3;A
2019;CH;Total;4;475504;0.3;A
2019;CH;Total;5;151342;1;A
2019;CH;Total;6;63160;2.9;A
2019;CH;Total;Total;3804777;0.1;A
2020;CH;1;1;1011568;0.6;A
2020;CH;1;2;642722;0.7;A
2020;CH;1;3;271877;1;A
2020;CH;1;4;214159;1.1;A
2020;CH;1;5;63904;2.2;A
2020;CH;1;6;28318;4.5;A
2020;CH;1;Total;2232548;0.4;A
2020;CH;2;1;44452;5;A
2020;CH;2;2;32250;4.3;A
2020;CH;2;3;13606;6.2;A
2020;CH;2;4;13797;5.6;A
2020;CH;2;5;4088;10.5;A
2020;CH;2;6;1666;20.4;A
2020;CH;2;Total;109858;2.6;A
2020;CH;3;1;146965;2.4;A
2020;CH;3;2;189922;1.5;A
2020;CH;3;3;52556;2.7;A
2020;CH;3;4;52279;2.5;A
2020;CH;3;5;11905;5.3;A
