"","box1","box2","box3","box4","box5","box6","box7","box8","box9","box10"
"1",0,1,1,6,1,4,4,0,1,9
"2",0,6,1,8,1,0,0,2,0,5
"3",0,6,2,3,1,0,0,2,1,0
"4",3,6,2,2,2,3,0,6,0,3
"5",1,2,0,0,2,2,3,0,2,2
"6",0,1,0,0,2,0,0,2,4,3
"7",3,1,3,3,3,2,1,1,0,6
"8",3,0,1,0,1,1,2,0,2,3
"9",8,1,0,3,0,0,7,0,0,1
"10",0,4,3,4,3,1,0,4,0,2
"11",1,1,1,4,3,4,0,0,0,2
"12",2,8,2,0,6,6,1,0,1,7
"13",0,2,0,9,2,3,0,2,4,0
"14",0,3,5,3,8,3,2,0,1,5
"15",3,0,0,1,3,0,0,1,0,2
"16",4,15,4,2,3,1,0,3,1,3
"17",4,0,2,8,0,0,2,1,0,1
"18",0,17,5,1,5,4,0,0,0,1
"19",3,0,0,1,4,1,0,0,1,3
"20",2,1,6,2,0,1,4,5,6,0
"21",2,1,14,1,10,2,2,3,0,0
"22",0,8,0,5,1,0,1,1,1,5
"23",2,3,5,2,5,0,1,3,9,2
"24",0,0,0,1,0,6,2,4,6,4
"25",1,3,4,1,0,0,1,4,1,0
"26",0,2,7,3,0,2,15,0,0,1
"27",8,4,1,5,1,1,1,1,0,1
"28",0,0,10,0,9,1,0,6,0,1
"29",3,0,1,0,4,5,6,3,4,2
"30",1,0,0,0,0,0,1,3,0,2
"31",5,0,2,6,3,1,3,2,0,3
"32",2,2,3,8,0,4,8,0,1,4
"33",4,3,3,1,5,0,1,4,5,1
"34",2,0,25,1,2,2,0,0,8,5
"35",2,6,0,2,1,3,3,1,0,4
"36",3,0,5,1,4,9,4,1,5,1
"37",0,1,0,9,1,10,0,0,2,1
"38",2,0,0,1,2,0,0,0,0,0
"39",1,1,1,3,4,0,2,4,0,3
"40",2,0,0,3,3,0,1,2,5,0
"41",7,3,8,1,5,0,3,0,0,0
"42",4,0,11,0,0,0,1,2,0,4
"43",5,3,1,1,3,5,0,3,9,7
"44",0,1,2,5,6,2,5,1,2,0
"45",6,2,5,2,0,7,0,0,6,3
"46",1,1,0,0,1,0,9,1,1,8
"47",0,2,4,0,1,0,5,1,2,3
"48",3,3,0,3,7,6,2,1,6,3
"49",14,1,1,0,0,0,1,0,0,15
"50",1,0,5,3,1,0,2,1,0,0
"51",0,7,6,0,2,2,0,4,0,7
"52",2,1,0,7,3,0,1,0,0,1
"53",1,2,2,4,3,0,2,5,5,2
"54",0,0,0,7,13,2,2,0,3,3
"55",0,6,0,0,4,2,1,2,6,0
"56",4,0,3,1,5,1,6,3,0,1
"57",8,5,6,2,7,10,1,2,3,0
"58",1,1,3,8,3,0,0,8,6,1
"59",9,3,1,0,2,1,6,1,1,7
"60",1,1,3,5,0,1,3,0,1,3
"61",0,2,0,1,8,0,4,4,2,0
"62",7,6,2,3,2,2,0,7,0,0
"63",1,4,0,3,0,0,1,0,6,0
"64",0,0,12,0,1,0,2,11,1,3
"65",0,0,0,4,0,3,3,1,0,15
"66",0,4,2,0,0,0,0,4,4,1
"67",3,0,3,0,0,0,2,0,3,4
"68",1,8,1,2,0,0,5,5,0,2
"69",5,0,1,5,1,0,1,0,0,6
"70",7,1,0,2,1,3,0,4,1,4
"71",3,2,2,7,1,1,1,0,1,2
"72",0,0,5,6,5,0,0,6,0,0
"73",1,0,1,2,2,0,0,0,4,1
"74",1,2,0,2,1,0,6,5,0,1
"75",2,0,6,0,0,0,8,1,3,1
"76",3,0,10,2,0,3,4,4,0,7
"77",9,8,2,1,4,0,2,8,4,0
"78",2,5,0,0,1,0,6,4,1,7
"79",6,0,1,3,1,2,0,1,7,0
"80",7,8,4,6,9,0,0,4,0,0
"81",6,1,5,3,0,0,1,0,1,0
"82",0,5,0,3,2,2,3,0,0,1
"83",4,4,1,0,0,0,0,7,0,4
"84",3,1,2,0,2,8,0,4,7,2
"85",0,7,1,3,0,10,0,2,4,2
"86",1,4,11,0,0,2,2,3,1,2
"87",0,7,0,0,5,2,0,2,3,2
"88",3,1,0,1,8,1,1,4,0,1
"89",2,1,0,0,0,2,0,2,0,2
"90",1,14,0,0,2,13,4,2,2,0
"91",1,3,1,1,1,3,1,1,1,1
"92",3,0,1,0,4,3,1,0,1,2
"93",7,0,0,0,0,5,13,5,0,0
"94",0,2,3,0,0,1,0,0,1,2
"95",1,5,1,7,6,5,2,1,0,0
"96",5,4,7,3,3,3,0,1,1,0
"97",1,1,1,1,0,0,3,1,4,1
"98",1,1,1,0,0,2,2,0,1,0
"99",0,1,0,2,4,1,3,5,3,5
"100",1,5,0,0,2,4,2,8,9,0
"101",1,1,1,0,0,4,0,0,0,0
"102",1,6,9,6,0,2,4,1,1,1
"103",0,0,2,0,1,1,8,2,1,1
"104",0,4,7,0,0,5,3,1,1,1
"105",0,7,1,3,2,2,6,0,0,3
"106",3,2,0,3,1,0,1,0,0,0
"107",2,2,4,6,3,0,6,2,0,0
"108",7,0,1,2,0,0,0,3,2,1
"109",0,2,7,1,1,3,2,4,1,0
"110",0,0,3,0,2,0,0,2,6,0
"111",0,6,10,1,0,1,1,11,1,1
"112",5,0,0,0,3,0,1,3,1,7
"113",0,2,2,3,2,1,2,5,5,3
"114",1,0,1,4,8,0,4,0,0,1
"115",1,3,8,5,2,0,5,0,6,4
"116",0,1,1,7,2,4,0,2,4,1
"117",0,1,0,4,0,3,6,0,2,5
"118",18,4,0,0,3,0,1,0,0,1
"119",2,0,4,2,3,4,0,3,1,0
"120",2,1,0,0,1,0,1,7,1,0
"121",10,0,1,0,17,3,5,3,0,1
"122",1,0,5,1,1,1,2,2,7,10
"123",2,1,6,0,0,5,6,4,2,1
"124",0,1,0,18,7,0,12,1,3,1
"125",1,3,1,2,4,5,0,0,0,1
"126",0,1,0,2,1,0,3,4,0,4
"127",0,2,2,3,0,3,0,4,0,0
"128",0,2,3,11,2,3,5,0,2,3
"129",0,2,14,10,2,2,0,3,3,0
"130",4,1,0,1,5,0,3,0,0,4
"131",1,3,2,2,0,9,9,3,0,0
"132",3,3,6,1,5,0,0,6,2,0
"133",8,0,0,2,8,2,0,3,0,3
"134",2,3,4,7,2,3,0,3,0,1
"135",10,1,0,5,2,1,0,0,1,7
"136",3,0,2,0,4,5,0,0,0,3
"137",3,0,1,3,2,2,0,14,0,1
"138",5,3,0,2,1,1,2,2,1,9
"139",0,0,2,3,8,4,2,3,0,1
"140",1,1,0,4,2,1,12,0,0,1
"141",0,10,13,3,11,0,4,1,6,2
"142",9,1,2,0,0,0,0,13,0,3
"143",2,1,0,1,3,7,5,12,5,0
"144",0,1,2,0,3,2,10,3,5,3
"145",8,2,2,0,1,0,2,10,2,1
"146",3,3,3,1,0,8,2,4,0,6
"147",0,0,3,2,7,3,2,2,3,0
"148",4,1,1,3,0,0,3,1,0,6
"149",6,2,1,4,1,5,2,1,0,0
"150",0,4,6,0,4,0,9,6,0,4
"151",7,0,2,2,5,14,2,2,3,0
"152",2,4,1,9,6,0,0,0,0,2
"153",5,0,4,3,4,4,1,0,3,1
"154",1,13,1,0,7,3,2,0,0,1
"155",0,3,2,15,5,0,3,3,6,0
"156",2,0,0,0,7,0,2,1,5,2
"157",0,6,3,0,1,0,1,17,16,1
"158",6,0,1,0,5,0,0,0,1,0
"159",2,4,0,3,1,2,7,5,2,2
"160",0,2,1,0,0,2,0,0,9,1
"161",1,1,1,0,0,3,0,8,2,7
"162",0,6,1,0,3,4,0,0,5,0
"163",0,2,3,5,1,2,0,0,0,9
"164",1,2,1,0,2,2,1,9,2,0
"165",1,5,2,1,3,6,3,5,0,2
"166",3,1,1,0,8,6,0,0,1,8
"167",0,0,1,5,1,7,7,0,1,1
"168",0,5,1,1,2,1,2,0,3,0
"169",0,2,1,1,2,0,2,0,2,0
"170",0,1,8,0,1,10,7,1,2,0
"171",1,2,0,1,1,3,0,0,4,3
"172",3,3,1,1,0,7,1,5,0,0
"173",2,1,4,0,1,1,0,4,5,3
"174",1,0,1,1,2,0,9,2,0,4
"175",0,0,1,0,5,4,5,1,1,10
"176",1,0,0,0,3,3,1,0,3,2
"177",0,0,0,0,0,3,0,1,4,3
"178",0,2,4,2,1,0,2,6,0,10
"179",4,2,0,2,11,0,0,0,5,3
"180",1,1,0,0,2,0,6,6,0,1
"181",3,1,7,0,17,1,1,4,0,6
"182",0,5,2,7,8,0,2,11,0,0
"183",3,1,0,14,1,1,3,2,5,1
"184",2,0,6,5,6,3,4,0,4,4
"185",9,0,4,0,2,1,9,0,7,3
"186",0,4,1,0,6,4,0,0,6,3
"187",2,0,6,0,8,2,0,1,1,3
"188",1,1,1,2,2,0,1,1,2,3
"189",10,1,0,0,0,0,7,3,1,4
"190",0,0,1,1,0,1,1,1,0,1
"191",0,4,2,0,8,0,0,0,4,0
"192",2,1,1,8,1,1,15,1,0,2
"193",2,0,2,4,2,4,3,4,0,4
"194",1,7,0,0,0,5,1,2,0,4
"195",0,3,4,1,1,2,4,0,0,2
"196",5,1,5,1,0,1,2,7,1,2
"197",6,2,1,2,2,1,1,0,0,3
"198",4,4,1,1,3,3,4,1,11,1
"199",3,3,2,3,1,1,1,1,5,1
"200",0,1,1,4,4,0,3,0,2,2
