Rank,Team,fx,fx_rank,ph,ph_rank,sr,sr_rank,vt,vt_rank,pb,pb_rank,hb,hb_rank,Total,year
1.0,ROC,42.632,2,43.14,4,44.399,1,44.765,1,45.099,2,42.465,4,262.5,2020
2.0,Japan,43.7,1,43.566,3,42.433,3,44.232,3,44.666,3,43.8,1,262.397,2020
3.0,China,42.132,4,43.966,1,43.599,2,44.332,2,45.199,1,42.666,3,261.894,2020
4.0,Great Britain,42.432,3,43.632,2,41.833,5,43.032,4,42.932,6,41.899,5,255.76,2020
5.0,United States,39.965,7,42.099,5,42.166,4,42.899,5,44.266,4,43.199,2,254.594,2020
6.0,Switzerland,42.066,5,41.099,6,40.298,8,41.999,7,44.066,5,41.399,6,250.927,2020
7.0,Ukraine,41.232,6,39.999,7,40.866,6,41.499,8,42.233,8,40.565,7,246.394,2020
8.0,Germany,34.832,8,39.2,8,40.333,7,42.366,6,42.765,7,38.999,8,238.495,2020
1.0,Japan,47.199,1,43.933,4,44.599,3,46.199,1,46.766,2,45.398,1,274.094,2016
2.0,Russia,44.766,3,45.299,2,45.432,1,46.033,2,46.033,4,43.89,6,271.453,2016
3.0,China,43.799,4,44.258,3,45.233,2,45.0,6,47.866,1,44.966,3,271.122,2016
4.0,Great Britain,45.099,2,45.623,1,44.066,6,45.399,4,44.566,6,44.999,2,269.752,2016
5.0,United States,43.757,5,43.699,5,44.465,4,45.865,3,46.333,3,44.441,5,268.56,2016
6.0,Brazil,41.733,7,43.433,7,44.332,5,45.032,5,44.533,6,44.665,4,263.728,2016
7.0,Germany,43.352,6,40.948,8,43.132,7,44.54,7,45.391,7,43.732,7,261.275,2016
8.0,Ukraine,27.766,8,43.632,6,29.299,8,44.015,8,30.366,8,27.0,8,202.078,2016
1.0,China,45.133,5,43.833,4,44.899,5,48.316,1,46.75,1,47.066,1,275.997,2012
2.0,Japan,44.733,6,42.365,5,45.699,2,45.971,7,46.282,2,46.899,2,271.952,2012
3.0,Great Britain,46.132,1,45.932,1,43.066,8,48.182,2,44.566,7,43.833,7,271.711,2012
4.0,Ukraine,44.065,8,44.966,3,45.699,2,48.065,3,44.733,6,43.998,6,271.526,2012
5.0,United States,45.266,3,40.633,7,45.257,4,46.632,6,45.765,3,46.399,3,269.952,2012
6.0,Russia,45.308,2,42.299,6,46.132,1,46.866,5,43.965,8,45.033,5,269.603,2012
7.0,Germany,45.199,4,40.466,8,44.824,6,47.032,4,45.433,4,45.065,4,268.019,2012
8.0,France,44.066,7,45.265,2,43.432,7,44.473,8,45.29,5,42.915,8,265.441,2012
