Rank,Athlete,D,E,ND,Total,round,year,Nation
1,Nina Derwael,6.5,8.533,0.0,15.033,Final,2019,BEL
2,Fan Yilin,6.5,8.433,0.0,14.933,Final,2019,CHN
3,Anastasiia Iliankova,6.3,8.4,0.0,14.7,Final,2019,RUS
4,Jonna Adlerteg,6.0,8.216,0.0,14.216,Final,2019,SWE
5,Kim Bui,6.0,8.0,0.0,14.0,Final,2019,GER
6,Martina Rizzelli,5.1,7.916,0.0,13.016,Final,2019,ITA
7,Yumika Nakamura,5.1,7.833,0.0,12.933,Final,2019,JPN
8,Diana Varinska,5.0,7.4,0.0,12.4,Final,2019,UKR
1,Nina Derwael,6.5,8.533,0.0,15.033,Qual,2019,BEL
2,Fan Yilin,6.3,8.6,0.0,14.9,Qual,2019,CHN
3,Anastasiia Iliankova,6.3,8.333,0.0,14.633,Qual,2019,RUS
4,Diana Varinska,5.7,8.266,0.0,13.966,Qual,2019,UKR
5,Kim Bui,6.0,7.9,0.0,13.9,Qual,2019,GER
6,Jonna Adlerteg,6.0,7.366,0.0,13.366,Qual,2019,SWE
7,Martina Rizzelli,5.4,7.833,0.0,13.233,Qual,2019,ITA
8,Yumika Nakamura,5.1,8.0,0.0,13.1,Qual,2019,JPN
9,Lisa Katharina Hill,5.4,7.433,0.0,12.833,Qual,2019,GER
10,Emily Thomas,4.9,7.8,0.0,12.7,Qual,2019,GBR
11,Zoja Szekely,6.0,6.7,0.0,12.7,Qual,2019,HUN
12,Soyoka Hanawa,5.0,7.133,0.0,12.133,Qual,2019,JPN
13,Aneta Holasova,5.0,7.1,0.0,12.1,Qual,2019,CZE
14,Nazli Savranbasi,5.2,6.9,0.0,12.1,Qual,2019,TUR
15,Marine Boyer,4.9,7.066,0.0,11.966,Qual,2019,FRA
16,Tutya Yilmaz,4.7,7.133,0.0,11.833,Qual,2019,TUR
17,An Chang Ok,5.2,6.633,0.0,11.833,Qual,2019,PRK
18,Phoebe Jakubczyk,5.0,6.733,0.0,11.733,Qual,2019,GBR
19,Marta Pihan-Kulesza,5.2,6.5,0.0,11.7,Qual,2019,POL
20,Lucie Jirikova,4.2,7.066,0.0,11.266,Qual,2019,CZE
21,Marina Nekrasova,4.3,6.933,0.0,11.233,Qual,2019,AZE
22,Elisa Hämmerle,4.7,6.5,0.0,11.2,Qual,2019,AUT
23,Anina Wildi,4.3,6.633,0.0,10.933,Qual,2019,SUI
24,Gabriela Janik,4.3,6.166,0.0,10.466,Qual,2019,POL
25,Ting Hua-Tien,4.0,6.166,0.0,10.166,Qual,2019,TPE
26,Ruba Al Daoud,2.8,5.6,-0.3,8.1,Qual,2019,JOR
