Rank,Athlete,Nation,D,E,ND,Score,round,year
1,Larisa Iordache,ROU,5.8,8.625,0.0,14.425,final,2014
2,Diana Bulimar,ROU,5.7,8.6,0.0,14.3,final,2014
3,Isabela Onyshko,CAN,5.5,8.325,-0.1,13.725,final,2014
4,Lauren Mitchell,AUS,5.5,8.075,-0.1,13.475,final,2014
5,Charlotte Sullivan,NZL,5.5,7.45,0.0,12.95,final,2014
6,Dorina Böczögö,HUN,5.5,7.8,-0.5,12.8,final,2014
7,Sasa Golob,SLO,5.3,7.825,-0.4,12.725,final,2014
8,Laura Schulte,SUI,5.0,7.675,-0.1,12.575,final,2014
1,Larisa Iordache,ROU,5.8,8.75,0.0,14.55,qual,2014
2,Diana Bulimar,ROU,5.6,8.75,0.0,14.35,qual,2014
3,Lauren Mitchell,AUS,5.8,8.5,0.0,14.3,qual,2014
4,Isabela Onyshko,CAN,5.6,8.3,0.0,13.9,qual,2014
5,Dorina Böczögö,HUN,5.3,8.2,0.0,13.5,qual,2014
6,Sasa Golob,SLO,5.4,8.25,-0.3,13.35,qual,2014
7,Charlotte Sullivan,NZL,5.5,7.7,0.0,13.2,qual,2014
8,Valerija Grisane,LAT,5.2,7.95,-0.1,13.05,qual,2014
9,Laura Schulte,SUI,5.0,7.85,0.0,12.85,qual,2014
10,Jana Sikulova,CZE,4.8,8.15,-0.2,12.75,qual,2014
11,Nicole Hitz,SUI,4.9,7.75,-0.1,12.55,qual,2014
12,Ashly Lau,SGP,4.5,7.95,0.0,12.45,qual,2014
13,Kristyna Palesova,CZE,5.0,7.45,0.0,12.45,qual,2014
14,Elena Rega,UZB,4.4,8.05,-0.1,12.35,qual,2014
15,Tünde Csillag,HUN,5.4,7.0,-0.1,12.3,qual,2014
16,Demet Mutlu,TUR,4.0,8.2,0.0,12.2,qual,2014
17,Alexandra Eade,AUS,5.4,6.9,-0.1,12.2,qual,2014
18,Katsiaryna Fiadutsik,BLR,4.0,8.15,0.0,12.15,qual,2014
19,Anastasiya Yekimenka,BLR,4.7,7.45,-0.1,12.05,qual,2014
20,Courtney McGregor,NZL,5.5,6.45,0.0,11.95,qual,2014
21,Janessa Dai,SGP,4.8,7.0,0.0,11.8,qual,2014
22,Shaden Wohdan,QAT,4.3,7.3,0.0,11.6,qual,2014
23,Kamile Ahsen Göktekin,TUR,4.3,7.25,0.0,11.55,qual,2014
24,Do Thi Van Anh,VIE,4.9,6.55,0.0,11.45,qual,2014
25,Zhanerke Duisek,KAZ,4.5,6.7,-0.6,10.6,qual,2014
26,Ahlam Al Habshi,QAT,3.0,7.4,0.0,10.4,qual,2014
