Rank,Athlete,Nation,D,E,ND,Total,round,year
1,Andreea Munteanu,ROU,6.1,8.266,0.0,14.366,final,2015
2,Becky Downie,GBR,6.0,8.3,0.0,14.3,final,2015
3,Claire Martin,FRA,5.8,8.4,0.0,14.2,final,2015
4,Claudia Fragapane,GBR,5.6,8.3,0.0,13.9,final,2015
5,Vasiliki Millousi,GRE,5.9,7.366,0.0,13.266,final,2015
6,Maria Kharenkova,RUS,5.6,7.6,0.0,13.2,final,2015
7,Pauline Schäfer,GER,5.7,7.4,0.0,13.1,final,2015
8,Sanne Wevers,NED,5.3,6.7,-0.1,11.9,final,2015
1,Maria Kharenkova,RUS,6.4,8.633,0.0,15.033,qual,2015
2,Becky Downie,GBR,6.1,8.266,0.0,14.366,qual,2015
3,Pauline Schäfer,GER,5.8,8.533,0.0,14.333,qual,2015
4,Andreea Munteanu,ROU,6.3,7.933,0.0,14.233,qual,2015
5,Sanne Wevers,NED,5.7,8.625,-0.1,14.225,qual,2015
6,Claire Martin,FRA,5.8,8.366,0.0,14.166,qual,2015
6,Claudia Fragapane,GBR,5.8,8.366,0.0,14.166,qual,2015
8,Vasiliki Millousi,GRE,6.1,8.166,-0.1,14.166,qual,2015
9,Andreea Iridon,ROU,5.7,8.4,0.0,14.1,qual,2015
10,Carlotta Ferlito,ITA,5.7,8.358,0.0,14.058,qual,2015
11,Vanessa Ferrari,ITA,5.8,8.133,0.0,13.933,qual,2015
12,Ellie Downie,GBR,5.5,8.391,0.0,13.891,qual,2015
13,Erika Fasana,ITA,5.7,8.141,0.0,13.841,qual,2015
14,Diana Bulimar,ROU,5.5,8.2,0.0,13.7,qual,2015
15,Carlotta Barloggio,SUI,5.1,8.466,0.0,13.566,qual,2015
16,Filipa Martins,POR,5.2,8.3,0.0,13.5,qual,2015
17,Eythora Thorsdottir,NED,5.7,7.8,0.0,13.5,qual,2015
18,Noel van Klaveren,NED,5.9,7.525,0.0,13.425,qual,2015
19,Jonna Adlerteg,SWE,5.2,8.133,0.0,13.333,qual,2015
20,Giulia Steingruber,SUI,5.8,7.5,0.0,13.3,qual,2015
21,Jessica Diacci,SUI,5.5,7.833,-0.1,13.233,qual,2015
22,Daria Spiridonova,RUS,5.5,7.7,0.0,13.2,qual,2015
23,Ana Perez,ESP,5.2,7.933,0.0,13.133,qual,2015
24,Ainhoa Carmona,ESP,5.1,8.0,0.0,13.1,qual,2015
25,Kim Janas,GER,5.9,7.166,0.0,13.066,qual,2015
