Rank,Athlete,Nation,D,E,ND,Total,year,round
1,Jessica Gadirova,GBR,5.5,8.466,0.0,13.966,2021,final
2,Angelina Melnikova,RUS,5.9,8.0,0.0,13.9,2021,final
3,Vanessa Ferrari,ITA,5.7,7.9,0.0,13.6,2021,final
4,Martina Maggio,ITA,5.3,7.966,0.0,13.266,2021,final
5,Maria Ceplinschi,ROU,5.2,7.866,-0.1,12.966,2021,final
6,Kim Bui,GER,5.1,7.8,-0.3,12.6,2021,final
7,Viktoria Listunova,RUS,5.2,6.833,0.0,12.033,2021,final
8,Carolann Heduit,FRA,1.6,9.566,-8.5,2.666,2021,final
1,Angelina Melnikova,RUS,6.0,8.3,,14.3,2021,qual
2,Viktoria Listunova,RUS,5.6,8.433,,14.033,2021,qual
3,Jessica Gadirova,GBR,5.5,8.366,,13.866,2021,qual
4,Vanessa Ferrari,ITA,5.7,7.933,,13.633,2021,qual
5,Giulia Steingruber,SUI,5.3,8.166,,13.466,2021,qual
6,Larisa Iordache,ROU,5.7,8.0,-0.3,13.4,2021,qual
7,Martina Maggio,ITA,5.3,8.133,-0.1,13.333,2021,qual
8,Vladislava Urazova,RUS,5.2,8.133,,13.333,2021,qual
9,Kim Bui,GER,5.3,8.033,,13.333,2021,qual
10,Maria Ceplinschi,ROU,5.3,7.966,,13.266,2021,qual
11,Carolann Heduit,FRA,5.1,8.0,,13.1,2021,qual
12,Alice Kinsella,GBR,5.1,7.933,,13.033,2021,qual
13,Amelie Morgan,GBR,5.1,7.9,,13.0,2021,qual
14,Anastasiia Bachynska,UKR,4.9,8.066,,12.966,2021,qual
15,Margaux Daveloose,BEL,4.7,8.166,,12.866,2021,qual
16,Phoebe Jakubczyk,GBR,4.8,8.066,,12.866,2021,qual
17,Sheyen Petit,FRA,4.8,8.033,,12.833,2021,qual
18,Jutta Verkest,BEL,4.9,7.933,,12.833,2021,qual
19,Lieke Wevers,NED,4.7,8.1,,12.8,2021,qual
20,Elisabeth Seitz,GER,4.8,7.966,,12.766,2021,qual
21,Ana Derek,CRO,5.0,7.766,,12.766,2021,qual
22,Tisha Volleman,NED,5.2,7.566,,12.766,2021,qual
23,Göksu Üctas Sanli,TUR,4.8,7.833,,12.633,2021,qual
24,Naomi Visser,NED,5.0,7.566,,12.566,2021,qual
25,Jasmin Mader,AUT,4.8,7.666,,12.466,2021,qual
26,Zoja Szekely,HUN,4.5,7.933,,12.433,2021,qual
27,Marta Pihan-Kulesza,POL,5.1,7.333,,12.433,2021,qual
28,Aneta Holasova,CZE,4.7,7.666,,12.366,2021,qual
29,Filipa Martins,POR,4.7,7.633,,12.333,2021,qual
30,Ada Hautala,FIN,5.1,7.533,-0.3,12.333,2021,qual
31,Lihie Raz,ISR,4.9,7.433,,12.333,2021,qual
32,Anastasiia Motak,UKR,5.3,7.333,-0.3,12.333,2021,qual
33,Elina Vihrova,LAT,4.6,7.666,,12.266,2021,qual
33,Iida Haapala,FIN,4.6,7.666,,12.266,2021,qual
35,Argyro Afrati,GRE,4.3,7.933,,12.233,2021,qual
36,Tonya Paulsson,SWE,4.7,7.533,,12.233,2021,qual
37,Barbora Mokosova,SVK,4.3,7.866,,12.166,2021,qual
38,Marine Boyer,FRA,4.6,7.666,-0.1,12.166,2021,qual
39,Yelyzaveta Hubareva,UKR,4.8,7.366,,12.166,2021,qual
40,Nanna Gudmundsdottir,ISL,4.2,7.933,,12.133,2021,qual
41,Magdalini Tsiori,GRE,4.6,7.633,-0.1,12.133,2021,qual
42,Juliane Tøssebro,NOR,4.5,7.6,,12.1,2021,qual
43,Alice D’Amato,ITA,4.9,7.2,,12.1,2021,qual
44,Antonia Duta,ROU,5.1,7.0,,12.1,2021,qual
45,Emelie Westlund,SWE,4.3,7.766,,12.066,2021,qual
46,Camille Rasmussen,DEN,4.5,7.566,,12.066,2021,qual
47,Celeste Mordenti,LUX,4.3,7.733,,12.033,2021,qual
48,Noga Shalit,ISR,4.7,7.433,-0.1,12.033,2021,qual
49,Julie Søderstrøm,NOR,4.6,7.433,,12.033,2021,qual
50,Lilli Habisreutinger,SUI,4.4,7.6,,12.0,2021,qual
51,Emma Slevin,IRL,4.6,7.666,-0.3,11.966,2021,qual
52,Marlies Männersdorfer,AUT,4.3,7.666,,11.966,2021,qual
52,Margret Kristinsdottir,ISL,4.3,7.666,,11.966,2021,qual
54,Brygida Urbanska,POL,4.4,7.566,,11.966,2021,qual
55,Noémie Louon,BEL,4.9,7.066,,11.966,2021,qual
56,Stefanie Siegenthaler,SUI,4.3,7.633,,11.933,2021,qual
57,Csenge Bacskay,HUN,4.5,7.366,,11.866,2021,qual
58,Chrysa Balami,GRE,4.1,7.733,,11.833,2021,qual
59,Elena Gerasimova,RUS,5.3,6.933,-0.4,11.833,2021,qual
60,Sara Sulekic,CRO,4.4,7.4,,11.8,2021,qual
61,Megan Ryan,IRL,4.3,7.566,-0.1,11.766,2021,qual
62,Lucija Hribar,SLO,4.3,7.466,,11.766,2021,qual
63,Marija Ribalcenko,LAT,4.4,7.366,,11.766,2021,qual
64,Freja Petersen,DEN,4.4,7.333,,11.733,2021,qual
65,Lea Bernards,FIN,4.6,7.1,,11.7,2021,qual
66,Maisa Kuusikko,FIN,4.7,7.0,,11.7,2021,qual
67,Elvira Katsali,GRE,4.1,7.666,-0.1,11.666,2021,qual
68,Milana Minakovskaya,AZE,4.3,7.466,-0.1,11.666,2021,qual
69,Hildur Gudmundsdottir,ISL,4.3,7.433,-0.1,11.633,2021,qual
70,Arina Olenova,LAT,4.1,7.433,,11.533,2021,qual
71,Bilge Tarhan,TUR,4.2,7.333,,11.533,2021,qual
72,Francisca Cancela,POR,4.4,7.233,-0.1,11.533,2021,qual
73,Anina Wildi,SUI,4.3,7.5,-0.3,11.5,2021,qual
74,Gudrun Hardardottir,ISL,4.1,7.466,-0.1,11.466,2021,qual
75,Beatriz Cardoso,POR,4.0,7.433,,11.433,2021,qual
76,Ofir Netzer,ISR,4.4,7.033,,11.433,2021,qual
77,Astrid Breckmann,DEN,4.2,7.133,,11.333,2021,qual
78,Mali Neurauter,NOR,4.2,7.1,,11.3,2021,qual
79,Josephine Sørensen,DEN,4.2,7.066,,11.266,2021,qual
80,Edel Fosse,NOR,4.1,7.433,-0.3,11.233,2021,qual
