Rank,Athlete,Nation,Meet,Score
1,Carlos Yulo,Philippines,Asian Championships EF,15.3
2,Minami Kazuki,Japan,All-Japan Championships QF,15.2
3,Artem Dolgopyat,Israel,RomGym Trophy EF,15.133
4,Doi Ryosuke,Japan,All-Japan Super Specialists,15
4,Jake Jarman,Great Britain,British Worlds Trials,15
6,Zhang Boheng,China,Asian Games QF,14.933
7,Kim Hansol,South Korea,Asian Games EF,14.9
7,Luke Whitehouse,Great Britain,European Championships EF,14.9
8,Krisztofer Meszaros,Hungary,Innsbruck Friendly,14.85
10,Su Weide,China,Asian Championships AA,14.766
