Rank,Athlete,Nation,Meet,Score
1,Asato Keisuke,Japan,All-Japan Event Championships EF,11.6
1,Adem Asil,Türkiye,European Championships EF,11.6
1,Jake Jarman,Great Britain,World Championships EF,11.6
1,Shek Wai Hung,Hong Kong,Baku World Cup EF,11.6
1,Tanigawa Wataru,Japan,Asian Games EF,11.6
1,Courtney Tulloch,Great Britain,World Championships QF,11.6
1,Wu Jianhao,China,Chinese Championships EF,11.6
1,Yonekura Hidenobu,Japan,Baku World Cup QF,11.6
9,Chen Yilu,China,Chinese Championships EF,11.4
10,Gabriel Burtanete,Romania,European Championships EF,11.2
10,Chen Zhilong,China,Doha World Cup QF,11.2
10,Nazar Chepurnyi,Ukraine,World Championships EF,11.2
10,Artur Davtyan,Armenia,World Championships EF,11.2
10,Sebastian Gawronski,Poland,Summer Universiade QF,11.2
10,He Quqin,China,Chinese Championships EF,11.2
10,Harry Hepworth,Great Britain,World Championships EF,11.2
10,Asher Hong,United States,World Championships QF,11.2
10,Iwasawa Shoei,Japan,All-Japan Event Championships EF,11.2
10,Kamiyama Haruto*,Japan,Junior World Championships QF,11.2
10,Lee Junho,South Korea,Asian Championships AA,11.2
10,Andrey Medvedev,Israel,Baku World Cup EF,11.2
10,Abdulaziz Mirvaliev,Uzbekistan,World Championships QF,11.2
10,Mahdi Olfati,Iran,Asian Games EF,11.2
10,Igor Radivilov,Ukraine,World Championships EF,11.2
10,Shin Jeahwan,South Korea,Asian Games EF,11.2
10,Caio Souza,Brazil,Osijek Challenge Cup EF,11.2
10,Tseng Wei-Sheng,Taiwan,Cairo World Cup EF,11.2
10,Niccolò Vannucchi,Italy,Summer Universiade QF,11.2
10,Wang Haiqi,China,Chinese Championships EF,11.2
10,Carlos Yulo,Philippines,Asian Championships EF,11.2
10,Rayderley Zapata,Spain,World Championships QF,11.2
