Rank,Athlete,Nation,Meet,Score
1,Zhang Boheng,China,Asian Games AA,89.299
2,Hashimoto Daiki,Japan,Summer Universiade QF,88.698
3,Kitazono Takeru,Japan,Asian Games AA,87.032
4,Chiba Kenta,Japan,NHK Trophy,86.565
5,Shi Cong,China,Summer Universiade AA,86.398
6,Miwa Teppei,Japan,All-Japan Championships QF,86.132
7,Oka Shinnosuke,Japan,Asian Championships AA,86.065
8,Sun Wei,China,World Championships TF,86.064
9,Carlos Yulo,Philippines,Asian Championships AA,85.93
10,Daniel Marinov,Russia,Russian Championships QF,85.898
11,Sugino Takaaki,Japan,All-Japan Senior Championships,85.733
12,Kaya Kazuma,Japan,World Championships QF,85.598
13,Illia Kovtun,Ukraine,European Championships QF,85.432
14,Matsumi Kazuki,Japan,All-Japan Senior Championships,85.398
15,Nestor Abad,Spain,Lenzburg Friendly,85
15,Colt Walker,United States,U.S. Championships AA,85
17,Adem Asil,Türkiye,European Championships AA,84.965
17,Lan Xingyu,China,Asian Games AA,84.965
19,Krisztofer Meszaros,Hungary,Hungarian Championships AA,84.9
20,Tanigawa Kakeru,Japan,All-Japan Championships AA,84.83
21,Yul Moldauer,United States,U.S. Championships QF,84.8
22,Tanigawa Wataru,Japan,All-Japan Championships QF,84.698
23,Hasegawa Tsuyoshi,Japan,All-Japan Senior Championships,84.665
24,Fred Richard,United States,U.S. Championships QF,84.65
25,Kawakami Shohei,Japan,NHK Trophy,84.632
26,Noe Seifert,Switzerland,Swiss Worlds Trials Day 2,84.5
27,Asher Hong,United States,Stanford Open,84.4
28,Khoi Young,United States,U.S. Championships QF,84.35
29,Milad Karimi,Kazakhstan,Summer Universiade QF,84.331
30,Paul Juda,United States,U.S. Championships QF,84.3
31,Ian Lasic-Ellis,United States,Stanford Open,84.25
32,Sugimoto Kaito,Japan,All-Japan Championships AA,84.198
33,Jake Jarman,Great Britain,British Worlds Trials,84.1
34,Manrique Larduet,Cuba,Italian Championships AA,84.05
35,Tanaka Yusuke,Japan,NHK Trophy,84.031
36,Maeda Koki,Japan,All-Japan Championships QF,83.999
37,Yumin Abbadini,Italy,Italian Championships AA,83.9
38,Kitamura Fumiya,Japan,All-Japan Senior Championships,83.898
39,Cameron Bock,United States,U.S. Championships AA,83.8
40,Ueda Naoki,Japan,All-Japan Senior Championships,83.765
41,Nikita Nagornyy,Russia,Russian Championships QF,83.732
42,Riley Loos,United States,Stanford Open,83.7
42,Shane Wiskus,United States,U.S. Championships AA,83.7
44,James Hall,Great Britain,World Championships QF,83.631
44,Tian Hao,China,Asian Championships AA,83.631
46,Tsumura Ryota,Japan,NHK Trophy,83.532
46,Yunoki Kentaro,Japan,All-Japan Senior Championships,83.532
48,Lorenzo Bonicelli,Italy,Italian Serie A Final Six,83.5
49,Thierno Diallo,Spain,Spanish Championships,83.467
50,Lee Chih-Kai,Taiwan,Summer Universiade QF,83.299
