Rank,Athlete,Nation,Meet,Score
1,Luke Whitehouse,Great Britain,Paris Challenge Cup EF,6.9
2,Jake Jarman,Great Britain,Paris Challenge Cup QF,6.8
3,Minami Kazuki,Japan,All-Japan Event Championships EF,6.7
4,Carlos Yulo,Philippines,Doha World Cup EF,6.5
5,Doi Ryosuke,Japan,All-Japan Super Specialists,6.4
5,Artem Dolgopyat,Israel,World Championships EF,6.4
5,Harry Hepworth,Great Britain,World Championships EF,6.4
5,Donnell Whittenburg,United States,U.S. Championships AA,6.4
9,Aurel Benovic,Croatia,Cottbus World Cup EF,6.3
9,Taylor Burkhart,United States,U.S. Championships AA,6.3
9,Asher Hong,United States,U.S. Classic,6.3
9,Milad Karimi,Kazakhstan,World Championships EF,6.3
9,Ryu Sunghyun,South Korea,Summer Universiade EF,6.3
9,Su Weide,China,Asian Championships EF,6.3
9,Niccolò Vannucchi,Italy,Summer Universiade QF,6.3
9,Rayderley Zapata,Spain,Lenzburg Friendly,6.3
