Rank,Athlete,Nation,Meet,Score
1,Ahmad Abu Al Soud,Jordan,Mersin Challenge Cup EF,15.55
2,Lee Chih-Kai,Taiwan,Asian Games EF,15.5
3,Ian Skirkey,United States,Winter Cup EF,15.45
3,Max Whitlock,Great Britain,Paris Challenge Cup EF,15.45
5,Nariman Kurbanov,Kazakhstan,Doha World Cup EF,15.4
6,Rhys McClenaghan,Ireland,Paris Challenge Cup QF,15.25
7,Sugino Takaaki,Japan,All-Japan Super Specialists,15.233
7,Tsumura Ryota,Japan,Asian Championships AA,15.233
9,Asayama Yudai,Japan,All-Japan Super Specialists,15.2
10,Shiao Yu-Jan,Taiwan,Asian Games EF,15.066
10,Khoi Young,United States,World Championships QF,15.066
