Rank,Athlete,Nation,Meet,Score
1,Soma Hiromu,Japan,All-Japan Super Specialists,7
1,Sugino Takaaki,Japan,All-Japan Super Specialists,7
3,Max Whitlock,Great Britain,World Championships EF,6.9
4,Stephen Nedoroscik,United States,U.S. Championships AA,6.8
5,Asayama Yudai,Japan,All-Japan Super Specialists,6.7
5,Tanigawa Kakeru,Japan,All-Japan Event Championships EF,6.7
7,Ahmad Abu Al Soud,Jordan,Mersin Challenge Cup EF,6.6
7,Nariman Kurbanov,Kazakhstan,Asian Championships EF,6.6
7,Rhys McClenaghan,Ireland,Baku World Cup EF,6.6
7,Joshua Nathan,Great Britain,British Worlds Trials,6.6
7,Tsumura Ryota,Japan,Asian Championships EF,6.6
7,Khoi Young,United States,World Championships QF,6.6
