Rank,Athlete,Nation,Meet,Score
1,Zou Jingyuan,China,Summer Universiade EF,16.066
2,Curran Phillips,United States,U.S. Championships QF,15.55
3,Daniel Marinov,Russia,Russian Championships QF,15.533
4,Zhang Boheng,China,Asian Games AA,15.466
5,Illia Kovtun,Ukraine,European Championships AA,15.433
6,Lukas Dauser,Germany,World Championships EF,15.4
6,Yul Moldauer,United States,U.S. Championships QF,15.4
6,You Hao,China,Chinese Championships QF,15.4
6,Carlos Yulo,Philippines,Baku World Cup EF,15.4
10,Kitazono Takeru,Japan,Asian Games AA,15.3
10,Sugimoto Kaito,Japan,NHK Trophy,15.3
10,Tanigawa Kakeru,Japan,All-Japan Championships QF,15.3
