       1       1   16.79
       1       1   12.68
       1       1   12.47
       1       1   11.67
       1       2   10.23
       1       2   10.29
       1       2    8.97
       1       2    8.51
       1       3    9.43
       1       3    9.45
       1       3    8.86
       1       3    8.66
       2       1   32.85
       2       1   38.08
       2       1   30.25
       2       1   28.41
       2       2   25.06
       2       2   21.66
       2       2   19.86
       2       2   18.62
       2       3   25.89
       2       3   22.96
       2       3   24.55
       2       3   24.59
