Position,Gymnast,Vault 1,Vault 1,Vault 1,Vault 1,Vault 2,Vault 2,Vault 2,Vault 2,Total
Position,Gymnast,D Score,E Score,Pen.,Score 1,D Score,E Score,Pen.,Score 2,Total
,Ri Se-gwang (PRK),6.4,9.2,,15.6,6.4,8.9,,15.3,15.45
,Marian Drăgulescu (ROU),6.0,9.3,,15.3,6.2,9.3,,15.5,15.4
,Donnell Whittenburg (USA),6.0,9.1,,15.1,6.4,9.2,,15.6,15.35
4.0,Oleg Verniaiev (UKR),6.0,9.466,,15.466,6.0,9.1,,15.1,15.283
5.0,Ihor Radivilov (UKR),6.0,9.2,,15.2,6.0,8.966,,14.966,15.083
6.0,Denis Ablyazin (RUS),6.4,8.0,-0.1,14.3,6.2,9.2,,15.4,14.85
7.0,Kenzo Shirai (JPN),5.6,8.9,,14.5,5.2,9.333,,14.533,14.516
8.0,Kim Han-sol (KOR),6.0,8.0,,14.0,6.0,9.0,,15.0,14.5
