Rank,Gymnast,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Total
,Kōhei Uchimura (JPN),15.733,15.1,14.933,15.633,15.833,15.1,92.332
,Manrique Larduet (CUB),14.666,14.3,15.233,15.433,15.733,15.333,90.698
,Deng Shudi (CHN),15.133,14.4,14.533,15.3,15.933,14.8,90.099
4.0,Oleg Verniaiev (UKR),14.975,13.566,15.233,15.3,16.0,14.566,89.64
5.0,Max Whitlock (GBR),15.7,16.1,14.516,15.0,15.1,12.833,89.249
6.0,Nikolai Kuksenkov (RUS),14.666,14.933,14.8,14.866,15.033,14.9,89.198
7.0,Daniel Purvis (GBR),15.166,14.666,14.466,14.9,15.4,14.466,89.064
8.0,Donnell Whittenburg (USA),15.266,14.166,15.533,14.533,15.633,13.666,88.797
9.0,Xiao Ruoteng (CHN),14.866,14.033,14.266,15.166,14.733,15.166,88.23
10.0,Kazuma Kaya (JPN),14.666,15.4,14.033,14.7,14.933,14.466,88.198
11.0,David Belyavskiy (RUS),14.7,14.7,14.766,14.033,15.366,14.466,88.031
12.0,Arthur Mariano (BRA),15.0,14.5,14.0,14.466,14.8,15.2,87.966
13.0,Pablo Brägger (SUI),14.866,13.833,13.8,14.8,15.3,15.2,87.799
14.0,Bart Deurloo (NED),15.2,14.666,14.166,14.7,13.466,14.966,87.164
15.0,Christian Baumann (SUI),14.2,14.433,14.066,14.416,15.0,14.4,86.515
16.0,Andrey Likhovitskiy (BLR),14.066,14.766,13.9,14.1,14.7,14.466,85.998
17.0,Danell Leyva (USA),13.733,12.933,14.233,14.3,15.366,14.0,84.565
18.0,Park Min-soo (KOR),13.975,14.566,13.766,14.033,14.966,13.033,84.339
19.0,Rubén López (ESP),14.266,12.333,14.133,14.666,14.166,14.533,84.097
20.0,Lucas Bitencourt (BRA),12.966,14.066,14.2,14.733,13.566,14.3,83.831
21.0,Cristian Bățagă (ROU),14.5,13.366,14.166,14.558,13.966,13.033,83.589
22.0,Jim Zona (FRA),14.733,13.466,12.866,14.433,14.166,13.633,83.297
23.0,Axel Augis (FRA),14.233,14.2,14.166,14.866,13.533,11.266,82.264
,Florian Landuyt (BEL),4.591,,,14.733,11.866,13.933,45.123
