Rank,Athlete,FX,PH,SR,VT,PB,HB,AA
1,Yul Moldauer 5280 Gymnastics,14.4,13.957 (+0.107),14.114 (+0.114),14.25,15.121 (+0.321),13.5,85.342 (+0.542)
2,Fred Richard Michigan,14.483 (+0.183),13.357 (+0.107),13.35,14,14.45,14.962 (+0.412),84.602 (+0.702)
3,Asher Hong Stanford,12.203 (+0.053),12.507 (+0.107),14.133 (+0.183),14.755 (+0.705),14.7,13.65,81.948 (+1.048)
4,Ian Lasic-Ellis Stanford,13.6,13.4,13.95,13.7,14.5,12.755 (+0.055),81.905 (+0.055)
5,Shane Wiskus EVO,13.7,13.25,14.25,13.75,14.05,12.2,81.2
6,Riley Loos Stanford,12.9,12.3,13.953 (+0.053),14.252 (+0.202),13.35,13.45,80.205 (+0.255)
7,Joshua Karnes Penn State,13.75,11.3,13.1,13.7,14.4,13.25,79.5
8,Ian Gunther Stanford,12.9,12.902 (+0.052),13.8,13.5,12.45,13.6,79.152 (+0.052)
9,Mike Fletcher Illinois,12.6,13.05,13.15,14.45,13.55,12.1,78.9
10,Cameron Bock Michigan,13.4,13.05,11.6,13.95,13.3,13.55,78.85
11,Landen Blixt Michigan,13.5,12.8,12.45,12.65,13.8,13.2,78.4
12,David Shamah EVO,12.7,12.9,12.15,13.5,13.4,12.9,77.55
13,Michael Jaroh Penn State,12.3,12.65,13.5,13,12.75,12.8,77
14,Taylor Christopulos Nebraska,13.55,13.4,10.7,14.25,12.95,11.25,76.1
15,Jeremy Bischoff Stanford,12.6,11.15,13.2,14.05,13.65,11.45,76.1
16,Kameron Nelson Ohio State,14.114 (+0.114),9.8,12.6,14.302 (+0.202),13.25,11.65,75.716 (+0.316)
17,Noah Newfeld Berkeley,11.55,11.3,12.9,13.3,13.35,12.9,75.3
18,Maxim Bereznev Roswell,12.1,10.95,12.85,13.05,13.1,12.6,74.65
19,Chase Davenport-Mills Roswell,11.1,12.4,12.3,13.9,10.95,12.75,73.4
20,Evan Hymanson Stanford Boys,12.1,10.2,12.6,11.7,13.75,12.5,72.85
21,Rithik Puri Michigan,11.4,10.15,11.35,13.4,13,11.65,70.95
22,Matt Cormier Penn State,11.05,8.95,12.05,12.25,13.45,11.3,69.05
23,Anthony Koppie Roswell,11.9,4.65,12.55,13.95,11.75,11.4,66.2
24,Isaiah Drake Navy,0,12.15,13.4,14.15,13.55,11.55,64.8
25,Garrett Braunton Air Force,12.15,10.3,12.95,0,13.55,9.35,58.3
26,Drake Andrews EVO,0,12.15,12.85,0,11.4,12.9,49.3
27,Michael Artlip Penn State,0,11,11.65,0,11.3,12.65,46.6
28,Alex Diab EVO,12.9,0,14.698 (+0.448),13.552 (+0.202),0,0,41.150 (+0.650)
29,Javier Alfonso Michigan,13.2,0,14.15,0,12.6,0,39.95
30,Curran Phillips Stanford,0,0,0,0,15.997 (+0.597),13.7,29.697 (+0.597)
31,Blake Sun Stanford,0,13.5,0,0,15.044 (+0.244),0,28.544 (+0.244)
32,Connor McCool Illinois,13.803 (+0.053),0,0,14.15,0,0,27.953 (+0.053)
33,Spencer Goodell Oklahoma,13.45,0,0,0,13.75,0,27.2
34,Khoi Young Stanford,0,11.2,0,14.802 (+0.202),0,0,26.002 (+0.202)
35,Jack Freeman Oklahoma,13.2,0,0,0,0,10.95,24.15
36,Stephen Nedoroscik EVO,0,15.092 (+0.442),0,0,0,0,15.092 (+0.442)
37,Patrick Hoopes Air Force,0,14.992 (+0.442),0,0,0,0,14.992 (+0.442)
38,Ian Skirkey Illinois,0,14.972 (+0.522),0,0,0,0,14.972 (+0.522)
39,Ignacio Yockers Oklahoma,0,14.942 (+0.442),0,0,0,0,14.942 (+0.442)
40,Brandon Dang West Coast,0,14.466 (+0.366),0,0,0,0,14.466 (+0.366)
41,Vahe Petrosyan Gym Olympica,0,0,0,13.35,0,0,13.35
42,Troy Lipis Gym World,0,0,12.711 (+0.261),0,0,0,12.711 (+0.261)
