Rank,Athlete,FX,PH,SR,VT,PB,HB,AA
1,Kai Uemura Region 5,13.026 (+0.926),12.204 (+0.104),13.138 (+0.338),13.700 (+0.100),12.719 (+0.469),14.442 (+1.492),79.229 (+3.429)
2,Garrett Schooley Region 8,13.476 (+0.926),12.65,12.838 (+0.338),15.066 (+0.916),12.25,12.3,78.580 (+2.180)
3,Zach Green Region 1,13.367 (+0.217),10.9,12.7,13.200 (+0.100),13.404 (+0.104),14.002 (+1.102),77.573 (+1.523)
4,Solen Chiodi Region 4,13.411 (+0.611),11.3,12.504 (+0.104),13.105 (+0.505),14.013 (+0.763),12.569 (+0.469),76.902 (+2.452)
5,Maxwell Odden Region 1,13.85,11.5,12.588 (+0.338),12.350 (+0.100),13.25,13.169 (+0.469),76.707 (+0.907)
6,Colin Flores Region 1,12.617 (+0.217),12.3,12.838 (+0.338),13.805 (+0.505),11.667 (+0.217),13.319 (+0.469),76.546 (+1.746)
7,Jake Islam Region 6,12.917 (+0.217),11.95,12.867 (+0.217),14.355 (+0.505),12.6,11.8,76.489 (+0.939)
8,Caden Clinton Region 3,11.717 (+0.217),11.05,13.167 (+0.217),13.050 (+0.100),13.938 (+0.338),13.211 (+0.611),76.133 (+1.483)
9,Kiran Mandava Region 3,12.417 (+0.217),12.176 (+0.926),13.35,12.700 (+0.100),12.661 (+0.611),12.819 (+0.469),76.123 (+2.323)
10,Gavin Zborowski Region 9,12.567 (+0.217),12.354 (+0.104),13.138 (+0.338),12.650 (+0.100),12.55,12.861 (+0.611),76.120 (+1.370)
11,Cooper Kim Region 5,13.619 (+0.469),11.65,12.504 (+0.104),14.100 (+0.100),11.95,11.917 (+0.217),75.740 (+0.890)
12,Hasan Aydogdu Region 7,12,11.7,12.75,13.700 (+0.100),12.604 (+0.104),12.969 (+0.469),75.723 (+0.673)
13,Nathan Roman Region 1,13.35,11.5,12.538 (+0.338),12.8,13.713 (+0.763),11.354 (+0.104),75.255 (+1.205)
14,Sasha Bogonosiuk Region 5,13.161 (+0.611),12.6,12.5,12.95,13.054 (+0.104),10.9,75.165 (+0.715)
15,Jake Prabhakaran Region 8,12.05,12.7,12.7,13.2,12.6,11.8,75.05
16,Toma Murakawa Region 1,13.438 (+0.338),9.8,13.561 (+0.611),14.405 (+0.505),11.2,12.517 (+0.217),74.921 (+1.671)
17,Dylan Shepard Region 8,13.15,10.5,12.65,14.200 (+0.100),13.4,10.6,74.500 (+0.100)
18,Alex Karadzhov Region 8,12.05,12.25,11.454 (+0.104),13.35,13.1,12.25,74.454 (+0.104)
19,Jaden Blank Region 8,12.727 (+0.217),12.15,12,13.550 (+0.100),11.75,11.85,74.017 (+0.317)
20,Ty Jordan Region 9,12,10.6,13.926 (+0.926),13,12.6,11.85,73.976 (+0.926)
21,Maksim Kan Region 4,12.654 (+0.104),11.9,11.9,13.250 (+0.100),12.2,11.8,73.704 (+0.204)
22,Adam Lakomy Region 7,12.204 (+0.104),11,12.888 (+0.338),13.300 (+0.100),11.55,12.45,73.392 (+0.542)
23,Carson Eshleman Region 5,12.15,11.45,12.061 (+0.611),14.255 (+0.505),12.3,11.1,73.316 (+1.116)
24,Sasha Malinkine Region 4,11.8,12.5,12.204 (+0.104),13.200 (+0.100),11.2,12.3,73.204 (+0.204)
25,Gage Kile Region 4,11.504 (+0.104),11.85,11.8,14.505 (+0.505),13.254 (+0.104),9.9,72.813 (+0.713)
26,Jax Washburn Region 2,12.238 (+0.338),10.5,12.404 (+0.104),13.05,11.954 (+0.104),12.661 (+0.661),72.807 (+1.207)
27,Kaleb Palacio Region 3,13.069 (+0.469),8.65,12.167 (+0.217),13.855 (+0.505),12.1,12.767 (+0.217),72.608 (+1.408)
28,Tyler Flores Region 1,12.35,11.05,12.354 (+0.104),14.200 (+0.100),10.8,11.719 (+0.469),72.473 (+0.673)
29,Dante Reive Region 9,12.638 (+0.338),8.45,12.8,13.150 (+0.100),12.6,12.1,71.738 (+0.438)
30,Divier Ramos Region 6,11.354 (+0.104),11.1,11.45,13.35,12.6,11.8,71.654 (+0.104)
31,Xander Hong Region 3,10.904 (+0.104),11.317 (+0.217),11.688 (+0.338),12.050 (+0.100),12.938 (+0.338),12.219 (+0.469),71.116 (+1.566)
32,Mason Heath Region 3,11,12.688 (+0.338),10.45,11.8,12.85,12.117 (+0.217),70.905 (+0.555)
33,Brian Solomon Region 6,12.088 (+0.338),11.154 (+0.104),11.3,13.5,10.75,11.9,70.692 (+0.442)
34,Luke Tully Region 2,11.754 (+0.104),10.05,12.35,13.2,13.05,10.25,70.654 (+0.104)
35,Jake Smith Region 7,12.1,9.55,11.65,13.1,12.25,11.35,70
36,Ethan Cox Region 9,12.438 (+0.338),10.4,11.7,12.500 (+0.100),12.05,10.838 (+0.338),69.926 (+0.776)
37,Joey Nieves Region 9,10.8,10.2,12.654 (+0.104),12.3,12.3,11.55,69.804 (+0.104)
38,Chase Mondi Region 3,12.538 (+0.338),6.25,11.65,14.655 (+0.505),12.2,12.15,69.443 (+0.843)
39,Jonah Soltz Region 2,11.4,10.2,11.85,12.8,11.9,10.75,68.9
40,David Moroney Region 7,11.75,9.35,11.75,13.05,11.5,11.35,68.75
41,Noah Copeland Region 5,13.019 (+0.469),7.1,12.704 (+0.104),12.7,11.55,11.6,68.673 (+0.573)
42,Carson Crooks Region 7,11.05,9.65,11.75,11.75,12.35,11.95,68.5
43,Carson Higley Region 2,12.25,7.05,12.504 (+0.104),12.55,12.35,11.2,67.904 (+0.104)
44,Nartey Brady Region 9,11.55,9.2,12.004 (+0.104),12.505 (+0.505),11.2,10.85,67.309 (+0.609)
45,Boone Washburn Region 2,11.65,6.25,11.85,12.6,12.15,12.7,67.2
46,Cole Miller Region 2,11.95,9.3,10.45,13.000 (+0.100),11,11.25,66.950 (+0.100)
47,Michael Nguyen Region 4,12.704 (+0.104),5.75,11.75,12.150 (+0.100),10.85,11.769 (+0.469),64.973 (+0.673)
48,Cameron Klimmek Region 4,8.917 (+0.217),8.45,11.85,12.800 (+0.100),12,10.417 (+0.217),64.434 (+0.534)
49,Aiden Bullock Region 6,11.65,4.75,11.254 (+0.104),11.805 (+0.505),11.7,11.6,62.759 (+0.609)
50,Matthew Nguyen Region 8,13.217 (+0.217),13.161 (+0.611),6.35,0,13.25,13.552 (+1.102),59.530 (+1.930)
51,Evan Zakrewski Region 6,10.45,9.6,10.5,0,12.7,11.9,55.15
52,Dylan Tu Region 6,11.9,10.1,0,12.8,11.5,0,46.3
53,Pierce Wolfgang Region 7,12.5,8.35,12.604 (+0.104),0,12.65,0,46.104 (+0.104)
54,Devin Gopaul Region 5,0,11.85,0,13.5,0,9.85,35.2
