Rank,Athlete,Nation,Meet,Score
1,Simone Biles,United States,U.S. Classic,15.65
2,Jade Carey,United States,World Championships QF,15.3
3,Coline Devillard,France,French Championships AA,15.1
3,Yeo Seo-jeong,South Korea,Korea Cup,15.1
3,Maria Paseka,Russia,Doha World Cup EF,15.1
6,Giulia Steingruber,Switzerland,World Championships QF,15.066
7,MyKayla Skinner,United States,U.S. Worlds Trials,15.05
8,Ellie Downie,Great Britain,World Championships EF,15.033
9,Aline Friess,France,World Championships QF,15
9,Mélanie De Jesus Dos Santos,France,French Championships AA,15
