Rank,Athlete,Nation,Meet,Score
1,Simone Biles,United States,U.S. Championships Day 1,15.45
2,Jade Carey,United States,World Championships QF,15.2
3,Maria Paseka,Russia,Doha World Cup QF,14.85
4,Yeo Seo-jeong,South Korea,Korea Cup,14.817
5,Alexa Moreno,Mexico,World Championships QF,14.816
6,Ellie Downie,Great Britain,World Championships EF,14.816
7,MyKayla Skinner,United States,U.S. Championships Day 1,14.8
8,Shallon Olsen,Canada,World Championships EF,14.733
9,Yu Linmin,China,Cottbus World Cup QF,14.704
10,Qi Qi,China,World Championships EF,14.65
