Rank,Athlete,Nation,Meet,Score
1,Simone Biles,United States,World Championships TF,15.333
2,Jade Carey,United States,Baku World Cup EF,14.6
3,Amalia Puflea*,Romania,Romanian Junior Championships,14.45
4,Viktoriia Listunova*,Russia,Russian Junior Championships EF,14.4
5,Sunisa Lee,United States,City of Jesolo Trophy AA,14.333
6,Vladislava Urazova*,Russia,Russian Cup EF,14.333
7,Grace McCallum,United States,U.S. Classic,14.25
8,Emma Malabuyo,United States,City of Jesolo Trophy AAA,14.233
9,Mai Murakami,Japan,All-Japan Championships AA,14.2
10,Mélanie De Jesus Dos Santos,France,World Championships TF,14.166
