Rank,Athlete,Nation,Meet,Score
1,Nina Derwael,Belgium,Worms Friendly,15.3
2,Fan Yilin,China,Chinese Championships QF,15.1
3,Sunisa Lee,United States,U.S. Championships Day 2,15.05
4,Daria Spiridonova,Russia,World Championships QF,15.016
5,Becky Downie,Great Britain,World Championships EF,15
6,Anastasia Agafonova,Russia,Voronin Cup EF,14.95
7,Ana Padurariu,Canada,Canadian Championships QF,14.925
8,Elisabeth Seitz,Germany,Swiss Cup,14.9
8,Juliette Bossu,France,French Championships AA,14.9
8,Riley McCusker,United States,Pan American Games QF,14.9
