Position,Gymnast,Vault 1,Vault 2,Total,,,,,,
D Score,E Score,Pen.,Score 1,D Score,E Score,Pen.,Score 2,,,
,Simone Biles,6.000,9.266,,15.266,5.800,9.666,,15.466,15.366
,Shallon Olsen,6.000,8.600,,14.600,5.400,9.033,,14.433,14.516
,Alexa Moreno,5.800,8.800,,14.600,5.600,8.916,0.100,14.416,14.508
4,Oksana Chusovitina,5.800,8.600,,14.400,5.200,9.000,,14.200,14.300
5,Yeo Seo-jeong,5.800,8.833,0.100,14.533,5.400,8.533,,13.933,14.233
6,Liu Jinru,5.600,8.600,0.100,14.100,5.800,8.400,,14.200,14.150
7,Ellie Black,5.400,8.600,,14.000,5.200,9.033,,14.233,14.116
8,Pyon Rye-yong,5.800,7.566,0.300,13.066,5.800,8.366,,14.166,13.616
