Position,Gymnast,D Score,E Score,Pen.,Total,year,Nation,round
1,Ksenia Afanasyeva,6.1,9.033,0.0,15.133,2011,RUS,final
2,Sui Lu,6.1,8.966,0.0,15.066,2011,CHN,final
3,Aly Raisman,6.1,8.9,0.0,15.0,2011,USA,final
4,Yao Jinnan,6.0,8.866,0.0,14.866,2011,CHN,final
5,Lauren Mitchell,6.3,8.433,0.0,14.733,2011,AUS,final
6,Jordyn Wieber,6.0,8.7,0.0,14.7,2011,USA,final
7,Elizabeth Tweddle,6.1,8.5,0.1,14.5,2011,GBR,final
8,Diana Chelaru,5.8,8.4,0.0,14.2,2011,ROU,final
1,Simone Biles,6.5,8.5,0.0,15.0,2013,USA,final
2,Vanessa Ferrari,6.2,8.433,0.0,14.633,2013,ITA,final
3,Larisa Iordache,6.1,8.5,0.0,14.6,2013,ROU,final
4,Mai Murakami,6.2,8.266,0.0,14.466,2013,JPN,final
5,Kyla Ross,5.7,8.633,0.0,14.333,2013,USA,final
5,Giulia Steingruber,6.1,8.233,0.0,14.333,2013,SUI,final
7,Sandra Izbașa,6.1,7.633,0.0,13.733,2013,ROU,final
8,Ellie Black,5.7,7.966,0.1,13.566,2013,CAN,final
1,Simone Biles,6.4,8.933,0.0,15.333,2014,USA,final
2,Larisa Iordache,6.3,8.5,0.0,14.8,2014,ROU,final
3,Aliya Mustafina,6.2,8.533,0.0,14.733,2014,RUS,final
4,Mykayla Skinner,6.5,8.2,0.0,14.7,2014,USA,final
5,Vanessa Ferrari,6.3,8.366,0.0,14.666,2014,ITA,final
6,Larrissa Miller,5.8,8.433,0.0,14.233,2014,AUS,final
7,Erika Fasana,5.7,8.2,0.0,13.9,2014,ITA,final
8,Claudia Fragapane,6.0,7.4,0.3,13.1,2014,GBR,final
1,Simone Biles,6.8,9.0,0.0,15.8,2015,USA,final
2,Ksenia Afanasyeva,6.4,8.7,0.0,15.1,2015,RUS,final
3,Maggie Nichols,6.2,8.8,0.0,15.0,2015,USA,final
4,Shang Chunsong,6.4,8.533,0.0,14.933,2015,CHN,final
4,Sae Miyakawa,6.3,8.633,0.0,14.933,2015,JPN,final
6,Ellie Downie,6.0,8.733,0.0,14.733,2015,GBR,final
7,Claudia Fragapane,6.2,8.366,-0.1,14.466,2015,GBR,final
8,Lieke Wevers,5.4,8.7,0.0,14.1,2015,NED,final
1,Mai Murakami,5.9,8.333,0.0,14.233,2017,,final
2,Jade Carey,5.7,8.5,0.0,14.2,2017,,final
3,Claudia Fragapane,5.6,8.333,0.0,13.933,2017,,final
4,Thaís Fidélis,5.5,8.166,0.0,13.666,2017,,final
5,Brooklyn Moors,5.2,8.45,0.0,13.65,2017,,final
6,Lara Mori,5.4,7.866,0.0,13.266,2017,,final
7,Ellie Black,5.3,7.9,-0.3,12.9,2017,,final
8,Vanessa Ferrari,2.0,8.233,-6.3,3.933,2017,,final
1,Simone Biles,6.7,8.533,0.3,14.933,2018,,final
2,Morgan Hurd,5.5,8.433,0.0,13.933,2018,,final
3,Mai Murakami,5.7,8.166,0.0,13.866,2018,,final
4,Angelina Melnikova,5.7,8.133,0.0,13.833,2018,,final
5,Flávia Saraiva,5.5,8.366,0.1,13.766,2018,,final
6,Mélanie de Jesus dos Santos,5.5,8.233,0.3,13.433,2018,,final
7,Lilia Akhaimova,5.8,7.566,0.0,13.366,2018,,final
8,Brooklyn Moors,5.4,7.666,0.0,13.066,2018,,final
1,Simone Biles,6.7,8.533,0.1,15.133,2019,,final
2,Sunisa Lee,5.7,8.433,0.0,14.133,2019,,final
3,Angelina Melnikova,5.8,8.266,0.0,14.066,2019,,final
4,Flávia Saraiva,5.5,8.466,0.0,13.966,2019,,final
5,Mélanie de Jesus dos Santos,5.5,8.433,0.1,13.833,2019,,final
6,Roxana Popa,5.4,8.4,0.0,13.8,2019,,final
7,Brooklyn Moors,5.3,8.4,0.1,13.6,2019,,final
8,Lilia Akhaimova,6.0,7.8,0.3,13.5,2019,,final
