Rank,Athlete,Nation,D,E,ND,Total
1,Eleftherios Petrounias,Greece,6.3,8.966,,15.266
2,Arthur Zanetti,Brazil,6.2,8.833,,15.033
3,Artur Tovmasyan,Armenia,6.1,8.766,,14.866
4,Igor Radivilov,Ukraine,6.3,8.433,,14.733
5,Vahagn Davtyan,Armenia,6.1,8.566,,14.666
6,Marco Lodadio,Italy,6.3,8.366,,14.666
7,Nikita Simonov,Azerbaijan,6,8.633,,14.633
7,Nikita Nagornyy,Russia,6,8.633,,14.633
9,Dennis Goossens,Belgium,6.2,8.333,,14.533
9,Ibrahim Colak,Turkey,6.2,8.333,,14.533
11,Caio Souza,Brazil,6,8.433,,14.433
12,Fabian de Luna,Mexico,5.9,8.466,,14.366
13,Dmitrii Lankin,Russia,6.1,8.2,,14.3
14,Samuel Mikulak,United States,5.6,8.6,,14.2
15,Deng Shudi,China,6,8.166,,14.166
16,Xiao Ruoteng,China,5.7,8.433,,14.133
17,Marcel Nguyen,Germany,5.8,8.333,,14.133
17,Andreas Toba,Germany,5.8,8.333,,14.133
17,Dang Nam,Vietnam,5.8,8.333,,14.133
20,Vinzenz Höck,Austria,6.1,8.033,,14.133
21,James Hall,Great Britain,5.8,8.3,,14.1
22,Artur Dalaloyan,Russia,5.9,8.2,,14.1
23,Wataru Tanigawa,Japan,6,8,,14
24,Kazuma Kaya,Japan,6.1,7.866,,13.966
25,Sun Wei,China,5.9,8.033,,13.933
26,Nick Klessing,Germany,5.6,8.3,,13.9
27,Andrea Russo,Italy,5.7,8.2,,13.9
28,Kohei Uchimura,Japan,5.9,8,,13.9
29,Artur Davtyan,Armenia,5.3,8.566,,13.866
30,Ahmet Önder,Turkey,6,7.866,,13.866
31,Andrei Muntean,Romania,5.9,7.958,,13.858
32,Marco Sarrugerio,Italy,5.5,8.333,,13.833
33,Lin Chaopan,China,5.6,8.233,,13.833
34,Julien Gobaux,France,5.4,8.4,,13.8
35,Akash Modi,United States,5.6,8.166,,13.766
36,Park Min-soo,South Korea,5.7,8.066,,13.766
37,Federico Molinari,Argentina,5.9,7.866,,13.766
38,Didier Lugo,Colombia,6.1,7.666,,13.766
39,Kenzo Shirai,Japan,5.7,8.033,,13.733
40,Joe Fraser,Great Britain,5.4,8.3,,13.7
41,Carlos Edriel Yulo,Philippines,5.5,8.2,,13.7
41,Cristian Bataga,Romania,5.5,8.2,,13.7
43,Nestor Abad,Spain,5.2,8.466,,13.666
44,Brinn Bevan,Great Britain,5.1,8.5,,13.6
45,Bart Deurloo,Netherlands,5.3,8.3,,13.6
46,Ruben Lopez,Spain,5.5,8.033,,13.533
46,David Belyavskiy,Russia,5.5,8.033,,13.533
48,Mustafa Arca,Turkey,5.5,8,,13.5
48,Alec Yoder,United States,5.5,8,,13.5
50,Daniel Villafane,Argentina,5.9,7.6,,13.5
51,Dominick Cunningham,Great Britain,5.4,8.066,,13.466
52,Rayderley Zapata,Spain,5.7,7.766,,13.466
53,Scott Morgan,Canada,5.8,7.666,,13.466
53,Yu Chao-Wei,Chinese Taipei,5.8,7.666,,13.466
55,Loris Frasca,France,4.9,8.533,,13.433
56,Jonathan Vrolix,Belgium,5.2,8.233,,13.433
57,Casimir Schmidt,Netherlands,5.5,7.933,,13.433
58,Christian Baumann,Switzerland,5.1,8.3,,13.4
59,Rene Cournoyer,Canada,5.3,8.1,,13.4
60,Eddy Yusof,Switzerland,5.5,7.9,,13.4
61,Oleg Verniaiev,Ukraine,4.9,8.466,,13.366
62,Kiryl Tsiareshchanka,Belarus,5.1,8.266,,13.366
63,Devy Dyson,New Zealand,5.3,8.066,,13.366
64,Pablo Brägger,Switzerland,4.6,8.733,,13.333
65,Lukas Dauser,Germany,5,8.333,,13.333
66,Nicolau Mir,Spain,5.1,8.233,,13.333
67,Vladyslav Hryko,Ukraine,5.5,7.833,,13.333
68,Marios Georgiou,Cyprus,5,8.3,,13.3
69,Petro Pakhniuk,Ukraine,5.1,8.166,,13.266
70,Nikolaos Iliopoulos,Greece,4.7,8.533,,13.233
71,Reiss Beckford,Jamaica,5.1,8.133,,13.233
72,Rafael Szabo,Romania,5.2,8.033,,13.233
73,Yul Moldauer,United States,5.7,7.533,,13.233
74,Han Jong Hyok,North Korea,5.5,7.725,,13.225
75,Ilias Georgiou,Cyprus,4.6,8.6,,13.2
76,Robert Tvorogal,Lithuania,4.7,8.5,,13.2
76,Frank Rijken,Netherlands,4.7,8.5,,13.2
78,Ludovico Edalli,Italy,4.8,8.4,,13.2
79,William Broman,Sweden,4.9,8.3,,13.2
80,Ng Kiu Chung,Hong Kong,6.1,7.1,,13.2
81,Lee Jun-ho,South Korea,4.8,8.366,,13.166
82,Christopher Remkes,Australia,5.1,8.066,,13.166
83,Kim Han-sol,South Korea,5.4,7.766,,13.166
84,Oliver Hegi,Switzerland,4.9,8.233,,13.133
85,Bae Ga-ram,South Korea,4.9,8.2,,13.1
86,Jossimar Calvo,Colombia,5.1,7.966,,13.066
87,Rokas Guscinas,Lithuania,5.2,7.866,,13.066
88,Elias Koski,Finland,4.5,8.533,,13.033
89,Ri Wi Chol,North Korea,5.1,7.933,,13.033
90,Le Thanh Tung,Vietnam,4.8,8.2,,13
91,Zachary Clay,Canada,5.3,7.7,,13
92,Bernardo Almeida,Portugal,4.9,8.066,,12.966
93,Ilyas Azizov,Kazakhstan,4.4,8.533,,12.933
94,Mitchell Morgans,Australia,4.9,8.033,,12.933
95,Hsu Ping-Chien,Chinese Taipei,5.6,7.333,,12.933
96,Oskar Kirmes,Finland,4.7,8.166,,12.866
97,Maxime Gentges,Belgium,4.9,7.966,,12.866
98,Andrey Medvedev,Israel,4.8,8.033,,12.833
99,Francisco Barretto,Brazil,4.9,7.933,,12.833
100,Michalis Krasias,Cyprus,4.2,8.6,,12.8
101,Rasuljon Abdurakhimov,Uzbekistan,4.7,8.1,,12.8
102,Petrix Barbosa,Portugal,5.1,7.7,,12.8
103,Milad Karimi,Kazakhstan,4.5,8.266,,12.766
103,Akim Mussayev,Kazakhstan,4.5,8.266,,12.766
105,Cory Patterson,Canada,4.7,8.066,,12.766
106,Lucas Bitencourt,Brazil,5.5,7.266,,12.766
107,Ri Yong Min,North Korea,5.6,7.166,,12.766
108,Yordan Aleksandrov,Bulgaria,4.8,7.933,,12.733
109,Santiago Mayol,Argentina,5,7.733,,12.733
110,David Rumbutis,Sweden,4.3,8.416,,12.716
111,Franz Card,Finland,4.2,8.5,,12.7
112,Jon Gunnarsson,Iceland,4.6,8.1,,12.7
113,Saba Abesadze,Georgia,4.8,7.9,,12.7
114,Raman Antropau,Belarus,4,8.633,,12.633
115,Mikhail Koudinov,New Zealand,4.6,8.033,,12.633
116,Harald Wibye,Norway,4.1,8.5,,12.6
117,Andrey Likhovitskiy,Belarus,4.6,8,,12.6
118,Adam Babos,Hungary,4.9,7.7,,12.6
119,Georgios Chatziefstathiou,Greece,4.4,8.166,,12.566
120,Vitalii Arseniev,Georgia,4.6,7.966,,12.566
121,Stian Skjerahaug,Norway,4.5,8.033,,12.533
122,Antoine Borello,France,4.6,7.933,,12.533
122,Ferhat Arican,Turkey,4.6,7.933,,12.533
124,Noah Kuavita,Belgium,4.7,7.833,,12.533
124,Sofus Heggemsnes,Norway,4.7,7.833,,12.533
126,Antonios Tantalidis,Greece,4,8.525,,12.525
127,Ryan Sheppard,Hungary,4.3,8.2,,12.5
128,Clay Mason Stephens,Australia,4.2,8.266,,12.466
