Rank,Athlete,Nation,D,E,ND,Total
1,Max Whitlock,Great Britain,6.7,8.266,,14.966
2,Xiao Ruoteng,China,6.1,8.533,,14.633
3,Nariman Kurbanov,Kazakhstan,6.2,8.266,,14.466
4,Cyril Tommasone,France,6.1,8.141,,14.241
5,Samuel Mikulak,United States,6,8.133,,14.133
6,Nikita Nagornyy,Russia,5.9,8.1,,14
7,David Belyavskiy,Russia,6.2,7.8,,14
8,Lee Chih-Kai,Chinese Taipei,5.7,8,,13.7
9,Oliver Hegi,Switzerland,5.3,8.2,,13.5
10,Park Min-soo,South Korea,5.4,8.1,,13.5
11,Francisco Barretto,Brazil,5.6,7.9,,13.5
12,Sun Wei,China,5.6,7.841,,13.441
13,Slavomir Michnak,Slovakia,6,7.333,,13.333
14,Christopher Remkes,Australia,5.9,7.133,,13.033
15,James Hall,Great Britain,6,7.033,,13.033
16,Carlo Macchini,Italy,5.3,7.7,,13
17,Filip Ude,Croatia,6.2,6.8,,13
18,Ilyas Azizov,Kazakhstan,5.4,7.566,,12.966
18,Pablo Brägger,Switzerland,5.4,7.566,,12.966
20,Kenzo Shirai,Japan,5.5,7.466,,12.966
21,Kohei Uchimura,Japan,6,6.966,,12.966
22,Nikolai Kuksenkov,Russia,6.4,6.566,,12.966
23,Petro Pakhniuk,Ukraine,6.2,6.733,,12.933
24,Vladyslav Hryko,Ukraine,5.6,7.3,,12.9
25,Adam Steele,Ireland,5,7.866,,12.866
26,Akim Mussayev,Kazakhstan,5.2,7.666,,12.866
27,Lin Chaopan,China,5.6,7.266,,12.866
28,Juho Kanerva,Finland,5.4,7.316,,12.716
29,Lee Hyeok-jung,South Korea,5.5,7.2,,12.7
30,Alec Yoder,United States,6.3,6.4,,12.7
31,Jorden O’Connell-Inns,New Zealand,5.5,7.191,,12.691
32,Maxime Gentges,Belgium,5.8,6.858,,12.658
33,Christian Baumann,Switzerland,5.5,7.133,,12.633
34,Bart Deurloo,Netherlands,5.3,7.3,,12.6
35,Bram Louwije,Netherlands,5.4,7.2,,12.6
36,Brinn Bevan,Great Britain,5.5,7.1,,12.6
37,Saso Bertoncelj,Slovenia,5.6,7,,12.6
38,Hsu Ping-Chien,Chinese Taipei,5.7,6.866,,12.566
