Rank,Athlete,Nation,D,E,ND,Total,Average
1,Ri Se Gwang,North Korea,6,8.933,,14.933,14.933
1,Ri Se Gwang,North Korea,6,8.933,,14.933,14.933
2,Artur Dalaloyan,Russia,5.6,9.266,,14.866,14.883
2,Artur Dalaloyan,Russia,5.6,9.3,,14.9,14.883
3,Kenzo Shirai,Japan,5.6,9.15,,14.75,14.675
3,Kenzo Shirai,Japan,5.2,9.4,,14.6,14.675
4,Dominick Cunningham,Great Britain,5.4,9.133,,14.533,14.666
4,Dominick Cunningham,Great Britain,5.6,9.2,,14.8,14.666
5,Nikita Nagornyy,Russia,5.6,9.2,,14.8,14.65
5,Nikita Nagornyy,Russia,5.6,8.9,,14.5,14.65
6,Shek Wai Hung,Hong Kong,5.6,9.133,,14.733,14.366
6,Shek Wai Hung,Hong Kong,5.6,8.7,-0.3,14,14.366
7,Artur Davtyan,Armenia,5.6,8.833,,14.433,13.933
7,Artur Davtyan,Armenia,5.6,8.133,-0.3,13.433,13.933
8,Caio Souza,Brazil,5.6,9.033,,14.633,13.883
8,Caio Souza,Brazil,5.6,7.833,-0.3,13.133,13.883
