32577,23042,32978,32634,27487,15760,19428,23231,24965,39427
29581,20205,18114,23263,23204,22530,26513,19648,27614,17574
23654,27264,25800,29825,24657,28021,31514,20854,17292,25280
23585,21742,22400,21103,29360,31911,30952,22422,32429,23323
35547,28364,22283,20007,18000,18606,15617,31939,29992,23636
26596,22739,39648,20227,24670,26500,28709,23964,11656,17418
27152,24933,19356,24305,20110,26453,16449,27195,26490,25391
25114,26544,21105,24284,28984,31605,25862,24293,19527,16374
20217,32524,29632,23682,22451,22486,30981,23345,32536,28880
32795,19760,25050,19714,28577,25718,23306,33735,26374,30979
29691,20339,21304,25279,18217,28460,17315,34752,21995,35069
22524,19166,25152,25164,14918,31322,18282,27013,27968,25828
24287,26186,18587,20180,18317,34480,33986,26575,17602,24977
34070,22145,29787,19155,29136,19264,17609,19258,19781,19535
29447,25411,23057,18480,18904,20393,18281,22310,27830,17917
33821,17131,24420,39218,30343,23486,19805,28495,24924,22750
26907,22067,40951,35081,29677,29279,21742,30314,22908,18951
36299,19426,23234,21310,19317,28593,15858,23762,21554,16659
24577,22414,21446,30886,28194,24457,25938,20576,23791,31613
24899,25970,37148,20777,30764,35742,18615,25105,22660,22055
