"x","y"
-10,58.5528817843856
-9.8,70.9466017509524
-9.6,-10.9303314681054
-9.4,-45.3497173462763
-9.2,60.5887455840394
-9,-181.795596770373
-8.8,63.0098551068391
-8.6,-27.6184105225216
-8.4,-28.4159743943371
-8.2,-91.9322002474128
-8,-11.6247806352002
-7.8,181.731204370422
-7.6,37.0627864257954
-7.4,52.0216457554957
-7.2,-75.0531994502331
-7,81.6899839520583
-6.8,-88.6357521243213
-6.6,-33.1577589942552
-6.4,112.071265166956
-6.2,29.8723699267293
-6,77.9621924555324
-5.8,145.578508247686
-5.6,-64.4328429231302
-5.4,-155.313740522969
-5.2,-159.770951669631
-5,180.509751881082
-4.8,-48.1647363694637
-4.6,62.0379801298422
-4.4,61.2123492650849
-4.2,-16.2310976918126
-4,81.187317855386
-3.8,219.683354634753
-3.6,204.919033740619
-3.4,163.244563948047
-3.2,25.4271192814055
-3,49.1188279272559
-2.8,-32.4086578737118
-2.6,-166.205024385863
-2.4,176.773385087297
-2.2,2.58010486478081
-2,112.851083359018
-1.8,-238.035806139704
-1.6,-106.026555215253
-1.4,93.7140540182908
-1.2,85.4451720330554
-1,146.072940310409
-0.799999999999999,-141.309877788919
-0.6,56.7403253424482
-0.399999999999999,58.3187653435685
-0.199999999999999,-130.679883346442
0,-54.0386073862105
0.200000000000001,194.769266473204
0.4,5.35902703574544
0.600000000000001,35.1662840555237
0.800000000000001,-67.0976538993938
1,27.7953694806143
1.2,69.1171272874884
1.4,82.3795328706086
1.6,214.506502048029
1.8,-234.694397836337
2,14.9591980615209
2.2,-134.253148172954
2.4,55.3303075503898
2.6,158.996284269541
2.8,-58.68795943871
3,-183.23773062094
3.2,88.8139432652018
3.4,159.348847235627
3.6,51.6854670662387
3.8,-129.567168029482
4,5.46155753293754
4.2,-78.4649373191544
4.4,-104.935281895627
4.6,233.051196240471
4.8,140.270538286743
5,94.2600850691525
5.2,82.625828715243
5.4,-81.1540490191081
5.6,47.6248280753654
5.8,102.125840748109
6,64.5383074206077
6.2,104.314355155144
6.4,-30.4369112693661
6.6,247.711091696297
6.8,97.1220673037445
7,186.709918456672
7.2,67.2042469014787
7.4,-30.7953380837338
7.6,53.6523716710872
7.8,82.4870065351676
8,-96.3901479013802
8.2,-85.5082511099791
8.4,188.694694202566
8.6,-39.1819371995182
8.8,-98.0632948949986
9,68.7332100557042
9.2,-50.5043517520896
9.4,215.771981650642
9.6,-59.9797563824836
9.8,-69.4546693270751
10,22.3925407521288
-10,-115.622333024077
-9.7,42.2418527786999
-9.4,-132.475525584893
-9.1,14.1084312860285
-8.8,-53.6047998490946
-8.5,-31.1606084578147
-8.2,155.610964260126
-7.9,-44.803329129447
-7.6,32.1123537493968
-7.3,-123.017224688019
-7,-132.405869215415
-6.7,126.12422743883
-6.4,131.923171964234
-6.1,-8.07537613680344
-5.8,-50.5089806271492
-5.5,-5.21535933303235
-5.2,62.8860625108436
-4.9,218.000239748484
-4.6,-6.90173065192163
-4.3,154.48636020376
-4,132.145201716263
-3.7,32.2151575362802
-3.4,153.095511973516
-3.1,-42.1239693338574
-2.8,-115.882102281814
-2.5,-184.536828942147
-2.2,115.732528705715
-1.9,-212.354988101476
-1.6,-119.603151811083
-1.3,164.219199076734
-1,88.3654833162014
-0.700000000000001,52.4875891035917
-0.4,-118.465906563077
-0.0999999999999996,265.578827214279
-2,-104.791371021831
-1.4,-101.112252361904
-0.8,66.8921652514333
-0.2,12.9177293676193
0.4,-42.2576867053514
1,-114.026414484813
1.6,-129.371529003254
2.2,-59.4698769070893
2.8,-150.081408022084
3.4,1.58556930655591
4,54.016956769222
4.6,-154.72919670457
5.2,84.9652929928439
5.8,89.601318433245
6.4,13.8690996809729
7,-161.932832236614
7.6,54.8397923014403
8.2,19.5282153811252
8.8,-80.6497994763471
9.4,-10.8624235207127
10,-25.0946623852313
