Rank,Athlete,Province,VT,UB,BB,FX,AA,Total
1,Tang Xijing,Beijing,12.9,14.4,14,13.7,55,108.85
2,Ou Yushan,Guangdong,13.05,14.3,13.85,13.05,54.25,107.75
3,He Licheng,Anhui,13.5,14.25,13.75,11.95,53.45,107.4
4,Xiang Lulu,Anhui,12.75,14.05,13.75,13,53.55,106.95
5,Wei Xiaoyuan,Guangxi,12.95,14.9,13.3,12.55,53.7,106.45
6,Zhang Xinyi,Zhejiang,13,13.75,14.05,12.8,53.6,106.45
7,Qiu Qiyuan,Fujian,12.9,12.6,12.3,13.1,50.9,106.25
8,Zhang Jin,Shanghai,13.7,12.25,13.85,12.7,52.5,104.95
9,Zhang Qingying,Zhejiang,13.1,11.75,13.5,12.9,51.25,104.9
10,Yue Yue,Anhui,12.95,13.9,12.4,12.4,51.65,104.1
11,Zuo Tong,Jiangsu,12.9,13.8,12.55,11.4,50.65,102.95
12,Zhao Jiayi,Hubei,12.65,12.2,12.8,13.15,50.8,100.85
13,Zhang Wanning,Henan,12.35,12.75,12.45,12.75,50.3,99.5
14,Chen Shutong,Shanghai,12.85,12,11.75,12.4,49,99.45
15,Jia Ruoyi,Hebei,12.9,13.15,10.35,12.15,48.55,98.65
16,Wu Sihan,Zhejiang,12.8,11.4,12,12.6,48.8,98.5
17,Zhou Yuying,Jiangsu,12.8,11.5,11.7,12.75,48.75,98.15
18,Liu Sibei,Fujian,12.2,12.6,11.55,11.85,48.2,98.05
19,Zhang Shiyi,Shaanxi,12.6,12.35,12.05,12.2,49.2,97.8
20,Tian Zhuofan,Hebei,11.7,11.95,12.3,12.4,48.35,97.15
21,Lin Haibin,Beijing,10.8,12.25,12.75,12.05,47.85,96.7
22,Wang Hao,Shanghai,11.75,12.8,12.15,10.55,47.25,96.15
23,Bi Qingqing,Guangdong,12.95,0,13.25,13.1,39.3,89.5
