Rank,Athlete,Nation,VT,UB,BB,FX,AA
1,Asia D’Amato,Italy,13.766,13.9,13.5,13.566,54.732
2,Alice Kinsella,Great Britain,13.6,13.966,13.033,13.533,54.132
3,Martina Maggio,Italy,13.666,13.066,13.4,13.833,53.965
4,Carolann Heduit,France,13.8,13.733,13.4,12.766,53.699
5,Lisa Vaelen,Belgium,14.2,13.5,12.933,13.066,53.699
6,Naomi Visser,Netherlands,13.133,14.266,12.233,13.633,53.265
7,Ana Barbosu,Romania,12.733,13.5,13.533,13.266,53.032
8,Kim Bui,Germany,13.1,14.2,12.833,12.866,52.999
9,Zsofia Kovacs,Hungary,14.066,13.366,11.9,13.433,52.765
10,Jessica Gadirova,Great Britain,13.866,12.833,12.233,13.766,52.698
11,Maisa Kuusikko,Finland,13.333,13.466,12.533,12.866,52.198
12,Alba Petisco,Spain,13.266,12.833,13.1,12.933,52.132
12,Ondine Achampong,Great Britain,13.933,12.233,13.266,12.666,52.098
13,Emma Malewski,Germany,12.966,13.1,13.5,12.466,52.032
14,Aline Friess,France,14.333,12.5,12.166,12.8,51.799
15,Vera van Pol,Netherlands,13.566,12.8,12.5,12.633,51.499
15,Sarah Voss,Germany,13.433,13.1,12.266,12.1,50.899
15,Tisha Volleman,Netherlands,12.833,13.2,11.3,13,50.333
16,Lihie Raz,Israel,13.5,12.333,11.733,12.6,50.166
17,Nathalie Westlund,Sweden,12.3,13.033,12.5,12.3,50.133
18,Greta Mayer,Hungary,12.933,11.6,12.833,12.7,50.066
19,Andreea Preda,Romania,12.6,12.1,12.466,12.733,49.899
20,Camille Rasmussen,Denmark,13.733,11.966,11.533,12.533,49.765
21,Sani Mäkelä,Finland,13.266,12.866,11.3,12.233,49.665
21,Morgane Osyssek,France,13.3,10.433,12.466,13.2,49.399
22,Laura Casabuena,Spain,11.8,13,11.733,12.733,49.266
23,Selina Kickinger,Austria,12.733,12.6,12.233,11.666,49.232
23,Emma Fernandez,Spain,12.8,11.833,11.866,12.7,49.199
24,Maria Tronrud,Norway,12.866,12,12.9,11.366,49.132
25,Valeriia Osipova,Ukraine,12.833,12.533,11.4,12.366,49.132
26,Tonya Paulsson,Sweden,12.733,12.866,12.366,11.133,49.098
27,Yuliia Kasianenko,Ukraine,12.7,11.766,12.366,12.033,48.865
27,Kaia Tanskanen,Finland,13.1,12.033,11.033,12.533,48.699
28,Jasmin Mader,Austria,12.333,12.066,11.866,12.433,48.698
29,Lucija Hribar,Slovenia,12.9,11.466,12.366,11.933,48.665
29,Mirtill Makovits,Hungary,12.1,13.066,11.4,12.033,48.599
29,Yelizaveta Hubareva,Ukraine,12.566,12.666,11.633,11.566,48.431
30,Halle Hilton,Ireland,12.766,11.166,12.033,12.433,48.398
30,Carina Kröll,Austria,12.566,11.8,12.033,11.7,48.099
31,Aneta Holasova,Czech Republic,12.8,11.5,10.833,12.566,47.699
32,Zala Trtnik,Slovenia,12.733,11.266,12.066,11.633,47.698
33,Thelma Adalsteinsdottir,Iceland,12.333,11.733,12.233,11.133,47.432
34,Klara Peterkova,Czech Republic,12.2,11.333,11.766,12.1,47.399
34,Dominika Ponizilova,Czech Republic,12.933,10.4,11.966,12.066,47.365
34,Antonia Duta,Romania,12.5,12.4,11.066,11.333,47.299
35,Juliane Tøssebro,Norway,12.3,11.2,11.8,11.966,47.266
35,Ada Hautala,Finland,12.733,12.633,9.7,12.1,47.166
36,Emma Slevin,Ireland,12.933,10.133,12.3,11.766,47.132
36,Alva Eriksson,Sweden,11.566,11.933,11.266,12,46.765
37,Mariana Parente,Portugal,12.3,11.533,11.2,11.7,46.733
37,Silviana Sfiringu,Romania,12.866,11.133,12.533,10.066,46.598
37,Julie Madsø,Norway,12.933,10.8,11.566,11.133,46.432
38,Valentina Georgieva,Bulgaria,13.766,10.266,11.033,11.033,46.098
39,Sevgi Kayisoglu,Turkey,12.066,11.466,10.766,11.8,46.098
40,Emilia Kulczynska,Poland,11.366,11.833,11.3,11.566,46.065
41,Ofir Netzer,Israel,13.166,12.433,9.233,11.166,45.998
42,Anina Wildi,Switzerland,12.3,12.133,9.1,12.333,45.866
43,Freja Petersen,Denmark,11.566,10.833,11.5,11.733,45.632
44,Bengisu Yildiz,Turkey,12.666,11.233,10.466,11.233,45.598
45,Elvira Katsali,Greece,11.766,11.4,10.4,12,45.566
46,Tatiana Bachurina,Cyprus,11.666,11,11.766,11.1,45.532
47,Tara Vella Clark,Malta,12.266,9.766,12.033,11.3,45.365
48,Hildur Gudmundsdottir,Iceland,11.766,9.666,11.166,11.8,44.398
49,Petra Furac,Croatia,12.166,10.666,10.966,10.433,44.231
50,Brygida Urbanska,Poland,12.466,11.033,10.566,9.9,43.965
51,Celeste Mordenti,Luxembourg,12.333,10.7,10.133,10.766,43.932
52,Nika Kukuljan Frleta,Croatia,11.666,10.166,11.166,10.833,43.831
53,Lilli Habisreutinger,Switzerland,13,10.066,8.666,11.866,43.598
53,Sara Sulekic,Croatia,11.833,10.4,9.8,11.433,43.466
54,Sara Surmanova,Slovakia,12.533,9.933,9.433,11.466,43.365
54,Bilge Tarhan,Turkey,12.866,11.1,9.6,9.733,43.299
55,Lia Sobral,Portugal,12.066,10.633,8.733,11.7,43.132
55,Mafalda Costa,Portugal,11.466,8.2,11.566,11.8,43.032
56,Ula Bikinaite,Lithuania,12.4,9.1,11.633,9.566,42.699
57,Areti Pagoni,Greece,11.566,10.533,9.666,10.7,42.465
58,Ella Borg,Malta,11.9,9.4,9.5,11.266,42.066
59,Radoslava Kalamarova,Slovakia,11.533,8.133,11.066,11.066,41.798
59,Alice D’Amato,Italy,13.666,14.566,0,13.5,41.732
59,Agnes Suto,Iceland,11.566,10.5,7.933,11.666,41.665
60,Milana Minakovskaya,Azerbaijan,11.5,9.966,9.5,10.366,41.332
61,Arina Olenova,Latvia,12.166,8.166,9.466,11.433,41.231
62,Ani Gobadze,Georgia,11.366,9.433,10.033,10.166,40.998
63,Joana de Freitas,Monaco,11.566,8.966,10,10.433,40.965
64,Anastasija Ananjeva,Latvia,12.066,8.633,8.233,10.8,39.732
64,Angela Andreoli,Italy,13.133,0,12.666,13.633,39.432
64,Noémie Louon,Belgium,12.7,12.933,12.933,0,38.566
64,Marine Boyer,France,13.2,0,13,12.366,38.566
65,Samira Gahramanova,Azerbaijan,11.733,7.366,9.1,10.266,38.465
66,Jutta Verkest,Belgium,12.733,0,13,12.566,38.299
67,Maellyse Brassart,Belgium,12.966,13.133,0,11.7,37.799
68,Göksu Üctas Sanli,Turkey,12.5,0,11.866,12.6,36.966
69,Lorena Medina,Spain,12.933,0,12,12,36.933
70,Chiara Giubellini,Switzerland,12.8,0,11.3,12.533,36.633
71,Anna Locmele,Latvia,11.833,6,9,9.466,36.299
72,Christina Kiosi,Greece,12.3,0,11.866,11.8,35.966
73,Charlize Mörz,Austria,12.833,0,11.9,11.066,35.799
74,Lucie Trnkova,Czech Republic,11.3,0,12.366,12.1,35.766
75,Blathnaid Higgins,Ireland,12.3,0,11.1,11.866,35.266
76,Mali Neurauter,Norway,11.9,11.2,11.733,0,34.833
77,Elena Usakova,Slovakia,11.933,0,11.5,11,34.433
78,Emelie Westlund,Sweden,11.466,11.7,11.266,0,34.432
79,Maria Mendes,Portugal,11.633,0,11,11.7,34.333
80,Noga Shalit,Israel,12.266,0,10.466,11.5,34.232
81,Josephine Sørensen,Denmark,11.733,0,10.2,11.3,33.233
82,Konstantina Maragkou,Greece,0,10.433,11.1,11.3,32.833
83,Stefanie Siegenthaler,Switzerland,0,12.833,7.633,12.333,32.799
84,Sara King,Slovenia,0,10.8,10.2,11.366,32.366
85,Kate Molloy,Ireland,11.6,10.133,9.466,0,31.199
86,Geffen Dor,Israel,0,8.966,10.433,11.433,30.832
87,Camille Normann,Denmark,0,10.266,10.166,9.133,29.565
88,Giorgia Villa,Italy,0,14.2,13.466,0,27.666
89,Georgia-Mae Fenton,Great Britain,13.466,13.9,0,0,27.366
90,Elisabeth Seitz,Germany,13.1,14.2,0,0,27.3
91,Jennifer Gadirova,Great Britain,0,0,12.9,13.533,26.433
92,Sanna Veerman,Netherlands,13.2,12.8,0,0,26
93,Pauline Schäfer,Germany,0,0,13.166,12.766,25.932
94,Ana Derek,Croatia,0,0,12.666,12.766,25.432
95,Fien Enghels,Belgium,0,12.6,12.7,0,25.3
96,Barbora Mokosova,Slovakia,0,13.233,11.533,0,24.766
97,Csenge Bacskay,Hungary,13.3,0,11.133,0,24.433
98,Anny Wu,Switzerland,12.233,12.2,0,0,24.433
99,Shadé van Oorschot,Netherlands,0,0,10.966,12.566,23.532
100,Andy Turiski,Israel,12.5,10.933,0,0,23.433
101,Michelle Lauritsen,Denmark,11.633,11.633,0,0,23.266
102,Margret Kristinsdottir,Iceland,11.333,0,0,11.933,23.266
103,Marharyta Kozlovska,Ukraine,11.333,11.433,0,0,22.766
104,Diana Savelieva,Ukraine,0,0,10.3,11.666,21.966
105,Gudrun Hardardottir,Iceland,0,10.1,11.333,0,21.433
106,Elena Melke,Latvia,11.2,0,0,9.633,20.833
107,Emily Moorhead,Ireland,0,8.266,0,10.9,19.166
108,Christina Vasilopoulou,Greece,9.966,9.133,0,0,19.099
109,Darja Elbe,Latvia,0,8.2,9,0,17.2
110,Lorette Charpy,France,0,13.833,0,0,13.833
111,Tjasa Kysselef,Slovenia,13.133,0,0,0,13.133
112,Tijana Korent,Croatia,12.733,0,0,0,12.733
113,Paula Raya,Spain,0,12.7,0,0,12.7
114,Zoja Szekely,Hungary,0,12.466,0,0,12.466
115,Alissa Mörz,Austria,0,12.1,0,0,12.1
116,Filipa Martins,Portugal,0,11.633,0,0,11.633
117,Madelen Leitner,Norway,0,0,0,11.3,11.3
118,Teja Belak,Slovenia,11.3,0,0,0,11.3
119,Lucie Marikova,Czech Republic,0,11.133,0,0,11.133
120,Adela Balcova,Slovakia,0,11.1,0,0,11.1
