Rank,Athlete,Nation,VT,UB,BB,FX,AA
1,Luisa Maia,Brazil,12.9,11.6,12.7,12.25,49.45
2,Beatriz Lima,Brazil,12.75,11.75,11.95,12.65,49.1
2,Thais Fidelis,Brazil,12.15,12.3,11.95,12.15,48.55
3,Ana Karina Mendez,Peru,12.65,11.2,12.6,11.9,48.35
4,Abigail Magistrati,Argentina,12.867,10.4,12.25,12.8,48.317
5,Sira Macias,Argentina,12.6,12.05,11.2,12.25,48.1
5,Milagros Curti,Argentina,12.85,10.85,11.3,12.45,47.45
5,Luiza Domingues,Brazil,13.1,11.2,10.7,12.45,47.45
5,Felicitas Palmou,Argentina,12.25,12,11.2,11.95,47.4
6,Antonia Marihuan,Chile,13.05,10.7,11.05,12,46.8
7,Maria Zuñiga,Peru,12,10.9,10.9,10.55,44.35
8,Sofia Casella,Chile,12.3,9.45,9.4,12.1,43.25
8,Paula Carvajal,Chile,12.8,9.9,10.1,10.15,42.95
9,Diana Vasquez,Bolivia,12.9,9.15,10.95,9.9,42.9
10,Kiara Delgado,Uruguay,10.4,10.05,11.05,10.4,41.9
11,Amika Every,Aruba,11.3,9.5,8.5,12.1,41.4
11,Tamara Ampuero,Chile,11.7,8.5,10.3,10.15,40.65
12,Ariana Aranibar,Bolivia,10.65,8.85,8.9,9.3,37.7
13,Rafaela Oliva,Brazil,12.1,0,10.8,12.55,35.45
14,Fabiana Cuneo,Peru,11.9,0,10.45,11.1,33.45
15,Ximena Rengifo,Peru,12.15,11.15,9.9,0,33.2
16,Annia Teran,Peru,11.8,9.3,0,10.8,31.9
17,Barbara Achondo,Chile,0,8,10.2,12.45,30.65
18,Chris Centeno,Peru,0,10.05,10,10.3,30.35
19,Lucila Estarli,Argentina,12.4,0,0,11.6,24
20,Leila Martinez,Argentina,0,9.7,11.5,0,21.2
21,Camille Fonseca,Brazil,0,11.8,0,0,11.8
