Name,Country,Gender,Date,Competition,Round,Apparatus,Rank,D_Score,E_Score,Penalty,Score
Jana ABDELSALAM,EGY,w,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,VT1,110.0,4.2,8.433,0.3,12.333
Jana ABDELSALAM,EGY,w,2023-10-08,2023 52nd FIG Artistic Gymnastics World Championships,qual,VT1,131.0,4.2,8.5,0.3,12.4
Jana ABOELHASAN,EGY,w,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,VT1,138.0,3.2,8.4,0.0,11.6
Ondine ACHAMPONG,GBR,w,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,VT1,3.0,5.0,9.466,0.0,14.466
Ondine ACHAMPONG,GBR,w,2022-03-27,2022 British Gymnastics Championships,qual,VT1,1.0,5.0,9.25,0.0,14.25
Ondine ACHAMPONG,GBR,w,2022-08-14,2022 Senior European Championships,qual,VT1,4.0,5.0,8.933,0.0,13.933
Ondine ACHAMPONG,GBR,w,2022-08-14,2022 Senior European Championships,TeamFinal,VT1,7.0,5.0,8.9,0.0,13.9
Ondine ACHAMPONG,GBR,w,2023-10-08,2023 52nd FIG Artistic Gymnastics World Championships,AAfinal,VT,4.0,5.0,9.133,0.0,14.133
Ondine ACHAMPONG,GBR,w,2023-10-08,2023 52nd FIG Artistic Gymnastics World Championships,qual,VT1,9.0,5.0,9.3,0.0,14.3
Ondine ACHAMPONG,GBR,w,2023-03-26,2023 British Gymnastics Championships,qual,VT1,16.0,5.0,9.3,0.0,14.3
Ondine ACHAMPONG,GBR,w,2023-04-16,2023 Senior European Championships,qual,VT1,6.0,5.0,8.966,0.0,13.966
Ondine ACHAMPONG,ENG,w,2022-08-02,BIRMINGHAM 2022 Commonwealth Games,AAfinal,VT,1.0,5.0,8.9,0.0,13.9
Barbara ACHONDO ANDINO,CHI,w,2023-10-25,SANTIAGO 2023 XIX Pan American Games,AAfinal,VT,24.0,3.2,8.2,0.0,11.4
Thelma ADALSTEINSDOTTIR,ISL,w,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,VT1,126.0,3.8,8.266,0.0,12.066
Thelma ADALSTEINSDOTTIR,ISL,w,2022-08-14,2022 Senior European Championships,qual,VT1,69.0,3.8,8.533,0.0,12.333
Thelma ADALSTEINSDOTTIR,ISL,w,2023-10-08,2023 52nd FIG Artistic Gymnastics World Championships,qual,VT1,135.0,4.2,8.4,0.3,12.3
Thelma ADALSTEINSDOTTIR,ISL,w,2023-04-16,2023 Senior European Championships,qual,VT1,82.0,3.8,8.5,0.0,12.3
Jess ADAMSON,GBR,w,2022-03-27,2022 British Gymnastics Championships,qual,VT1,44.0,3.6,8.4,0.0,12.0
Ruba ALDAOUD,JOR,w,2023-04-30,2023 Cairo World Cup,qual,VT1,23.0,3.2,8.6,0.0,11.8
Ruba ALDAOUD,JOR,w,2023-04-30,2023 Cairo World Cup,qual,VT2,23.0,1.6,8.566,0.0,10.166
Alejandra Sofia ALVAREZ DIAZ,PUR,w,2023-10-25,SANTIAGO 2023 XIX Pan American Games,AAfinal,VT,17.0,4.2,8.433,0.0,12.633
Mei AMORELLI,GBR,w,2023-03-26,2023 British Gymnastics Championships,qual,VT1,30.0,3.4,8.7,0.0,12.1
Lobar AMRILLAEVA,UZB,w,2023-05-28,2023 Varna World Challenge Cup,qual,VT1,9.0,3.8,8.566,0.0,12.366
Lobar AMRILLAEVA,UZB,w,2023-05-28,2023 Varna World Challenge Cup,qual,VT2,9.0,3.4,8.733,0.0,12.133
Changok AN,PRK,w,2023-09-29,HANGZHOU 2022 19th Asian Games,AAfinal,VT,1.0,5.6,8.2,0.3,13.5
Changok AN,PRK,w,2023-09-29,HANGZHOU 2022 19th Asian Games,final,VT1,1.0,5.0,9.033,0.1,13.933
Changok AN,PRK,w,2023-09-29,HANGZHOU 2022 19th Asian Games,qual,VT1,1.0,5.6,8.366,0.1,13.866
Changok AN,PRK,w,2023-09-29,HANGZHOU 2022 19th Asian Games,final,VT2,1.0,5.6,8.666,0.1,14.166
Changok AN,PRK,w,2023-09-29,HANGZHOU 2022 19th Asian Games,qual,VT2,1.0,5.0,8.9,0.1,13.8
Yeonjeong AN,KOR,w,2023-09-29,HANGZHOU 2022 19th Asian Games,AAfinal,VT,6.0,4.2,8.533,0.0,12.733
Anastasija ANANJEVA,LAT,w,2022-10-09,2022 Mersin World Challenge Cup,qual,VT1,8.0,3.8,8.25,0.0,12.05
Anastasija ANANJEVA,LAT,w,2022-10-09,2022 Mersin World Challenge Cup,final,VT1,8.0,3.6,8.2,0.1,11.7
