Name,Country,Gender,Date,Competition,Round,Apparatus,Rank,D_Score,E_Score,Penalty,Score
Jana ABDELSALAM,EGY,w,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,FX,109.0,4.4,7.466,0.1,11.766
Jana ABDELSALAM,EGY,w,2023-10-08,2023 52nd FIG Artistic Gymnastics World Championships,qual,FX,131.0,4.5,7.2,0.3,11.4
Jana ABDELSALAM,EGY,w,2023-03-12,2023 Baku World Cup,qual,FX,22.0,4.5,7.366,0.0,11.866
Kumudi Imanya ABEYRATNE,SRI,w,2022-08-02,BIRMINGHAM 2022 Commonwealth Games,qual,FX,39.0,2.9,4.45,0.0,7.35
Jana ABOELHASAN,EGY,w,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,FX,74.0,4.4,7.866,0.0,12.266
Ondine ACHAMPONG,GBR,w,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,FX,16.0,5.3,8.033,0.0,13.333
Ondine ACHAMPONG,GBR,w,2022-03-27,2022 British Gymnastics Championships,qual,FX,12.0,5.2,7.6,0.3,12.5
Ondine ACHAMPONG,GBR,w,2022-08-14,2022 Senior European Championships,qual,FX,25.0,5.3,7.566,0.2,12.666
Ondine ACHAMPONG,GBR,w,2023-10-08,2023 52nd FIG Artistic Gymnastics World Championships,AAfinal,FX,17.0,5.3,7.4,0.0,12.7
Ondine ACHAMPONG,GBR,w,2023-10-08,2023 52nd FIG Artistic Gymnastics World Championships,qual,FX,33.0,5.3,7.566,0.0,12.866
Ondine ACHAMPONG,GBR,w,2023-03-26,2023 British Gymnastics Championships,final,FX,8.0,5.2,6.75,0.0,11.95
Ondine ACHAMPONG,GBR,w,2023-03-26,2023 British Gymnastics Championships,qual,FX,4.0,5.3,7.9,0.0,13.2
Ondine ACHAMPONG,GBR,w,2023-04-16,2023 Senior European Championships,qual,FX,8.0,5.3,7.866,0.0,13.166
Ondine ACHAMPONG,ENG,w,2022-08-02,BIRMINGHAM 2022 Commonwealth Games,AAfinal,FX,1.0,5.3,8.05,0.0,13.35
Ondine ACHAMPONG,ENG,w,2022-08-02,BIRMINGHAM 2022 Commonwealth Games,final,FX,2.0,5.3,7.733,0.0,13.033
Ondine ACHAMPONG,ENG,w,2022-08-02,BIRMINGHAM 2022 Commonwealth Games,qual,FX,11.0,5.3,7.25,0.0,12.55
Barbara ACHONDO ANDINO,CHI,w,2023-10-25,SANTIAGO 2023 XIX Pan American Games,AAfinal,FX,10.0,4.5,7.833,0.0,12.333
Barbara ACHONDO ANDINO,CHI,w,2023-10-25,SANTIAGO 2023 XIX Pan American Games,final,FX,8.0,4.4,7.9,0.1,12.2
Barbara ACHONDO ANDINO,CHI,w,2023-10-25,SANTIAGO 2023 XIX Pan American Games,qual,FX,10.0,4.6,8.033,0.0,12.633
Thelma ADALSTEINSDOTTIR,ISL,w,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,FX,127.0,3.7,7.733,0.0,11.433
Thelma ADALSTEINSDOTTIR,ISL,w,2022-08-14,2022 Senior European Championships,qual,FX,91.0,3.6,7.533,0.0,11.133
Thelma ADALSTEINSDOTTIR,ISL,w,2023-10-08,2023 52nd FIG Artistic Gymnastics World Championships,qual,FX,62.0,4.8,7.7,0.0,12.5
Thelma ADALSTEINSDOTTIR,ISL,w,2023-04-16,2023 Senior European Championships,qual,FX,78.0,4.5,7.066,0.0,11.566
Jess ADAMSON,GBR,w,2022-03-27,2022 British Gymnastics Championships,qual,FX,52.0,4.0,6.45,0.0,10.45
Ciena ALIPIO,USA,w,2022-02-27,2022 Winter Cup,AAfinal,FX,19.0,5.0,6.85,0.0,11.85
