Country,Competition,Round,Apparatus,Rank,D_Score,E_Score,Penalty,Score,year,name
NOR,2023 FISU World University Games,qual,FX,54.0,4.0,8.566,0.0,12.566,2023,fredrik aas
ESP,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,FX,13.0,5.5,8.3,0.0,13.8,2022,nestor abad
ESP,2022 51st FIG Artistic Gymnastics World Championships,qual,FX,48.0,5.5,7.9,0.0,13.4,2022,nestor abad
ESP,2022 Senior European Championships,qual,FX,86.0,5.4,7.133,0.1,12.433,2022,nestor abad
ESP,2023 52nd FIG Artistic Gymnastics World Championships,qual,FX,21.0,5.5,8.666,0.0,14.166,2023,nestor abad
ESP,2023 Senior European Championships,AAfinal,FX,24.0,5.4,7.233,0.0,12.633,2023,nestor abad
ESP,2023 Senior European Championships,qual,FX,94.0,4.6,8.0,0.1,12.5,2023,nestor abad
ITA,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,FX,17.0,5.1,8.466,0.0,13.566,2022,yumin abbadini
ITA,2022 51st FIG Artistic Gymnastics World Championships,qual,FX,34.0,5.1,8.566,0.0,13.666,2022,yumin abbadini
ITA,2022 Senior European Championships,qual,FX,19.0,5.4,8.433,0.0,13.833,2022,yumin abbadini
ITA,2023 52nd FIG Artistic Gymnastics World Championships,AAfinal,FX,8.0,5.4,8.466,0.0,13.866,2023,yumin abbadini
ITA,2023 52nd FIG Artistic Gymnastics World Championships,qual,FX,64.0,5.4,8.433,0.3,13.533,2023,yumin abbadini
ITA,2023 Baku World Cup,qual,FX,11.0,5.5,8.033,0.0,13.533,2023,yumin abbadini
ITA,2023 Senior European Championships,AAfinal,FX,11.0,5.5,8.266,0.0,13.766,2023,yumin abbadini
ITA,2023 Senior European Championships,qual,FX,11.0,5.5,8.466,0.0,13.966,2023,yumin abbadini
EGY,2022 51st FIG Artistic Gymnastics World Championships,qual,FX,113.0,5.2,7.2,0.4,12.0,2022,abdelrahman abdelhaleem
EGY,2022 51st FIG Artistic Gymnastics World Championships,qual,FX,116.0,5.4,7.433,0.9,11.933,2022,ahmed abdelrahman
EGY,2022 Cairo World Cup,qual,FX,9.0,5.4,7.966,0.1,13.266,2022,ahmed abdelrahman
EGY,2023 52nd FIG Artistic Gymnastics World Championships,qual,FX,117.0,5.3,7.366,0.1,12.566,2023,ahmed abdelrahman
EGY,2023 Baku World Cup,qual,FX,33.0,5.1,7.266,0.3,12.066,2023,ahmed abdelrahman
EGY,2023 Cairo World Cup,qual,FX,38.0,5.2,6.333,0.4,11.133,2023,ahmed abdelrahman
UZB,2022 9th Senior Artistic Gymnastics Asian Championships,qual,FX,26.0,4.7,7.967,0.0,12.667,2022,rasuljon abdurakhimov
GEO,2022 Baku World Cup,qual,FX,28.0,5.1,6.966,0.3,11.766,2022,saba abesadze
GEO,2022 Doha World Cup,qual,FX,21.0,5.4,7.033,0.0,12.433,2022,saba abesadze
GEO,2022 Senior European Championships,qual,FX,104.0,5.3,6.3,0.0,11.6,2022,saba abesadze
GEO,2023 Baku World Cup,qual,FX,27.0,4.9,7.866,0.0,12.766,2023,saba abesadze
GEO,2023 Cottbus World Cup,qual,FX,28.0,5.3,7.733,0.0,13.033,2023,saba abesadze
GEO,2023 Doha World Cup,qual,FX,33.0,5.2,6.533,0.0,11.733,2023,saba abesadze
CRC,2023 Central American and Caribbean Games,AAfinal,FX,14.0,4.3,8.2,0.0,12.5,2023,francisco acuna
CRC,2023 Central American and Caribbean Games,qual,FX,19.0,4.3,8.0,0.0,12.3,2023,francisco acuna
CAY,BIRMINGHAM 2022 Commonwealth Games,qual,FX,34.0,4.0,6.6,0.0,10.6,2022,karthik adapa
EGY,2022 51st FIG Artistic Gymnastics World Championships,qual,FX,65.0,5.1,8.0,0.0,13.1,2022,mohamed afify
