Name,Country,Gender,Date,Competition,Round,Apparatus,Rank,D_Score,E_Score,Penalty,Score
Fredrik AAS,NOR,m,2022-02-27,2022 Cottbus World Cup,qual,HB,18.0,3.9,8.266,0.0,12.166
Fredrik AAS,NOR,m,2022-02-27,2022 Cottbus World Cup,qual,HB,18.0,3.9,8.266,0.0,12.166
Fredrik AAS,NOR,m,2022-02-27,2022 Cottbus World Cup,qual,PB,23.0,3.9,6.9,0.0,10.8
Fredrik AAS,NOR,m,2022-02-27,2022 Cottbus World Cup,qual,PB,23.0,3.9,6.9,0.0,10.8
Fredrik AAS,NOR,m,2022-02-27,2022 Cottbus World Cup,qual,PH,33.0,4.2,6.666,0.0,10.866
Fredrik AAS,NOR,m,2022-02-27,2022 Cottbus World Cup,qual,PH,33.0,4.2,6.666,0.0,10.866
Fredrik AAS,NOR,m,2023-02-26,2023 Cottbus World Cup,qual,HB,39.0,4.6,6.7,0.0,11.3
Fredrik AAS,NOR,m,2023-02-26,2023 Cottbus World Cup,qual,PH,44.0,4.4,7.8,0.0,12.2
Fredrik AAS,NOR,m,2023-08-05,2023 FISU World University Games,qual,FX,54.0,4.0,8.566,0.0,12.566
Fredrik AAS,NOR,m,2023-08-05,2023 FISU World University Games,qual,HB,44.0,4.6,8.166,0.0,12.766
Fredrik AAS,NOR,m,2023-08-05,2023 FISU World University Games,qual,PB,54.0,4.4,8.066,0.0,12.466
Fredrik AAS,NOR,m,2023-08-05,2023 FISU World University Games,qual,PH,58.0,4.4,7.266,0.0,11.666
Fredrik AAS,NOR,m,2023-08-05,2023 FISU World University Games,qual,SR,73.0,3.5,8.366,0.0,11.866
Fredrik AAS,NOR,m,2023-08-05,2023 FISU World University Games,qual,VT1,69.0,4.0,8.966,0.0,12.966
Nestor ABAD,ESP,m,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,FX,13.0,5.5,8.3,0.0,13.8
Nestor ABAD,ESP,m,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,FX,48.0,5.5,7.9,0.0,13.4
Nestor ABAD,ESP,m,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,HB,10.0,5.3,8.133,0.0,13.433
Nestor ABAD,ESP,m,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,HB,48.0,5.0,8.166,0.0,13.166
Nestor ABAD,ESP,m,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,PB,12.0,5.8,8.4,0.0,14.2
Nestor ABAD,ESP,m,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,PB,26.0,5.8,8.5,0.0,14.3
Nestor ABAD,ESP,m,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,PH,21.0,5.1,6.166,0.0,11.266
Nestor ABAD,ESP,m,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,PH,55.0,5.2,7.566,0.0,12.766
Nestor ABAD,ESP,m,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,SR,12.0,5.3,7.933,0.0,13.233
Nestor ABAD,ESP,m,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,SR,90.0,4.9,7.666,0.0,12.566
Nestor ABAD,ESP,m,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,VT,20.0,4.8,9.033,0.1,13.733
Nestor ABAD,ESP,m,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,VT1,97.0,4.8,9.0,0.3,13.5
Nestor ABAD,ESP,m,2022-08-21,2022 Senior European Championships,qual,FX,86.0,5.4,7.133,0.1,12.433
Nestor ABAD,ESP,m,2022-08-21,2022 Senior European Championships,qual,HB,10.0,5.3,8.5,0.0,13.8
Nestor ABAD,ESP,m,2022-08-21,2022 Senior European Championships,TeamFinal,HB,10.0,5.3,8.1,0.0,13.4
Nestor ABAD,ESP,m,2022-08-21,2022 Senior European Championships,qual,PB,9.0,5.8,8.6,0.0,14.4
Nestor ABAD,ESP,m,2022-08-21,2022 Senior European Championships,TeamFinal,PB,10.0,5.8,8.266,0.0,14.066
Nestor ABAD,ESP,m,2022-08-21,2022 Senior European Championships,qual,PH,105.0,5.0,5.5,0.0,10.5
Nestor ABAD,ESP,m,2022-08-21,2022 Senior European Championships,qual,SR,23.0,5.3,8.366,0.0,13.666
Nestor ABAD,ESP,m,2022-08-21,2022 Senior European Championships,TeamFinal,SR,6.0,5.3,8.333,0.0,13.633
Nestor ABAD,ESP,m,2022-08-21,2022 Senior European Championships,qual,VT1,36.0,5.2,9.2,0.3,14.1
Nestor ABAD,ESP,m,2023-10-08,2023 52nd FIG Artistic Gymnastics World Championships,qual,FX,21.0,5.5,8.666,0.0,14.166
Nestor ABAD,ESP,m,2023-10-08,2023 52nd FIG Artistic Gymnastics World Championships,qual,HB,66.0,4.8,8.233,0.0,13.033
Nestor ABAD,ESP,m,2023-10-08,2023 52nd FIG Artistic Gymnastics World Championships,qual,PB,59.0,5.8,8.3,0.3,13.8
Nestor ABAD,ESP,m,2023-10-08,2023 52nd FIG Artistic Gymnastics World Championships,qual,PH,58.0,5.0,8.1,0.0,13.1
Nestor ABAD,ESP,m,2023-10-08,2023 52nd FIG Artistic Gymnastics World Championships,qual,SR,33.0,5.3,8.3,0.0,13.6
Nestor ABAD,ESP,m,2023-10-08,2023 52nd FIG Artistic Gymnastics World Championships,qual,VT1,126.0,5.2,8.0,0.0,13.2
Nestor ABAD,ESP,m,2023-04-16,2023 Senior European Championships,AAfinal,FX,24.0,5.4,7.233,0.0,12.633
Nestor ABAD,ESP,m,2023-04-16,2023 Senior European Championships,qual,FX,94.0,4.6,8.0,0.1,12.5
Nestor ABAD,ESP,m,2023-04-16,2023 Senior European Championships,AAfinal,HB,9.0,5.3,8.1,0.0,13.4
Nestor ABAD,ESP,m,2023-04-16,2023 Senior European Championships,final,HB,4.0,5.3,8.366,0.0,13.666
Nestor ABAD,ESP,m,2023-04-16,2023 Senior European Championships,qual,HB,5.0,5.3,8.433,0.0,13.733
Nestor ABAD,ESP,m,2023-04-16,2023 Senior European Championships,AAfinal,PB,10.0,5.8,8.033,0.0,13.833
Nestor ABAD,ESP,m,2023-04-16,2023 Senior European Championships,qual,PB,23.0,5.8,8.1,0.0,13.9
Nestor ABAD,ESP,m,2023-04-16,2023 Senior European Championships,AAfinal,PH,12.0,4.7,8.3,0.0,13.0
Nestor ABAD,ESP,m,2023-04-16,2023 Senior European Championships,qual,PH,28.0,5.0,8.233,0.0,13.233
Nestor ABAD,ESP,m,2023-04-16,2023 Senior European Championships,qual,SR,17.0,5.3,8.466,0.0,13.766
Nestor ABAD,ESP,m,2023-04-16,2023 Senior European Championships,AAfinal,SR,4.0,5.3,8.366,0.0,13.666
Nestor ABAD,ESP,m,2023-04-16,2023 Senior European Championships,AAfinal,VT1,22.0,5.2,7.9,0.1,13.0
Nestor ABAD,ESP,m,2023-04-16,2023 Senior European Championships,qual,VT1,69.0,4.8,9.0,0.1,13.7
Nestor ABAD,ESP,m,2023-06-04,2023 Tel Aviv World Challenge Cup,final,HB,1.0,5.3,8.5,0.0,13.8
Nestor ABAD,ESP,m,2023-06-04,2023 Tel Aviv World Challenge Cup,qual,HB,1.0,5.3,8.35,0.0,13.65
Nestor ABAD,ESP,m,2023-06-04,2023 Tel Aviv World Challenge Cup,qual,PH,11.0,5.0,7.0,0.0,12.0
Nestor ABAD,ESP,m,2023-06-04,2023 Tel Aviv World Challenge Cup,qual,SR,2.0,5.7,8.35,0.0,14.05
Nestor ABAD,ESP,m,2023-06-04,2023 Tel Aviv World Challenge Cup,final,SR,2.0,5.7,8.3,0.0,14.0
Yumin ABBADINI,ITA,m,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,FX,17.0,5.1,8.466,0.0,13.566
Yumin ABBADINI,ITA,m,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,FX,34.0,5.1,8.566,0.0,13.666
