Rank,Athlete,Club,D,E,ND,Score,Total
1,Alex Diab,Illinois,5.8,8.8,,14.6,29.45
1,Alex Diab,Illinois,5.8,9.05,,14.85,29.45
2,Marvin Kimble,Salto,5.8,8.4,,14.2,28.8
2,Marvin Kimble,Salto,5.8,8.8,,14.6,28.8
3,Sean Melton,Ohio State,5.8,8.6,,14.4,28.35
3,Sean Melton,Ohio State,5.8,8.15,,13.95,28.35
4,Colin Van Wicklen,Oklahoma,5.7,8.45,,14.15,28.3
4,Colin Van Wicklen,Oklahoma,5.7,8.45,,14.15,28.3
5,Yul Moldauer,Oklahoma,5.7,8.2,,13.9,28
5,Yul Moldauer,Oklahoma,5.7,8.4,,14.1,28
6,Cameron Bock,Michigan,5.3,8.75,,14.05,27.95
6,Cameron Bock,Michigan,5.3,8.6,,13.9,27.95
7,Ian Gunther,Stanford,5.3,8.7,,14,27.9
7,Ian Gunther,Stanford,5.3,8.6,,13.9,27.9
8,Paul Juda,Michigan,5.1,8.5,,13.6,26.95
8,Paul Juda,Michigan,5.1,8.25,,13.35,26.95
9,Akash Modi,Stanford,5.2,7.6,,12.8,26.85
9,Akash Modi,Stanford,5.6,8.45,,14.05,26.85
9,Matt Wenske,Oklahoma,5.4,8.25,,13.65,26.85
9,Matt Wenske,Oklahoma,5.4,7.8,,13.2,26.85
11,Isaiah Drake,Gym Olympica,5.3,8.2,,13.5,26.75
11,Isaiah Drake,Gym Olympica,5.3,7.95,,13.25,26.75
12,Timothy Wang,Air Force,5.5,7.6,,13.1,26.45
12,Timothy Wang,Air Force,5.5,7.85,,13.35,26.45
13,Colt Walker,AcroTex,4.9,8.1,,13,26.4
13,Colt Walker,AcroTex,4.9,8.5,,13.4,26.4
14,Nicolas Kuebler,Metropolitan,4.5,8.6,,13.1,26
14,Nicolas Kuebler,Metropolitan,4.5,8.4,,12.9,26
15,Kiwan Watts,Arizona State,4.7,8.05,,12.75,25.85
15,Kiwan Watts,Arizona State,4.7,8.4,,13.1,25.85
15,Robert Neff,USOPTC,4.9,8.25,,13.15,25.85
15,Robert Neff,USOPTC,4.8,7.9,,12.7,25.85
17,Gage Dyer,Oklahoma,4,8.7,,12.7,25.2
17,Gage Dyer,Oklahoma,4,8.5,,12.5,25.2
