Rank,Athlete,Club,D,E,ND,Score,Total
1,Alec Yoder,Ohio State,6.1,8.6,,14.7,30
1,Alec Yoder,Ohio State,6.5,8.8,,15.3,30
2,Allan Bower,Oklahoma,6.1,8.45,,14.55,29
2,Allan Bower,Oklahoma,6.1,8.35,,14.45,29
3,Sam Mikulak,USOPTC,6,8.5,,14.5,28.85
3,Sam Mikulak,USOPTC,6.2,8.15,,14.35,28.85
4,Yul Moldauer,Oklahoma,5.6,8.6,,14.2,28.2
4,Yul Moldauer,Oklahoma,5.9,8.1,,14,28.2
5,Ian Gunther,Stanford,5.3,8.5,,13.8,27.75
5,Ian Gunther,Stanford,5.3,8.65,,13.95,27.75
6,Donothan Bailey,USOPTC,6.1,6.9,,13,27.6
6,Donothan Bailey,USOPTC,6.2,8.4,,14.6,27.6
7,Robert Neff,USOPTC,6.1,8.05,,14.15,27.2
7,Robert Neff,USOPTC,6.1,6.95,,13.05,27.2
8,Akash Modi,Stanford,5.5,7.6,,13.1,27.15
8,Akash Modi,Stanford,5.8,8.25,,14.05,27.15
8,Nicolas Kuebler,Metropolitan,4.9,9,,13.9,27.15
8,Nicolas Kuebler,Metropolitan,4.9,8.35,,13.25,27.15
10,Brandon Briones,Stanford,5.5,7.8,,13.3,27
10,Brandon Briones,Stanford,5.6,8.1,,13.7,27
10,Sean Melton,Ohio State,5.5,8,,13.3,27
10,Sean Melton,Ohio State,5.4,8.1,,13.5,27
12,Brody Malone,Stanford,5.6,8.35,,13.95,26.9
12,Brody Malone,Stanford,5.3,7.65,,12.95,26.9
13,Marvin Kimble,Salto,6.3,7.75,,14.05,26.85
13,Marvin Kimble,Salto,6,6.8,,12.8,26.85
14,Colt Walker,AcroTex,5.5,7.6,,13.1,26.55
14,Colt Walker,AcroTex,5.5,7.95,,13.45,26.55
14,Genko Suzuki,Oklahoma,5.6,8.25,,13.85,26.55
14,Genko Suzuki,Oklahoma,5.9,6.8,,12.7,26.55
16,Paul Juda,Michigan,4.1,8.55,,12.65,26.4
16,Paul Juda,Michigan,4.7,9.05,,13.75,26.4
17,Grant Breckenridge,Stanford,4.6,8.75,,13.35,25.95
17,Grant Breckenridge,Stanford,4.9,7.7,,12.6,25.95
18,Cameron Bock,Michigan,5.6,7.45,,13.05,25.9
18,Cameron Bock,Michigan,5.7,7.15,,12.85,25.9
19,Matt Wenske,Oklahoma,4.6,8.45,,13.05,25.75
19,Matt Wenske,Oklahoma,4.6,8.1,,12.7,25.75
20,Timothy Wang,Air Force,6.1,6.5,,12.6,25.45
20,Timothy Wang,Air Force,6.1,6.75,,12.85,25.45
20,Kiwan Watts,Arizona State,4.8,7.05,,11.85,25.45
20,Kiwan Watts,Arizona State,5.2,8.4,,13.6,25.45
22,Gage Dyer,Oklahoma,4.8,7.95,,12.75,25.4
22,Gage Dyer,Oklahoma,4.8,7.85,,12.65,25.4
23,Colin Van Wicklen,Oklahoma,4.8,7.5,,12.3,25.35
23,Colin Van Wicklen,Oklahoma,4.8,8.25,,13.05,25.35
24,Isaiah Drake,Gym Olympica,5.1,8.3,,13.4,25.05
24,Isaiah Drake,Gym Olympica,4.8,6.85,,11.65,25.05
25,Michael Moran,Minnesota,4.9,7.85,,12.75,24.25
25,Michael Moran,Minnesota,4.9,6.6,,11.5,24.25
26,Adrian De Los Angeles,USOPTC,5.5,5.3,,10.8,23.7
26,Adrian De Los Angeles,USOPTC,5.2,7.7,,12.9,23.7
