Rank,Athlete,Club,D,E,ND,Score,Total
1,Gage Dyer,Oklahoma,6,8.4,,14.4,29.05
1,Gage Dyer,Oklahoma,6,8.65,,14.65,29.05
2,Sam Mikulak,USOPTC,5.9,8.7,,14.6,28.8
2,Sam Mikulak,USOPTC,6.2,8.3,-0.3,14.2,28.8
3,Cameron Bock,Michigan,5.5,8.85,,14.35,28.5
3,Cameron Bock,Michigan,5.5,8.65,,14.15,28.5
4,Adrian De Los Angeles,USOPTC,5.6,8.45,,14.05,28.25
4,Adrian De Los Angeles,USOPTC,5.6,8.6,,14.2,28.25
5,Paul Juda,Michigan,5.8,8.05,,13.85,28.1
5,Paul Juda,Michigan,5.8,8.45,,14.25,28.1
5,Eddie Penev,USOPTC,5.9,8,,13.9,28.1
5,Eddie Penev,USOPTC,6.3,7.9,,14.2,28.1
7,Michael Moran,Minnesota,5.6,8.35,,13.95,28.05
7,Michael Moran,Minnesota,5.6,8.5,,14.1,28.05
8,Shane Wiskus,Minnesota,5.8,8.4,,14.2,27.95
8,Shane Wiskus,Minnesota,6,7.75,,13.75,27.95
9,Colin Van Wicklen,Oklahoma,5.4,8.6,-0.1,13.9,27.8
9,Colin Van Wicklen,Oklahoma,5.4,8.5,,13.9,27.8
10,Akash Modi,Stanford,5.9,8,,13.9,27.7
10,Akash Modi,Stanford,5.8,8,,13.8,27.7
11,Yul Moldauer,Oklahoma,6.1,7.75,,13.85,27.6
11,Yul Moldauer,Oklahoma,6.1,7.95,-0.3,13.75,27.6
12,Nicolas Kuebler,Metropolitan,5,8.9,,13.9,27.5
12,Nicolas Kuebler,Metropolitan,5,8.7,-0.1,13.6,27.5
13,Allan Bower,Oklahoma,5.7,7.55,,13.25,27.45
13,Allan Bower,Oklahoma,5.7,8.5,,14.2,27.45
14,Timothy Wang,Air Force,5.7,8.3,,14,27.2
14,Timothy Wang,Air Force,5.7,7.5,,13.2,27.2
15,Donothan Bailey,USOPTC,5.5,8.2,-0.1,13.6,27
15,Donothan Bailey,USOPTC,5.5,7.9,,13.4,27
15,Alex Diab,Illinois,5.6,7.8,,13.4,27
15,Alex Diab,Illinois,5.7,8,-0.1,13.6,27
17,Ian Gunther,Stanford,5,8.3,,13.3,26.45
17,Ian Gunther,Stanford,5,8.25,-0.1,13.15,26.45
18,Isaiah Drake,Gym Olympica,5.5,8.15,,13.65,26.35
18,Isaiah Drake,Gym Olympica,5.4,7.3,,12.7,26.35
19,Colt Walker,AcroTex,5.5,7.7,-0.1,13.1,25.85
19,Colt Walker,AcroTex,5.3,7.45,,12.75,25.85
20,Sean Melton,Ohio State,5.3,7.95,,13.25,25.4
20,Sean Melton,Ohio State,5.5,6.65,,12.15,25.4
21,Robert Neff,USOPTC,6.2,7,,13.2,24.85
21,Robert Neff,USOPTC,6.4,5.25,,11.65,24.85
22,Kiwan Watts,Arizona State,5.1,6.95,,12.05,24.35
22,Kiwan Watts,Arizona State,5.1,7.2,,12.3,24.35
