X1 	X2 	X3 	X4 	X5 	X6 	X7 	X8 	X9 	Y
4.918 	1.000 	3.472 	0.998 	1.0 	7 	4 	42 	0 	25.90
5.021 	1.000 	3.531 	1.500 	2.0 	7 	4 	62 	0 	29.50
4.543 	1.000 	2.275 	1.175 	1.0 	6 	3 	40 	0 	27.90
4.557 	1.000 	4.050 	1.232 	1.0 	6 	3 	54 	0 	25.90
5.060 	1.000 	4.455 	1.121 	1.0 	6 	3 	42 	0 	29.90
3.891 	1.000 	4.455 	0.988 	1.0 	6 	3 	56 	0 	29.90
5.898 	1.000 	5.850 	1.240 	1.0 	7 	3 	51 	1 	30.90
5.604 	1.000 	9.520 	1.501 	0.0 	6 	3 	32 	0 	28.90
5.828 	1.000 	6.435 	1.225 	2.0 	6 	3 	32 	0 	35.90
5.300 	1.000 	4.988 	1.552 	1.0 	6 	3 	30 	0 	31.50
6.271 	1.000 	5.520 	0.975 	1.0 	5 	2 	30 	0 	31.00
5.959 	1.000 	6.666 	1.121 	2.0 	6 	3 	32 	0 	30.90
5.050 	1.000 	5.000 	1.020 	0.0 	5 	2 	46 	1 	30.00
8.246 	1.500 	5.150 	1.664 	2.0 	8 	4 	50 	0 	36.90
6.697 	1.500 	6.902 	1.488 	1.5 	7 	3 	22 	1 	41.90
7.784 	1.500 	7.102 	1.376 	1.0 	6 	3 	17 	0 	40.50
9.038 	1.000 	7.800 	1.500 	1.5 	7 	3 	23 	0 	43.90
5.989 	1.000 	5.520 	1.256 	2.0 	6 	3 	40 	1 	37.90
7.542 	1.500 	5.000 	1.690 	1.0 	6 	3 	22 	0 	37.90
8.795 	1.500 	9.890 	1.820 	2.0 	8 	4 	50 	1 	44.50
6.083 	1.500 	6.727 	1.652 	1.0 	6 	3 	44 	0 	37.90
8.361 	1.500 	9.150 	1.777 	2.0 	8 	4 	48 	1 	38.90
8.140 	1.000 	8.000 	1.504 	2.0 	7 	3 	3 	0 	36.90
9.142 	1.500 	7.326 	1.831 	1.5 	8 	4 	31 	0 	45.80
