Rank,Athlete,Nation,D,E,ND,Total
1,Andreea Munteanu,Romania,5.8,8.6,,14.4
2,Kim Janas,Germany,5.9,7.966,-0.1,13.766
3,Katarzyna Jurkowska-Kowalska,Poland,5.6,8.033,-0.1,13.533
4,Caterina Barloggio,Switzerland,5,8.466,,13.466
5,Tzuf Feldon,Israel,5.4,7.933,,13.333
6,Ana Perez,Spain,5.4,7.9,,13.3
7,Ayelen Tarabini,Argentina,5.4,7.866,,13.266
8,Filipa Martins,Portugal,5.1,8.033,,13.133
9,Dorina Böczögö,Hungary,5.4,7.8,-0.1,13.1
10,Pauline Schäfer,Germany,5.8,7.266,,13.066
11,Oksana Chusovitina,Uzbekistan,5.4,7.533,,12.933
12,Veronika Cenkova,Czech Republic,5.1,7.566,,12.666
13,Paula Plichta,Poland,5.4,7.3,-0.1,12.6
14,Pauline Tratz,Germany,4.5,7.966,,12.466
15,Dilnoza Abdusalimova,Uzbekistan,5.4,7.166,-0.1,12.466
16,Vasiliki Millousi,Greece,5.5,7.066,-0.1,12.466
17,Andreea Iridon,Romania,5.6,6.766,,12.366
18,Anna Salmi,Finland,4.5,7.6,,12.1
19,Dina Nygaard,Norway,4.6,7.5,-0.1,12
20,Mariana Pitrez,Portugal,4.5,7.333,,11.833
21,Tutya Yilmaz,Turkey,5.7,6.033,,11.733
22,Lisa Ecker,Austria,4.7,6.9,,11.6
23,Gaia Nesurini,Switzerland,4.2,7.2,,11.4
24,Maria Simou,Greece,4.6,6.733,,11.333
25,Boglarka Devai,Hungary,4.1,7.133,-0.1,11.133
26,Gaya Giladi,Israel,4.6,6.5,,11.1
27,Diana Jerofejeva,Latvia,4,6.866,,10.866
28,Ekin Morova,Turkey,4.9,6.033,-0.1,10.833
29,Anastasija Dubova,Latvia,4.2,6.5,,10.7
30,Nora Fernandez,Spain,4.9,5.633,,10.533
31,Tjasa Kysselef,Slovenia,4,6.466,,10.466
32,Nato Dzidziguri,Georgia,5,5.433,-0.1,10.333
33,Kristina Pravdina,Azerbaijan,4.8,5.466,,10.266
34,Ellis O’Reilly,Ireland,4.8,5.433,-0.1,10.133
35,Maria Belen Stoffel,Argentina,4.3,5.733,,10.033
36,Jasmin Mader,Austria,5.1,4.833,,9.933
37,Tatjana Holeczek,Slovenia,3.8,5.733,,9.533
