Rank,Athlete,Nation,D,E,ND,Total
1,You Hao,China,6.8,8.2,,15
2,Vladislav Poliashov,Russia,6.2,8.7,,14.9
3,Ferhat Arican,Turkey,6.6,7.875,,14.475
4,Dinh Phuong Thanh,Vietnam,6.4,8,,14.4
5,Mikhail Koudinov,New Zealand,5.8,8.5,,14.3
6,Ahmet Önder,Turkey,6.6,7.666,,14.266
7,Milad Karimi,Kazakhstan,5.8,8.4,,14.2
8,Taha Serhani,Switzerland,5.7,8.466,,14.166
9,Isaac Nuñez,Mexico,5.6,8.425,,14.025
10,Frank Rijken,Netherlands,5.6,8.366,,13.966
11,Thierno Diallo,Spain,5.7,8.166,,13.866
12,Andrey Likhovitskiy,Belarus,5.5,8.333,,13.833
13,Takaaki Sugino,Japan,5.6,8.233,,13.833
14,Tyson Bull,Australia,5.4,8.366,,13.766
15,Julian Jato,Argentina,5,8.5,,13.5
16,Farukh Nabiyev,Kazakhstan,5.3,8.2,,13.5
17,Noe Seifert,Switzerland,5.8,7.633,,13.433
18,Ethan Dick,New Zealand,4.9,8.5,,13.4
19,Mitchell Morgans,Australia,5.8,7.508,,13.308
20,Filip Sasnal,Poland,4.2,8.633,,12.833
21,Levan Skhiladze,Georgia,4.6,7.816,,12.416
22,Ioane Jimsheleishvili,Georgia,4.6,7.733,,12.333
23,Sergei Eltsov,Russia,4.5,7.7,,12.2
24,Yordan Aleksandrov,Bulgaria,5.2,6.9,,12.1
25,Sebastian Gawronski,Poland,4.8,7.2,,12
26,Carlos Edriel Yulo,Philippines,5.9,6,,11.9
27,Rick Jacobs,Netherlands,4.4,6.9,,11.3
28,Lee Chih-Kai,Chinese Taipei,5.1,5.766,,10.866
29,Aghamurad Gahramanov,Azerbaijan,4.3,6.4,,10.7
30,Nikolaos Iliopoulos,Greece,4.1,6.4,,10.5
31,Murad Agharzayev,Azerbaijan,5.3,5.1,,10.4
