Rank,Athlete,Nation,D,E,ND,Total
1,Abdelrahman Magdy Elgamal,Turkey,6,8.733,,14.733
2,Kirill Prokopev,Russia,6.2,8.533,,14.733
3,Milad Karimi,Kazakhstan,6.3,8.366,,14.666
4,Ryu Sung-hyun,South Korea,6.5,8.033,-0.1,14.433
5,Kazuki Minami,Japan,6.4,7.966,,14.366
6,Dmitriy Patanin,Kazakhstan,6,8.266,,14.266
7,Hayden Skinner,Great Britain,6.3,7.933,,14.233
8,Tomas Gonzalez,Chile,5.9,8.266,,14.166
9,Alexey Rostov,Russia,5.5,8.566,,14.066
10,Casimir Schmidt,Netherlands,5.9,8.1,,14
11,Rok Klavora,Slovenia,5.6,8.333,,13.933
12,Dinh Phuong Thanh,Vietnam,5.1,8.666,,13.766
13,Marco Rizzo,Switzerland,5.9,7.933,-0.1,13.733
14,Ahmet Önder,Turkey,6,7.733,-0.1,13.633
15,Yahor Sharamkou,Belarus,5.9,7.8,-0.1,13.6
16,Aurel Benovic,Croatia,6.1,7.5,,13.6
17,Yordan Aleksandrov,Bulgaria,5.4,8.1,,13.5
18,Konstantin Kuzovkov,Georgia,5.4,8.066,,13.466
19,Murad Agharzayev,Azerbaijan,5.8,7.6,,13.4
20,Sviataslau Dranitski,Belarus,5.6,7.633,-0.1,13.133
21,Thierno Diallo,Spain,5.9,7.233,-0.1,13.033
22,Ethan Dick,New Zealand,5.4,7.566,,12.966
23,Aghamurad Gahramanov,Azerbaijan,5.5,7.766,-0.5,12.766
24,Jorge Vega Lopez,Guatemala,5.9,6.966,-0.1,12.766
25,Bram Verhofstad,Netherlands,5.8,7.033,-0.1,12.733
26,David Huddleston,Bulgaria,5.3,7.766,-0.4,12.666
27,Antonios Tantalidis,Greece,5.6,7.066,,12.666
28,Jan Gwynn Timbang,Philippines,5.3,7.35,,12.65
29,Taha Serhani,Switzerland,5.6,6.866,,12.466
30,Filip Sasnal,Poland,4.9,7.766,-0.4,12.266
31,Emil Soravuo,Finland,5.4,6.866,-0.1,12.166
32,Justine Ace de Leon,Philippines,5.4,6.733,,12.133
33,Dawid Weglarz,Poland,5.2,6.866,-0.1,11.966
34,Christoforos Konstantinidis,Greece,5.6,6.233,,11.833
35,Oskar Kirmes,Finland,5.2,6.566,,11.766
36,Isaac Nuñez,Mexico,5.1,6.666,-0.4,11.366
37,Ioane jimsheleishvili,Georgia,5.5,6.233,-0.6,11.133
38,Lin Guan-Yi,Chinese Taipei,5.3,5.766,,11.066
