Rank,Athlete,Nation,D,E,ND,Total,D,E,ND,Total,Average
1,Shin Jea-hwan,South Korea,6,9.2,,15.2,5.6,8.966,,14.566,14.883
2,Andrey Medvedev,Israel,5.6,8.966,,14.566,5.6,9.166,,14.766,14.666
3,Igor Radivilov,Ukraine,5.6,9.066,,14.666,5.6,9.033,,14.633,14.649
4,James Bacueti,Australia,5.6,9.066,,14.666,5.2,9.266,,14.466,14.566
5,Yahor Sharamkou,Belarus,5.2,9.2,,14.4,5.6,9.033,,14.633,14.516
6,Courtney Tulloch,Great Britain,5.6,8.9,,14.5,5.6,8.9,,14.5,14.5
7,Abdelrahman Magdy Elgamal,Turkey,5.6,9.066,,14.666,5.6,8.8,-0.1,14.3,14.483
8,Jorge Vega Lopez,Guatemala,5.6,8.933,-0.1,14.433,5.2,9.233,,14.433,14.433
9,Sviataslau Drantitski,Belarus,5.2,9.2,,14.4,5.2,9,,14.2,14.3
10,Hidenobu Yonekura,Japan,5.6,8.7,,14.3,5.2,8.9,,14.1,14.2
11,Audrys Nin Reyes,Dominican Republic,6,8.133,-0.3,13.833,5.6,8.966,,14.566,14.199
12,Marco Rizzo,Switzerland,5.2,8.933,,14.133,5.2,9.066,,14.266,14.199
13,Milad Karimi,Kazakhstan,5.2,9.4,,14.6,5.2,8.666,-0.3,13.566,14.083
14,Carlos Edriel Yulo,Philippines,5.6,7.866,-0.3,13.166,5.6,9.066,,14.666,13.916
15,Shek Wai Hung,Hong Kong,6,7.866,-0.1,13.766,6,7.966,-0.3,13.666,13.716
16,Farukh Nabiyev,Kazakhstan,5.2,9.066,,14.266,4.8,8.6,-0.3,13.1,13.683
17,Ivan Tikhonov,Azerbaijan,5.6,8.033,,13.633,4.8,8.933,,13.733,13.683
18,Murad Agharzayev,Azerbaijan,5.2,8.966,-0.1,14.066,5.2,8.033,,13.233,13.649
19,Marian Dragulescu,Romania,5,9.066,,14.066,5.2,8,,13.2,13.633
20,Sebastian Gawronski,Poland,5.2,8.133,-0.1,13.233,5.2,8.666,-0.1,13.766,13.499
21,Jan Gwynn Timbang,Philippines,5.2,8.7,-0.1,13.8,4,9.033,,13.033,13.416
22,Mustafa Arca,Turkey,5.2,8,-0.3,12.9,5.2,8.666,,13.866,13.383
23,Konstantin Kuzovkov,Georgia,4.8,8.866,,13.666,5.2,8.1,-0.2,13.1,13.383
24,Georgios Garivaldis,Greece,5.2,8.233,-0.3,13.133,4.8,8.7,,13.5,13.316
25,Filip Sasnal,Poland,0,0,,0,0,0,,0,0
