Rank,Athlete,Nation,D,E,ND,Total
1,Weng Hao,China,6.6,8.833,,15.433
2,Takaaki Sugino,Japan,6.3,8.3,,14.6
3,Saeedreza Keikha,Iran,6.1,8.4,,14.5
4,Vladislav Poliashov,Russia,6,8.466,,14.466
5,Nariman Kurbanov,Kazakhstan,6.1,8.333,,14.433
6,Thierry Pellerin,Canada,6.2,8.233,,14.433
7,Kirill Prokopev,Russia,6.3,7.966,,14.266
8,Filip Ude,Croatia,5.9,8.266,,14.166
9,Antonios Tantalidis,Greece,5.9,8.166,,14.066
10,Joshua Nathan,Great Britain,6.5,7.533,,14.033
11,Andrey Likhovitskiy,Belarus,5.9,8.033,,13.933
12,Francisco Barretto,Brazil,5.7,7.9,,13.6
13,Abdelrahman Magdy Elgamal,Turkey,5.3,8.166,,13.466
14,Ivan Tikhonov,Azerbaijan,5.8,7.466,,13.266
15,Alexander Myakinin,Israel,5.7,7.466,,13.166
16,Oskar Kirmes,Finland,5.5,7.566,,13.066
17,Saso Bertoncelj,Slovenia,5.7,7.266,,12.966
18,James Bacueti,Australia,5.2,7.7,,12.9
19,Noe Seifert,Switzerland,6,6.833,,12.833
20,Levan Skhiladze,Georgia,4.7,8.033,,12.733
21,Ilyas Azizov,Kazakhstan,5.4,7.333,,12.733
22,David Huddleston,Bulgaria,5.5,7.1,,12.6
23,Thierno Diallo,Spain,5.5,6.966,,12.466
24,Murad Agharzayev,Azerbaijan,5.3,6.966,,12.266
25,Bidzina Sitchinava,Georgia,5.1,7.066,,12.166
26,Ethan Dick,New Zealand,5.2,6.7,,11.9
27,Yahor Sharamkou,Belarus,4.7,7.066,,11.766
28,Yordan Aleksandrov,Bulgaria,4.5,7.2,,11.7
29,Dinh Phuong Thanh,Vietnam,4.6,7.033,,11.633
30,Ferhat Arican,Turkey,5.3,6,,11.3
31,Isaac Nuñez,Mexico,4.1,6.533,,10.633
32,Filip Sasnal,Poland,4.6,5.6,,10.2
33,Julian Jato,Argentina,3.4,4.7,,8.1
