Rank,Athlete,Nation,D,E,ND,Total
1,Umit Samiloglu,Turkey,5.7,8.566,,14.266
2,Epke Zonderland,Netherlands,6.1,8.133,,14.233
2,Alexey Rostov,Russia,6.1,8.133,,14.233
4,Tyson Bull,Australia,5.8,8.3,,14.1
5,Sergei Eltsov,Russia,5.7,8.3,,14
6,Taha Serhani,Switzerland,5.8,8.2,,14
7,Francisco Barretto,Brazil,5.8,7.8,,13.6
8,Nikolaos Iliopoulos,Greece,5.5,8,,13.5
9,Milad Karimi,Kazakhstan,6.1,7.1,,13.2
10,Mikhail Koudinov,New Zealand,4.9,8.266,,13.166
11,Aghamurad Gahramanov,Azerbaijan,5,8.133,,13.133
12,Takaaki Sugino,Japan,5.5,7.5,,13
13,Ioane Jimsheleishvili,Georgia,4.5,8.066,,12.566
14,Alexander Myakinin,Israel,5.9,6.666,,12.566
15,Ivan Tikhonov,Azerbaijan,5.2,7.266,,12.466
16,Thierno Diallo,Spain,5,7.433,,12.433
17,Sebastian Gawronski,Poland,5,7.3,,12.3
18,Mitchell Morgans,Australia,5.4,6.833,,12.233
19,Dmitriy Patanin,Kazakhstan,4.1,7.9,,12
20,Yordan Aleksandrov,Bulgaria,5,6.933,,11.933
21,Bidzina Sitchinava,Georgia,4.3,6.8,,11.1
22,Filip Sasnal,Poland,3.9,7.166,,11.066
23,Ahmet Önder,Turkey,5.5,5.258,,10.758
24,Oskar Kirmes,Finland,4,6.666,,10.666
25,Julian Jato,Argentina,4.3,5.6,,9.9
