LastName,FirstName,Gender,Country,Date,Competition,Round,Location,Apparatus,Rank,D_Score,E_Score,Penalty,Score
AAS,Fredrik,m,NOR,24-27 Feb 2022,2022 Cottbus World Cup,qual,"Cottbus, Germany",HB,18,3.9,8.266,,12.166
AAS,Fredrik,m,NOR,24-27 Feb 2022,2022 Cottbus World Cup,qual,"Cottbus, Germany",HB,18,3.9,8.266,,12.166
AAS,Fredrik,m,NOR,24-27 Feb 2022,2022 Cottbus World Cup,qual,"Cottbus, Germany",PB,23,3.9,6.9,,10.8
AAS,Fredrik,m,NOR,24-27 Feb 2022,2022 Cottbus World Cup,qual,"Cottbus, Germany",PB,23,3.9,6.9,,10.8
AAS,Fredrik,m,NOR,24-27 Feb 2022,2022 Cottbus World Cup,qual,"Cottbus, Germany",PH,33,4.2,6.666,,10.866
AAS,Fredrik,m,NOR,24-27 Feb 2022,2022 Cottbus World Cup,qual,"Cottbus, Germany",PH,33,4.2,6.666,,10.866
AAS,Fredrik,m,NOR,23-26 Feb 2023,2023 Cottbus World Cup,qual,"Cottbus, Germany",HB,39,4.6,6.7,,11.3
AAS,Fredrik,m,NOR,23-26 Feb 2023,2023 Cottbus World Cup,qual,"Cottbus, Germany",PH,44,4.4,7.8,,12.2
AAS,Fredrik,m,NOR,1-5 Aug 2023,2023 FISU World University Games,qual,"Chengdu, China",FX,54,4,8.566,,12.566
AAS,Fredrik,m,NOR,1-5 Aug 2023,2023 FISU World University Games,qual,"Chengdu, China",HB,44,4.6,8.166,,12.766
AAS,Fredrik,m,NOR,1-5 Aug 2023,2023 FISU World University Games,qual,"Chengdu, China",PB,54,4.4,8.066,,12.466
AAS,Fredrik,m,NOR,1-5 Aug 2023,2023 FISU World University Games,qual,"Chengdu, China",PH,58,4.4,7.266,,11.666
AAS,Fredrik,m,NOR,1-5 Aug 2023,2023 FISU World University Games,qual,"Chengdu, China",SR,73,3.5,8.366,,11.866
AAS,Fredrik,m,NOR,1-5 Aug 2023,2023 FISU World University Games,qual,"Chengdu, China",VT1,69,4,8.966,,12.966
ABAD,Nestor,m,ESP,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,"Liverpool, England",FX,13,5.5,8.3,,13.8
ABAD,Nestor,m,ESP,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",FX,48,5.5,7.9,,13.4
ABAD,Nestor,m,ESP,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,"Liverpool, England",HB,10,5.3,8.133,,13.433
ABAD,Nestor,m,ESP,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",HB,48,5,8.166,,13.166
ABAD,Nestor,m,ESP,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,TeamFinal,"Liverpool, England",HB,,5.3,7.833,,13.133
ABAD,Nestor,m,ESP,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,"Liverpool, England",PB,12,5.8,8.4,,14.2
ABAD,Nestor,m,ESP,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",PB,26,5.8,8.5,,14.3
ABAD,Nestor,m,ESP,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,"Liverpool, England",PH,21,5.1,6.166,,11.266
ABAD,Nestor,m,ESP,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",PH,55,5.2,7.566,,12.766
ABAD,Nestor,m,ESP,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,TeamFinal,"Liverpool, England",PH,,4.4,7.233,,11.633
ABAD,Nestor,m,ESP,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,"Liverpool, England",SR,12,5.3,7.933,,13.233
ABAD,Nestor,m,ESP,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",SR,90,4.9,7.666,,12.566
ABAD,Nestor,m,ESP,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,TeamFinal,"Liverpool, England",SR,,5.3,8.5,,13.8
ABAD,Nestor,m,ESP,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,"Liverpool, England",VT,20,4.8,9.033,0.1,13.733
ABAD,Nestor,m,ESP,29 Oct 2022 - 6 Nov 2022,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",VT1,97,4.8,9,0.3,13.5
ABAD,Nestor,m,ESP,18-21 Aug 2022,2022 Senior European Championships,qual,"Munich, Germany",FX,86,5.4,7.133,0.1,12.433
ABAD,Nestor,m,ESP,18-21 Aug 2022,2022 Senior European Championships,qual,"Munich, Germany",HB,10,5.3,8.5,,13.8
ABAD,Nestor,m,ESP,18-21 Aug 2022,2022 Senior European Championships,TeamFinal,"Munich, Germany",HB,10,5.3,8.1,,13.4
ABAD,Nestor,m,ESP,18-21 Aug 2022,2022 Senior European Championships,qual,"Munich, Germany",PB,9,5.8,8.6,,14.4
ABAD,Nestor,m,ESP,18-21 Aug 2022,2022 Senior European Championships,TeamFinal,"Munich, Germany",PB,10,5.8,8.266,,14.066
ABAD,Nestor,m,ESP,18-21 Aug 2022,2022 Senior European Championships,qual,"Munich, Germany",PH,105,5,5.5,,10.5
ABAD,Nestor,m,ESP,18-21 Aug 2022,2022 Senior European Championships,qual,"Munich, Germany",SR,23,5.3,8.366,,13.666
ABAD,Nestor,m,ESP,18-21 Aug 2022,2022 Senior European Championships,TeamFinal,"Munich, Germany",SR,6,5.3,8.333,,13.633
ABAD,Nestor,m,ESP,18-21 Aug 2022,2022 Senior European Championships,qual,"Munich, Germany",VT1,36,5.2,9.2,0.3,14.1
ABAD,Nestor,m,ESP,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",FX,21,5.5,8.666,,14.166
ABAD,Nestor,m,ESP,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",HB,66,4.8,8.233,,13.033
ABAD,Nestor,m,ESP,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",PB,59,5.8,8.3,0.3,13.8
ABAD,Nestor,m,ESP,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",PH,58,5,8.1,,13.1
ABAD,Nestor,m,ESP,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",SR,33,5.3,8.3,,13.6
ABAD,Nestor,m,ESP,30 Sep 2023 - 8 Oct 2023,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",VT1,126,5.2,8,,13.2
ABAD,Nestor,m,ESP,11-16 Apr 2023,2023 Senior European Championships,AAfinal,"Antalya, Turkey",FX,24,5.4,7.233,,12.633
ABAD,Nestor,m,ESP,11-16 Apr 2023,2023 Senior European Championships,qual,"Antalya, Turkey",FX,94,4.6,8,0.1,12.5
ABAD,Nestor,m,ESP,11-16 Apr 2023,2023 Senior European Championships,AAfinal,"Antalya, Turkey",HB,9,5.3,8.1,,13.4
ABAD,Nestor,m,ESP,11-16 Apr 2023,2023 Senior European Championships,final,"Antalya, Turkey",HB,4,5.3,8.366,,13.666
ABAD,Nestor,m,ESP,11-16 Apr 2023,2023 Senior European Championships,qual,"Antalya, Turkey",HB,5,5.3,8.433,,13.733
ABAD,Nestor,m,ESP,11-16 Apr 2023,2023 Senior European Championships,AAfinal,"Antalya, Turkey",PB,10,5.8,8.033,,13.833
ABAD,Nestor,m,ESP,11-16 Apr 2023,2023 Senior European Championships,qual,"Antalya, Turkey",PB,23,5.8,8.1,,13.9
