sample	amps
1	2.35
1	2.3
1	2.15
1	2.19
1	2.54
1	2.46
1	2.41
1	2.31
2	2.44
2	2.08
2	2.22
2	2.62
2	2.3
2	2.54
2	2.09
2	2.66
3	2.55
3	2.64
3	2.49
3	2.6
3	2.5
3	2.25
3	2.49
3	2.38
4	2.34
4	2.08
4	2.28
4	2.04
4	2.23
4	2.38
4	2.62
4	2.02
5	2.65
5	2.19
5	2.2
5	2.45
5	2.93
5	2.72
5	2.07
5	2.29
6	2.42
6	2.52
6	2.56
6	2.91
6	2.56
6	2.04
6	2.05
6	2.56
7	2.39
7	2.27
7	2.27
7	2.45
7	2.41
7	2.65
7	2.13
7	2.42
8	2.38
8	2.4
8	2.2
8	2.36
8	2.14
8	2.47
8	2.18
8	2.55
9	2.47
9	2.99
9	1.9
9	2.21
9	2.44
9	2.11
9	2.08
9	2.37
10	2.05
10	2.78
10	2.15
10	1.9
10	2.35
10	2.36
10	2.5
10	2.26
11	2.84
11	2.34
11	2.51
11	2.74
11	2.67
11	1.94
11	2.76
11	2.56
12	2.39
12	2.17
12	2.42
12	3
12	2.28
12	2.41
12	2.4
12	1.95
13	2.26
13	2.36
13	2.4
13	2.22
13	2.87
13	2.28
13	2.39
13	2.95
14	1.82
14	2.71
14	2.13
14	2.46
14	2.32
14	2.3
14	2.08
14	2.64
15	2.35
15	2.12
15	2.31
15	2.38
15	2.57
15	1.76
15	2.46
15	2.34
16	2.15
16	1.85
16	1.93
16	2.44
16	2.5
16	2.16
16	2.38
16	2.33
17	2.76
17	2.12
17	2.51
17	2.23
17	2.24
17	2.32
17	2.51
17	2.12
18	2.17
18	1.78
18	1.92
18	2.06
18	2.48
18	2.64
18	2.25
18	2.04
19	2.97
19	2.75
19	2.29
19	2.03
19	2.82
19	2.5
19	2.42
19	2.62
20	2.59
20	1.92
20	2.25
20	2.08
20	2.49
20	2.5
20	2.33
20	2.51
21	2.32
21	2.72
21	2.31
21	2.54
21	2.49
21	1.84
21	2.17
21	1.81
22	2.33
22	2.44
22	2.33
22	2.32
22	1.97
22	2.63
22	2.27
22	1.81
23	1.89
23	2.8
23	2.59
23	2.48
23	1.86
23	2.23
23	2.11
23	2.49
24	2.14
24	2.22
24	1.86
24	1.9
24	2.65
24	2.19
24	2.4
24	2.37
25	2.17
25	2.25
25	1.92
25	2.23
25	2.05
25	2.44
25	2.68
25	2.58
26	1.94
26	2.15
26	2.25
26	2.73
26	1.98
26	2.44
26	2.85
26	2.27
27	2.52
27	2.43
27	2.66
27	2.6
27	2.28
27	2.45
27	2.38
27	2.31
28	2.41
28	2.03
28	1.85
28	2.56
28	2.22
28	2.45
28	2.65
28	2.4
29	2.32
29	2.33
29	2.44
29	2.7
29	2.13
29	2.34
29	2.17
29	2.77
30	2.65
30	1.97
30	2.37
30	2.47
30	2.31
30	2.48
30	2.4
30	2.3
31	2.57
31	2.2
31	2.37
31	2.34
31	2.55
31	2.24
31	2.03
31	2.37
32	2.39
32	2.04
32	1.98
32	2.74
32	2.48
32	2.52
32	2.47
32	2.04
