Rank,Athlete,Nation,D,E,ND,Total,Average
1,Yonekura Hidenobu,Japan,6,9.166,,15.166,15.016
1,Yonekura Hidenobu,Japan,5.6,9.266,,14.866,15.016
2,Igor Radivilov,Ukraine,6,8.766,,14.766,14.774
2,Igor Radivilov,Ukraine,5.6,9.183,,14.783,14.774
3,Andrey Medvedev,Israel,5.6,8.833,-0.1,14.333,14.733
3,Andrey Medvedev,Israel,6,9.133,,15.133,14.733
4,Adem Asil,Turkey,6,8.966,-0.1,14.866,14.566
4,Adem Asil,Turkey,5.6,8.666,,14.266,14.566
5,Shin Jea-hwan,South Korea,6,7.833,-0.3,13.533,14.066
5,Shin Jea-hwan,South Korea,5.6,9.1,-0.1,14.6,14.066
6,Mahdi Olfati,Iran,5.6,8.166,,13.766,14.066
6,Mahdi Olfati,Iran,5.2,9.166,,14.366,14.066
7,Milad Karimi,Kazakhstan,5.6,8.566,-0.1,14.066,14.033
7,Milad Karimi,Kazakhstan,4.8,9.2,,14,14.033
8,Rayderley Zapata,Spain,5.6,8,,13.6,13.566
8,Rayderley Zapata,Spain,5.6,7.933,,13.533,13.566
